Period,Total Pendapatan,Pendapatan Pembiayaan Konsumen,Pendapatan Bunga,Administrasi,Others,Total Pendapatan,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Pembentukan Cadangan Kerugian Penurunan Nilai,Beban Penyusutan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2007,1405310000000.000000,917374000000.000000,1959000000.000000,384209000000.000000,101768000000.000000,1405310000000.000000,-1190585000000.000000,-446787000000.000000,-242041000000.000000,-485657000000.000000,-13041000000.000000,-3059000000.000000,-1190585000000.000000,214725000000.000000,-600740000000.000000,-600740000000.000000,-600740000000.000000,-386015000000.000000,104169000000.000000,,104169000000.000000,,104169000000.000000,-281846000000.000000,,,,,-281846000000.000000,-281846000000.000000,,-281846000000.000000,,,,
12M 2008,1462352146332.000000,854368721687.000000,12267309340.000000,354959202807.000000,240756912498.000000,1462352146332.000000,-930755441572.000000,-334746020424.000000,-273760015009.000000,-276002578778.000000,-14035745003.000000,-32211082358.000000,-930755441572.000000,531596704760.000000,-493516681317.000000,-493516681317.000000,-493516681317.000000,38080023443.000000,-17368659917.000000,,-17368659917.000000,,-17368659917.000000,20711363526.000000,,,,,20711363526.000000,20711363526.000000,,20711363526.000000,,,,
12M 2009,1355526826287.000000,636313308885.000000,19753468732.000000,467610266003.000000,231849782667.000000,1355526826287.000000,-911192063194.000000,-356959628533.000000,-296437223703.000000,-187374774885.000000,-19684495343.000000,-50735940730.000000,-911192063194.000000,444334763093.000000,-351732998467.000000,-351732998467.000000,-351732998467.000000,92601764626.000000,-31930717390.000000,,-31930717390.000000,,-31930717390.000000,60671047236.000000,,,,,60671047236.000000,60671047236.000000,,60671047236.000000,,,,
12M 2010,1492012000000.000000,554323000000.000000,8749000000.000000,707808000000.000000,221132000000.000000,1492012000000.000000,-989303000000.000000,-451329000000.000000,-401341000000.000000,-91167000000.000000,-30782000000.000000,-14684000000.000000,-989303000000.000000,502709000000.000000,-308795000000.000000,-308795000000.000000,-308795000000.000000,193914000000.000000,-56053000000.000000,,-56053000000.000000,,-56053000000.000000,137861000000.000000,,,,,137861000000.000000,137861000000.000000,,137861000000.000000,,,,
12M 2011,1653076000000.000000,744947000000.000000,20865000000.000000,666297000000.000000,220967000000.000000,1653076000000.000000,-1152723000000.000000,-434867000000.000000,-487408000000.000000,-170080000000.000000,-38940000000.000000,-21428000000.000000,-1152723000000.000000,500353000000.000000,-484579000000.000000,-484579000000.000000,-484579000000.000000,15774000000.000000,-10380000000.000000,,-10380000000.000000,,-10380000000.000000,5394000000.000000,,,,5394000000.000000,5394000000.000000,5394000000.000000,,5394000000.000000,5394000000.000000,5394000000.000000,,5394000000.000000
12M 2012,1608881000000.000000,798541000000.000000,9251000000.000000,569813000000.000000,231276000000.000000,1608881000000.000000,-1181517000000.000000,-405642000000.000000,-517148000000.000000,-204690000000.000000,-40702000000.000000,-13335000000.000000,-1181517000000.000000,427364000000.000000,-399246000000.000000,-399246000000.000000,-399246000000.000000,28118000000.000000,-20490000000.000000,-9403000000.000000,-11087000000.000000,,-20490000000.000000,7628000000.000000,,,,7628000000.000000,7628000000.000000,7628000000.000000,,7628000000.000000,7628000000.000000,7628000000.000000,,7628000000.000000
12M 2013,1585704000000.000000,801488000000.000000,10143000000.000000,540213000000.000000,233860000000.000000,1585704000000.000000,-1165053000000.000000,-443672000000.000000,-531058000000.000000,-148371000000.000000,-35241000000.000000,-6711000000.000000,-1165053000000.000000,420651000000.000000,-331388000000.000000,-331388000000.000000,-331388000000.000000,89263000000.000000,-22908000000.000000,,-22908000000.000000,,-22908000000.000000,66355000000.000000,,,,66355000000.000000,66355000000.000000,66355000000.000000,,66355000000.000000,66355000000.000000,66355000000.000000,,66355000000.000000
12M 2014,1559605000000.000000,844579000000.000000,10363000000.000000,438301000000.000000,266362000000.000000,1559605000000.000000,-1083228000000.000000,-473326000000.000000,-348976000000.000000,-221060000000.000000,-30177000000.000000,-9689000000.000000,-1083228000000.000000,476377000000.000000,-426385000000.000000,-426385000000.000000,-426385000000.000000,49992000000.000000,-13653000000.000000,,-13653000000.000000,,-13653000000.000000,36339000000.000000,,,,36339000000.000000,36339000000.000000,36339000000.000000,,36339000000.000000,36339000000.000000,36339000000.000000,,36339000000.000000
12M 2015,1740347000000.000000,977660000000.000000,25189000000.000000,459085000000.000000,278413000000.000000,1740347000000.000000,-1235671000000.000000,-505204000000.000000,-376614000000.000000,-317046000000.000000,-27828000000.000000,-8979000000.000000,-1235671000000.000000,504676000000.000000,-480889000000.000000,-480889000000.000000,-480889000000.000000,23787000000.000000,-8120000000.000000,-3082000000.000000,,-5038000000.000000,-8120000000.000000,15667000000.000000,9691000000.000000,9691000000.000000,9691000000.000000,25358000000.000000,15667000000.000000,15667000000.000000,,15667000000.000000,25358000000.000000,25358000000.000000,,25358000000.000000
12M 2016,1922083000000.000000,1311108000000.000000,21596000000.000000,326894000000.000000,262485000000.000000,1922083000000.000000,-1369745000000.000000,-532095000000.000000,-342217000000.000000,-384771000000.000000,-19359000000.000000,-91303000000.000000,-1369745000000.000000,552338000000.000000,-517662000000.000000,-517662000000.000000,-517662000000.000000,34676000000.000000,25627000000.000000,-118997000000.000000,148943000000.000000,-4319000000.000000,25627000000.000000,60303000000.000000,-595000000.000000,-595000000.000000,-595000000.000000,59708000000.000000,60303000000.000000,60303000000.000000,,60303000000.000000,59708000000.000000,59708000000.000000,,59708000000.000000
