Period,Aset,Kas Dan Setara Kas,Others,Total Kas Dan Setara Kas,Piutang Pembiayaan Konsumen,Others,Total Piutang Pembiayaan Konsumen,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Others,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Aset Tak Berwujud,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Bank,Pihak Ketiga,Pihak Berelasi,Total Utang Bank,Beban Akrual,Pihak Ketiga,Pihak Berelasi,Total Beban Akrual,Utang Pajak,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Obligasi,Pihak Ketiga,Pihak Berelasi,Total Utang Obligasi,Medium Term Notes,Liabilitas Pajak Tangguhan,Utang Pihak Berelasi,Liabilitas Derivatif,Obligasi Subordinasi,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2007,,,100513000000.000000,100513000000.000000,,4257764000000.000000,4257764000000.000000,,58805000000.000000,,,58805000000.000000,,32713000000.000000,46700000000.000000,,219074000000.000000,4715569000000.000000,,,1029178000000.000000,945261000000.000000,83917000000.000000,1029178000000.000000,59936000000.000000,56842000000.000000,3094000000.000000,59936000000.000000,3625000000.000000,973746000000.000000,970492000000.000000,3254000000.000000,973746000000.000000,2121643000000.000000,,,2121643000000.000000,,,259250000000.000000,,,13186000000.000000,4460564000000.000000,,200000000000.000000,110413000000.000000,-55408000000.000000,4000000000.000000,-59408000000.000000,-55408000000.000000,,255005000000.000000,4715569000000.000000,2000000000.000000
12M 2008,,,201840340456.000000,201840340456.000000,,2924767511420.000000,2924767511420.000000,37409308799.000000,,,,37409308799.000000,6801286291.000000,46878624593.000000,29331036874.000000,,185939771187.000000,3432967879620.000000,,,515672185112.000000,515672185112.000000,,515672185112.000000,48865260865.000000,43522689982.000000,5342570883.000000,48865260865.000000,1251865566.000000,576898200298.000000,569631575767.000000,7266624531.000000,576898200298.000000,1788432171959.000000,,,1788432171959.000000,,,213750000000.000000,,,12381764056.000000,3157251447856.000000,,200000000000.000000,110413490419.000000,-34697058655.000000,4000000000.000000,-38697058655.000000,-34697058655.000000,,275716431764.000000,3432967879620.000000,2000000000.000000
12M 2009,,,242664696925.000000,242664696925.000000,,2089522676674.000000,2089522676674.000000,34203341904.000000,,,,34203341904.000000,,68317108661.000000,,,138112953573.000000,2572820777737.000000,,,362881168585.000000,362881168585.000000,,362881168585.000000,52609075898.000000,49557573638.000000,3051502260.000000,52609075898.000000,949172904.000000,472803184536.000000,457143223213.000000,15659961323.000000,472803184536.000000,1157300168150.000000,,,1157300168150.000000,,2599680516.000000,168250000000.000000,5534075818.000000,,13506772330.000000,2236433298737.000000,,200000000000.000000,110413490419.000000,25973988581.000000,4000000000.000000,21973988581.000000,25973988581.000000,,336387479000.000000,2572820777737.000000,2000000000.000000
12M 2010,,,134039000000.000000,134039000000.000000,,3162620000000.000000,3162620000000.000000,,33992000000.000000,908000000.000000,,34900000000.000000,,94950000000.000000,,,172192000000.000000,3598701000000.000000,,,626379000000.000000,626379000000.000000,,626379000000.000000,48545000000.000000,46836000000.000000,1709000000.000000,48545000000.000000,1069000000.000000,1135661000000.000000,1119831000000.000000,15830000000.000000,1135661000000.000000,774030000000.000000,,,774030000000.000000,348525000000.000000,58653000000.000000,122617000000.000000,1747000000.000000,,22215000000.000000,3139441000000.000000,,200000000000.000000,110413000000.000000,148847000000.000000,5000000000.000000,143847000000.000000,148847000000.000000,,459260000000.000000,3598701000000.000000,2000000000.000000
12M 2011,,,308526000000.000000,308526000000.000000,,3261083000000.000000,3261083000000.000000,,42991000000.000000,,,42991000000.000000,,93095000000.000000,,,200831000000.000000,3906526000000.000000,,,851450000000.000000,851450000000.000000,,851450000000.000000,33380000000.000000,32531000000.000000,849000000.000000,33380000000.000000,1200000000.000000,784168000000.000000,753129000000.000000,31039000000.000000,784168000000.000000,1396547000000.000000,,,1396547000000.000000,199933000000.000000,69032000000.000000,100000000000.000000,,,34162000000.000000,3469872000000.000000,,200000000000.000000,110413000000.000000,126241000000.000000,6000000000.000000,120241000000.000000,126241000000.000000,,436654000000.000000,3906526000000.000000,2000000000.000000
12M 2012,,,338040000000.000000,338040000000.000000,,2804079000000.000000,2804079000000.000000,,49370000000.000000,,,49370000000.000000,,66645000000.000000,,,90087000000.000000,3348221000000.000000,,,1152812000000.000000,1079795000000.000000,73017000000.000000,1152812000000.000000,37959000000.000000,37090000000.000000,869000000.000000,37959000000.000000,12721000000.000000,366638000000.000000,327599000000.000000,39039000000.000000,366638000000.000000,1104179000000.000000,,,1104179000000.000000,,80119000000.000000,100000000000.000000,,,49511000000.000000,2903939000000.000000,,200000000000.000000,110413000000.000000,133869000000.000000,7000000000.000000,126869000000.000000,133869000000.000000,,444282000000.000000,3348221000000.000000,2000000000.000000
12M 2013,,,233080000000.000000,233080000000.000000,,3378921000000.000000,3378921000000.000000,,70871000000.000000,,,70871000000.000000,,41003000000.000000,,,105221000000.000000,3829096000000.000000,,,1676602000000.000000,1606355000000.000000,70247000000.000000,1676602000000.000000,65396000000.000000,64397000000.000000,999000000.000000,65396000000.000000,4805000000.000000,320465000000.000000,266171000000.000000,54294000000.000000,320465000000.000000,985122000000.000000,,,985122000000.000000,,103027000000.000000,,,100000000000.000000,63042000000.000000,3318459000000.000000,,200000000000.000000,110413000000.000000,200224000000.000000,8000000000.000000,192224000000.000000,200224000000.000000,,510637000000.000000,3829096000000.000000,2000000000.000000
12M 2014,,,742715000000.000000,742715000000.000000,,4286864000000.000000,4286864000000.000000,,71750000000.000000,,,71750000000.000000,,59569000000.000000,,,139033000000.000000,5299931000000.000000,,,2163030000000.000000,2126570000000.000000,36460000000.000000,2163030000000.000000,41579000000.000000,40174000000.000000,1405000000.000000,41579000000.000000,7801000000.000000,226599000000.000000,179189000000.000000,47410000000.000000,226599000000.000000,2015316000000.000000,,,2015316000000.000000,,116680000000.000000,,,100000000000.000000,81950000000.000000,4752955000000.000000,,200000000000.000000,110413000000.000000,236563000000.000000,9000000000.000000,227563000000.000000,236563000000.000000,,546976000000.000000,5299931000000.000000,2000000000.000000
12M 2015,,,853966000000.000000,853966000000.000000,,4190347000000.000000,4190347000000.000000,,72804000000.000000,1917000000.000000,,74721000000.000000,,45192000000.000000,,,142043000000.000000,5306269000000.000000,,,1700389000000.000000,1687010000000.000000,13379000000.000000,1700389000000.000000,36601000000.000000,35219000000.000000,1382000000.000000,36601000000.000000,3355000000.000000,190817000000.000000,165084000000.000000,25733000000.000000,190817000000.000000,2297481000000.000000,2267577000000.000000,29904000000.000000,2297481000000.000000,,118102000000.000000,,,100000000000.000000,103933000000.000000,4550678000000.000000,,348148000000.000000,160190000000.000000,253407000000.000000,10000000000.000000,243407000000.000000,253407000000.000000,-6154000000.000000,755591000000.000000,5306269000000.000000,3481481480.000000
12M 2016,,,547353000000.000000,547353000000.000000,,5860176000000.000000,5860176000000.000000,,77758000000.000000,4695000000.000000,,82453000000.000000,,71014000000.000000,31039000000.000000,,78881000000.000000,6670916000000.000000,,,2556549000000.000000,2556549000000.000000,,2556549000000.000000,51895000000.000000,50351000000.000000,1544000000.000000,51895000000.000000,126115000000.000000,279694000000.000000,245650000000.000000,34044000000.000000,279694000000.000000,2619559000000.000000,2444886000000.000000,174673000000.000000,2619559000000.000000,,,,,100000000000.000000,121805000000.000000,5855617000000.000000,,348148000000.000000,160190000000.000000,313710000000.000000,11000000000.000000,302710000000.000000,313710000000.000000,-6749000000.000000,815299000000.000000,6670916000000.000000,3481481480.000000
