Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari:,Konsumen,Bank-Bank Sehubungan Dengan Transaksi Kerjasama Penerusan Pinjaman,Bank-Bank Sehubungan Dengan Transaksi Kerjasama Pembiayaan Bersama,Pendapatan Komisi Asuransi,Bunga Giro Dan Deposito,Pendapatan Denda,Penerimaan Kembali Piutang Yang Telah Dihapusbukukan,Pendapatan Pelunasan Awal Konsumen,Pendapatan Administrasi,Lain-Lain,Adjustment,Total Penerimaan Kas Dari:,Pembayaran Kas Untuk/Kepada:,Dealer,Transkasi Sehubungan Dengan Pembiayaan,Bank-Bank Sehubungan Dengan Transaksi Kerjasama Penerusan Pinjaman,Bank-Bank Sehubungan Dengan Transaksi Kerjasama Pembiayaan Bersama,"Beban Umum Dan Administrasi, Beban Gaji Dan Tunjangan Karyawan Serta Beban Lain-Lain",Bank-Bank Sehubungan Dengan Hak Bank-Bank Atas Pendapatan Pembiayaan Kosumen,Beban Pendanaan,Pajak Penghasilan,Beban Bunga Liabilitas Sewa,Lain-Lain,Total Pembayaran Kas Untuk/Kepada:,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Bunga,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penambahan Nilai Aset Hak Guna,Pencairan Deposito,Uang Muka Renovasi Gedung,Uang Muka Software Dan Lisensi,Penempatan Deposito,Penjualan (Pembelian) Efek,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Bank,Pelunasan Utang Obligasi,Pelunasan Utang Bank,Pembayaran Liabilitas Sewa,Pembayaran Biaya Emisi Obligasi,Penerimaan Dari Penerbitan Saham,Penerimaan Dari Penerbitan Utang Obligasi,Pelunasan Utang - Pihak Berelasi,Penerimaan Utang - Pihak Berelasi,Penambahan Utang Subordinasi,Pelunasan Utang Subordinasi,Penerimaan Dari Penerbitan Mtn,Pelunasan Mtn,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2007,-787164000000.000000,,4595130000000.000000,2111782000000.000000,729054000000.000000,,,,,,384209000000.000000,956784000000.000000,,8776959000000.000000,,-4825339000000.000000,,-1072868000000.000000,-1231086000000.000000,-860885000000.000000,-220573000000.000000,-568881000000.000000,-20149000000.000000,,-764342000000.000000,-9564123000000.000000,-787164000000.000000,-10387000000.000000,1959000000.000000,286000000.000000,-12632000000.000000,,,,,,,-10387000000.000000,817604000000.000000,1779000000000.000000,-340000000000.000000,-1661198000000.000000,,-7448000000.000000,,1000000000000.000000,-22750000000.000000,100000000000.000000,,,,,-30000000000.000000,817604000000.000000,,20053000000.000000,80460000000.000000,100513000000.000000
12M 2008,1016141607808.000000,,5043165579794.000000,4214098185093.000000,387405425579.000000,,,,,,354959202807.000000,325151691127.000000,,10324780084400.000000,,-4555297463419.000000,,-2312499948101.000000,-732460463264.000000,-662856449081.000000,-571849870376.000000,-472706496809.000000,-967785542.000000,,,-9308638476592.000000,1016141607808.000000,-15856145313.000000,12267309340.000000,89495000.000000,-28212949653.000000,,,,,,,-15856145313.000000,-898957313861.000000,718416670925.000000,-340000000000.000000,-1231873984786.000000,,,,,-45500000000.000000,,,,,,,-898957313861.000000,,101328148634.000000,100512191822.000000,201840340456.000000
12M 2009,895022900852.000000,,5822268065584.000000,3418306942478.000000,362688688572.000000,,,,,,467610266003.000000,,,10070873962637.000000,,-3710081613942.000000,,-2837441244247.000000,-552648912796.000000,-708211604792.000000,-770518876168.000000,-332192559448.000000,,,-264756250392.000000,-9175851061785.000000,895022900852.000000,-20907527856.000000,19753468732.000000,924751857.000000,-41585748445.000000,,,,,,,-20907527856.000000,-833291016527.000000,435000000000.000000,-635000000000.000000,-587791016527.000000,,,,,-45500000000.000000,,,,,,,-833291016527.000000,,40824356469.000000,201840340456.000000,242664696925.000000
12M 2010,-253117000000.000000,,5992308000000.000000,,6370353000000.000000,,,,,,707808000000.000000,374462000000.000000,,13444931000000.000000,,-6756110000000.000000,,,-4334400000000.000000,-896300000000.000000,-984657000000.000000,-290063000000.000000,,,-436518000000.000000,-13698048000000.000000,-253117000000.000000,-44646000000.000000,8749000000.000000,4757000000.000000,-58152000000.000000,,,,,,,-44646000000.000000,189138000000.000000,729280000000.000000,-385000000000.000000,-459642000000.000000,,,,,-45500000000.000000,,,,350000000000.000000,,,189138000000.000000,,-108625000000.000000,242664000000.000000,134039000000.000000
12M 2011,-453462000000.000000,,6743258000000.000000,,5492483000000.000000,,,,,,666297000000.000000,265135000000.000000,,13167173000000.000000,,-6629795000000.000000,,,-4569559000000.000000,-1015003000000.000000,-892541000000.000000,-406718000000.000000,,,-107019000000.000000,-13620635000000.000000,-453462000000.000000,-15243000000.000000,20865000000.000000,5092000000.000000,-41200000000.000000,,,,,,,-15243000000.000000,643181000000.000000,845065000000.000000,-775000000000.000000,-648884000000.000000,,,,1400000000000.000000,,,,,,-150000000000.000000,-28000000000.000000,643181000000.000000,11000000.000000,174487000000.000000,134039000000.000000,308526000000.000000
12M 2012,226038000000.000000,,7758686000000.000000,,3076640000000.000000,,,,,,569813000000.000000,384120000000.000000,,11789259000000.000000,,-4235954000000.000000,,,-4992755000000.000000,-1010410000000.000000,-942099000000.000000,-320857000000.000000,,,-61146000000.000000,-11563221000000.000000,226038000000.000000,-3908000000.000000,9251000000.000000,3609000000.000000,-16768000000.000000,,,,,,,-3908000000.000000,-192638000000.000000,1033500000000.000000,-294000000000.000000,-732138000000.000000,,,,,,,,,,-200000000000.000000,,-192638000000.000000,22000000.000000,29514000000.000000,308526000000.000000,338040000000.000000
12M 2013,-500055000000.000000,,7934131000000.000000,,4088703000000.000000,,,,,,540213000000.000000,457887000000.000000,,13020934000000.000000,,-6583382000000.000000,,,-4713175000000.000000,-1052732000000.000000,-829244000000.000000,-288116000000.000000,,,-54340000000.000000,-13520989000000.000000,-500055000000.000000,-8729000000.000000,10143000000.000000,3024000000.000000,-11896000000.000000,,,,,,-10000000000.000000,-8729000000.000000,403790000000.000000,1594779000000.000000,-120000000000.000000,-1070989000000.000000,,,,,,,,,,,,403790000000.000000,34000000.000000,-104960000000.000000,338040000000.000000,233080000000.000000
12M 2014,-984588000000.000000,,8310947000000.000000,,3946984000000.000000,,,,,,573007000000.000000,300341000000.000000,,13131279000000.000000,,-7419927000000.000000,,,-4484046000000.000000,-1017594000000.000000,-633285000000.000000,-387868000000.000000,-23589000000.000000,,-149558000000.000000,-14115867000000.000000,-984588000000.000000,-26213000000.000000,10363000000.000000,2264000000.000000,-50074000000.000000,,,,,,11234000000.000000,-26213000000.000000,1520428000000.000000,3519601000000.000000,-366000000000.000000,-3033173000000.000000,,,,1400000000000.000000,,,,,,,,1520428000000.000000,8000000.000000,509635000000.000000,233080000000.000000,742715000000.000000
12M 2015,94679000000.000000,,8595599000000.000000,,4390097000000.000000,,,,,,498917000000.000000,305630000000.000000,,13790243000000.000000,,-7368340000000.000000,,,-4330301000000.000000,-956644000000.000000,-534888000000.000000,-456593000000.000000,-2655000000.000000,,-46143000000.000000,-13695564000000.000000,94679000000.000000,2899000000.000000,20151000000.000000,2058000000.000000,-14760000000.000000,,450000000.000000,,,-5000000000.000000,,2899000000.000000,13586000000.000000,2196788000000.000000,-1317000000000.000000,-2659428000000.000000,,,197925000000.000000,1595301000000.000000,,,,,,,,13586000000.000000,87000000.000000,111251000000.000000,742715000000.000000,853966000000.000000
12M 2016,-1444520000000.000000,,8018931000000.000000,,482588000000.000000,,,,,,453057000000.000000,394269000000.000000,,9348845000000.000000,,-5641260000000.000000,,,-3171202000000.000000,-1025964000000.000000,-386456000000.000000,-491704000000.000000,-14376000000.000000,,-62403000000.000000,-10793365000000.000000,-1444520000000.000000,-35982000000.000000,17277000000.000000,5107000000.000000,-48366000000.000000,,,,,-10000000000.000000,,-35982000000.000000,1173911000000.000000,2900000000000.000000,-343000000000.000000,-2043840000000.000000,,,,660751000000.000000,,,,,,,,1173911000000.000000,-22000000.000000,-306613000000.000000,853966000000.000000,547353000000.000000
