Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Aset Tetap,Aset Tak Berwujud,Investasi Jangka Panjang,Properti Pertambangan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Dari Pihak Berelasi,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Obligasi Konversi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Adjustment,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,296680282.000000,,,,,828438524.000000,828438524.000000,,828438524.000000,6195524390.000000,,,7320643196.000000,,19788926972.000000,4438325977.000000,,,25130408796.000000,,49357661745.000000,56678304941.000000,,,3332880722.000000,,,,,,,,2486533070.000000,,2486533070.000000,846347652.000000,,,,,,,3332880722.000000,99769053833.000000,,4617829145.000000,4617829145.000000,94560457033.000000,,,,,590767655.000000,99769053833.000000,103101934555.000000,,250000000.000000,100000000.000000,-53574068570.000000,,,-53574068570.000000,,6800438956.000000,-46423629614.000000,56678304941.000000,250.000000
12M 2018,,,294803565.000000,,,,,819164812.000000,819164812.000000,,819164812.000000,6195524390.000000,,,7309492767.000000,,9669619041.000000,9865720043.000000,,,25130408796.000000,,44665747880.000000,51975240647.000000,,,8873295565.000000,,,,,,,,7349236206.000000,,7349236206.000000,1524059359.000000,,,,,,,8873295565.000000,105898522369.000000,,417451009.000000,417451009.000000,104811927937.000000,,,,,669143423.000000,105898522369.000000,114771817934.000000,,250000000.000000,100000000.000000,-69952409187.000000,,,-69952409187.000000,,6805831900.000000,-62796577287.000000,51975240647.000000,250.000000
12M 2019,,,335960812.000000,,,,,809943514.000000,809943514.000000,,809943514.000000,,,,1145904326.000000,,14003699979.000000,2588669553.000000,,,25130408796.000000,1505490000.000000,43228268328.000000,44374172654.000000,,,9963674588.000000,,,,,,,,6950500000.000000,884949365.000000,7835449365.000000,2128225223.000000,,,,,,,9963674588.000000,111279354127.000000,,6233670471.000000,6233670471.000000,104270486990.000000,,,,,775196666.000000,111279354127.000000,121243028715.000000,,250000000.000000,100000000.000000,-84020133666.000000,,,-84020133666.000000,,6801277605.000000,-76868856061.000000,44374172654.000000,250.000000
12M 2020,,,26715940259.000000,52899525551.000000,52899525551.000000,,52899525551.000000,7230803085.000000,76803085.000000,7154000000.000000,7230803085.000000,10388576588.000000,,26882769674.000000,124117615157.000000,,14225883945.000000,14549012847.000000,,,30437708494.000000,6384645485.000000,65597250771.000000,189714865928.000000,,,78371288918.000000,,,14356023156.000000,,14356023156.000000,,,7077010800.000000,73745761.000000,7150756561.000000,15290464478.000000,18080444616.000000,,129851860.000000,129851860.000000,,23363748247.000000,78371288918.000000,4563496111.000000,,589966256.000000,589966256.000000,,,,,,3973529855.000000,4563496111.000000,82934785029.000000,,153250000000.000000,-1491868324.000000,-52444734006.000000,,,-52444734006.000000,678859872.000000,6787823357.000000,106780080899.000000,189714865928.000000,7662500000.000000
12M 2021,,,98880106380.000000,56653169362.000000,56653169362.000000,,56653169362.000000,106326087.000000,106326087.000000,,106326087.000000,9045001460.000000,,169570118184.000000,334254721473.000000,,17284101907.000000,22290221170.000000,,,34669999684.000000,8848313693.000000,83092636454.000000,417347357927.000000,,,64286376302.000000,,,19135155589.000000,,19135155589.000000,,,7375000.000000,,7375000.000000,13966674726.000000,29394679840.000000,,20996782.000000,20996782.000000,,1761494365.000000,64286376302.000000,5966892486.000000,,,,,,136375786.000000,136375786.000000,,5830516700.000000,5966892486.000000,70253268788.000000,,193250000000.000000,153644639517.000000,-7082650012.000000,,,-7082650012.000000,495323530.000000,6786776104.000000,347094089139.000000,417347357927.000000,9662500000.000000
12M 2022,,,95501124834.000000,194005329353.000000,194005329353.000000,,194005329353.000000,842826087.000000,842826087.000000,,842826087.000000,13050980387.000000,,209958115960.000000,513358376621.000000,,25049376706.000000,23905686165.000000,,,24394088778.000000,14166868202.000000,87516019851.000000,600874396472.000000,,,92472757720.000000,,,22006530281.000000,,22006530281.000000,,,7365004.000000,,7365004.000000,46727212220.000000,22425767868.000000,,,,,1305882347.000000,92472757720.000000,11085838151.000000,,,,,,,,,11085838151.000000,11085838151.000000,103558595871.000000,,193250321140.000000,153649135477.000000,142647231716.000000,,142647231716.000000,142647231716.000000,971533629.000000,6797578639.000000,497315800601.000000,600874396472.000000,9662516057.000000
12M 2023,,,135773480179.000000,48639760655.000000,48639760655.000000,,48639760655.000000,399499999.000000,399499999.000000,,399499999.000000,65713358864.000000,,348114220577.000000,598640320274.000000,,35128515788.000000,29858981217.000000,,,53997443090.000000,139212718031.000000,258197658126.000000,856837978400.000000,,,97143057431.000000,,,38454926367.000000,,38454926367.000000,,,,,,11178174030.000000,43868192590.000000,,1692738151.000000,1692738151.000000,,1949026293.000000,97143057431.000000,14224753549.000000,,,,,,,,,14224753549.000000,14224753549.000000,111367810980.000000,,212712898140.000000,426117142473.000000,97856982762.000000,15000000000.000000,82856982762.000000,97856982762.000000,1184109070.000000,7599034975.000000,745470167420.000000,856837978400.000000,10635644907.000000
12M 2024,,,227951744981.000000,218767592407.000000,218767592407.000000,,218767592407.000000,547299999.000000,547299999.000000,,547299999.000000,12821916983.000000,,447551478901.000000,907640033271.000000,,54865616100.000000,26985495762.000000,2991389148.000000,,28635422579.000000,28988894370.000000,142466817959.000000,1050106851230.000000,,,150957956829.000000,,,55999290181.000000,,55999290181.000000,,,,,,71664945272.000000,19521214026.000000,,1783892442.000000,1783892442.000000,,1988614908.000000,150957956829.000000,6340771657.000000,,,,,,,,,20963551678.000000,6340771657.000000,157298728486.000000,,212712898140.000000,426117142473.000000,229817665430.000000,20000000000.000000,209817665430.000000,229817665430.000000,1897118472.000000,7640518208.000000,878185342723.000000,1035484071209.000000,10635644907.000000
