Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Penghasilan Bunga,Pembayaran Kepada Pemasok,Pembayaran Kas Lainnya Untuk Beban Operasional,Penerimaan Dari Pajak,Pembayaran Untuk Pajak,Pembayaran Kepada Karyawan,Pembayaran Untuk Beban Usaha,Pembayaran Untuk Bunga Dan Biaya Bank,"Lain-Lain, Bersih",Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pelepasan Aset Tetap,Penempatan Uang Muka Investasi,Uang Muka Perolehan Aset Tetap Dan Aset Takberwujud,Perolehan Aset Takberwujud,Investasi Pada Entitas Asosiasi,Penambahan Pembelian Uang Muka Aset Tetap,Pembayaran Piutang Kepada Pihak Berelasi,Penerimaan Dari Pihak Ketiga,Perolehan Properti Pertambangan Dari Entitas Anak,Penempatan Jaminan Reklamasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Kepada Pihak Ketiga,Penerimaan Utang Dari Pihak Berelasi,Pembayaran Kepada Pihak Berelasi,Penerimaan Penambahan Modal Melalui Penawaran Umum Saham Perdana,Penerimaan Sehubungan Dengan Konversi Waran,Pembayaran Dividen,Setoran Modal,Pembayaran Utang Sewa Pembiayaan Konsumen,Penerimaan Pihak Ketiga,Pembayaran Liabilitas Sewa Pembiayaan,Pembayaran Dari Obligasi Konversi,Adjustment,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kenaikan Neto Kas Dan Bank Sehubungan Dengan Akuisisi,Kas Dan Setara Kas Awal Tahun,Kas Dan Setara Kas Akhir Tahun
12M 2017,-729962068.000000,,74790.000000,,-148374197.000000,,-1237500.000000,-575585000.000000,-4840161.000000,,,,-729962068.000000,13500000.000000,,,,,,,,,13500000.000000,,,13500000.000000,733603410.000000,,733603410.000000,,,,,,,,,,,,733603410.000000,17141342.000000,,279538940.000000,296680282.000000
12M 2018,-672749141.000000,,54795.000000,,-85170130.000000,,-6871250.000000,-576165000.000000,-4597556.000000,,,,-672749141.000000,8547424.000000,,,,,,,,,8547424.000000,,,8547424.000000,662325000.000000,-2377796864.000000,,-4200378136.000000,,,,,,7240500000.000000,,,,,662325000.000000,-1876717.000000,,296680282.000000,294803565.000000
12M 2019,-2836136625.000000,,37294125.000000,,-2281733702.000000,,-6628750.000000,-581985000.000000,-3083298.000000,,,,-2836136625.000000,-1645240000.000000,-150000000.000000,,,,,,,,10250000.000000,,-1505490000.000000,-1645240000.000000,4522533872.000000,-398736206.000000,4939820078.000000,-18550000.000000,,,,,,,,,,,4522533872.000000,41157247.000000,,294803565.000000,335960812.000000
12M 2020,25700322570.000000,158435998830.000000,364326574.000000,-108653469328.000000,-2346752565.000000,,-12311825346.000000,-9650672981.000000,-137282614.000000,,,,25700322570.000000,-24649893031.000000,-6602032766.000000,,,,,,-777892500.000000,-7154000000.000000,758790404.000000,-5995602684.000000,-4879155485.000000,-24649893031.000000,25263082050.000000,,,-6454907818.000000,,,,153000000000.000000,-195415376.000000,,-99988000.000000,-120986606756.000000,,,25263082050.000000,26313511589.000000,66467858.000000,335960812.000000,26715940259.000000
12M 2021,-101457985763.000000,395114301161.000000,590391042.000000,-463293118363.000000,,,-16688857851.000000,-17032404374.000000,,-148297378.000000,,,-101457985763.000000,-11191011764.000000,-8727343556.000000,,,,,,,,,,-2463668208.000000,-11191011764.000000,184813163648.000000,-7052502502.000000,,-656337018.000000,40000000000.000000,,,153644639517.000000,-966609091.000000,,-156027258.000000,,,,184813163648.000000,72164166121.000000,,26715940259.000000,98880106380.000000
12M 2022,9222736715.000000,1012042444505.000000,881189402.000000,-947845511626.000000,,,-22299648642.000000,-33378398487.000000,,-177338437.000000,,,9222736715.000000,-10218781573.000000,-4900227064.000000,,,,,,,,,,-5318554509.000000,-10218781573.000000,-2382936688.000000,,,,,4495960.000000,,321140.000000,-2366757006.000000,,-20996782.000000,,,,-2382936688.000000,-3378981546.000000,,98880106380.000000,95501124834.000000
12M 2023,-45492008370.000000,1286828464553.000000,885152816.000000,-1214972606869.000000,,,-63523627066.000000,-54570036953.000000,,-139354851.000000,,,-45492008370.000000,-127008885054.000000,-2038245359.000000,370000000.000000,-125000000000.000000,,,,,,,,-340639695.000000,-127008885054.000000,212773248769.000000,,,,,272468006996.000000,-71714629520.000000,19462577000.000000,-3692644736.000000,,-3750060971.000000,,,,212773248769.000000,40272355345.000000,,95501124834.000000,135773480179.000000
12M 2024,491711925474.000000,1272362523164.000000,1431860404.000000,-687180213835.000000,,,-30263440168.000000,-64433346474.000000,,-205457617.000000,,,491711925474.000000,-207297076610.000000,-2448576012.000000,,-186865000000.000000,-4352318103.000000,-3502114125.000000,,,,,,-10129068370.000000,-207297076610.000000,-192236584062.000000,,,,,,-186083855457.000000,,-4459990491.000000,,-1692738114.000000,,,,-192236584062.000000,92178264802.000000,,135773480179.000000,227951744981.000000
