Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Adjustment,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2017,,,,-14118949692.000000,-11299057143.000000,-2819892549.000000,-14118949692.000000,-14118949692.000000,-2217987393.000000,74790.000000,-2218062183.000000,,,-2217987393.000000,-16336937085.000000,3966760230.000000,,-12370176855.000000,,-12370176855.000000,-12370176855.000000,-12370176855.000000,,-12370176855.000000,-12370176855.000000,-12370176855.000000,,,-12370176855.000000
12M 2018,,,,-19634445389.000000,-10690509806.000000,-8943935583.000000,-19634445389.000000,-19634445389.000000,-1976985940.000000,54795.000000,-1977040735.000000,,,-1976985940.000000,-21611431329.000000,5233090712.000000,,-16378340617.000000,5392944.000000,-16372947673.000000,-16378340617.000000,-16378340617.000000,,-16378340617.000000,-16372947673.000000,-16372947673.000000,,,-16372947673.000000
12M 2019,,,,-16509132781.000000,-11598942803.000000,-4910189978.000000,-16509132781.000000,-16509132781.000000,-1891154537.000000,37294125.000000,-1928448662.000000,,,-1891154537.000000,-18400287318.000000,4332562839.000000,,-14067724479.000000,-4554295.000000,-14072278774.000000,-14067724479.000000,-14067724479.000000,,-14067724479.000000,-14072278774.000000,-14072278774.000000,,,-14072278774.000000
12M 2020,188021770134.000000,-116635383629.000000,71386386505.000000,-20640937787.000000,-20640937787.000000,,-20640937787.000000,50745448718.000000,-10947328065.000000,364326574.000000,-1506265529.000000,-4902694555.000000,-4902694555.000000,-10947328065.000000,39798120653.000000,-12690776742.000000,4902694555.000000,32010038466.000000,-13529750.000000,31996508716.000000,32010038466.000000,31575399660.000000,434638806.000000,32010038466.000000,31996508716.000000,31561945412.000000,434563304.000000,,31996508716.000000
12M 2021,419446938854.000000,-322609778405.000000,96837160449.000000,-37352472939.000000,-37352472939.000000,,-37352472939.000000,59484687510.000000,1801323642.000000,590391042.000000,-148297378.000000,,1359229978.000000,1801323642.000000,61286011152.000000,-15787484180.000000,,45498526972.000000,-1071190.000000,45497455782.000000,45498526972.000000,45362083994.000000,136442978.000000,45498526972.000000,45497455782.000000,45361036741.000000,136419041.000000,,45497455782.000000
12M 2022,1132267113854.000000,-869980512229.000000,262286601625.000000,-79250335316.000000,-79250335316.000000,,-79250335316.000000,183036266309.000000,19389123397.000000,881189402.000000,-177338437.000000,,18685272432.000000,19389123397.000000,202425389706.000000,-52219388667.000000,,150206001039.000000,10893323.000000,150216894362.000000,150206001039.000000,149729881728.000000,476119311.000000,150206001039.000000,150216894362.000000,149740684263.000000,476210099.000000,,150216894362.000000
12M 2023,1141462895855.000000,-1004799998775.000000,136662897080.000000,-91498586358.000000,-91498586358.000000,,-91498586358.000000,45164310722.000000,1499776331.000000,885152816.000000,-139354851.000000,,753978366.000000,1499776331.000000,46664087053.000000,-19529056707.000000,,27135030346.000000,803381997.000000,27938412343.000000,27135030346.000000,26924380566.000000,210649780.000000,27135030346.000000,27938412343.000000,27725836902.000000,212575441.000000,,27938412343.000000
12M 2024,1442490354916.000000,-925222099374.000000,517268255542.000000,-103167237412.000000,-103167237412.000000,,-103167237412.000000,414101018130.000000,978190922.000000,1431860404.000000,-205457617.000000,,-248211865.000000,978190922.000000,415079209052.000000,-96321685927.000000,,318757523125.000000,41507635.000000,318799030760.000000,318757523125.000000,318044538125.000000,712985000.000000,318757523125.000000,318799030760.000000,318086021358.000000,713009402.000000,,318799030760.000000
