Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada,Pemasok,Direksi Dan Karyawan,Total Pembayaran Kas Kepada,Pembayaran Pajak Penghasilan,Penerimaan Restitusi Pajak,Penerimaan Pajak Penghasilan,Pembayaran Pajak Lainnya,Penerimaan Pajak Lainnya,Cadangan,Lain-Lain - Bersih,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan (Penempatan) Bersih Investasi Sementara,Hasil Penjualan Aset Tetap,Penerimaan Bunga,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Uang Jaminan,Perolehan Investasi Pada Entitas Asosiasi,Kenaikan Pada Saham Non Pengendali Pada Entitas Asosiasi,Cadangan,Akuisisi Entitas Anak,Investasi Pada Anak Perusahaan,Penerimaan Kas Atas Pelepasan Entitas Asosiasi,Efek Kas Atas Akuisisi Anak Perusahaan,Pembayaran Untuk Investasi Sementara,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Jual Sewa Kembali,Penerbitan Saham Oleh Entitas Anak,Penerimaan Pinjaman Jangka Pendek,Penerimaan Pinjaman Jangka Panjang,Penerimaan (Pembayaran) Hutang Sewa,Penerimaan (Pembayaran) Bunga,Penerimaan Atas Penjualan Aset Tetap,Penerimaan Pinjaman Tanpa Agunan,Pembayaran Pinjaman Tanpa Agunan,Pembayaran Dividen,Pembayaran Kepada Kepentingan Non Pengendali Atas Penurunan Modal Saham Itds,Penerimaan Dari Kepentingan Non Pengendali Atas Pelepasan Saham Itds,Akuisisi Tambahan Saham Ikt,Penerbitan Saham,Pinjaman Kepada Pihak Ketiga,Pembayaran Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,59421368.000000,573499478.000000,-517091019.000000,,,-517091019.000000,,975065.000000,,,,,2037844.000000,59421368.000000,-38455173.000000,1250000.000000,8100217.000000,2850849.000000,-50656239.000000,,,,,,,,,,,-38455173.000000,-11832612.000000,24999350.000000,,,,-13303025.000000,-9895734.000000,,,,-1199056.000000,,,,,,,-12434147.000000,-11832612.000000,9133583.000000,3377645.000000,,12511228.000000
12M 2009,85991326.000000,485830495.000000,-436165514.000000,,,-436165514.000000,,201247.000000,,,,,36125098.000000,85991326.000000,-4752802.000000,-750000.000000,1564846.000000,1693126.000000,-7260774.000000,,,,,,,,,,,-4752802.000000,-86786389.000000,,,,,-8579917.000000,-6806175.000000,,,,,,,,,,,-71400297.000000,-86786389.000000,-5547865.000000,12511228.000000,,6963363.000000
12M 2010,61234853.000000,588229067.000000,-536259640.000000,,,-536259640.000000,-328678.000000,,,,,4105505.000000,5488599.000000,61234853.000000,-14680361.000000,750000.000000,778871.000000,508316.000000,-19995351.000000,,,,,,,3277803.000000,,,,-14680361.000000,-42607388.000000,,,,4800097.000000,-8550770.000000,-2136715.000000,,,,,,,,,,,-36720000.000000,-42607388.000000,3947104.000000,6963363.000000,,10910467.000000
12M 2011,48968504.000000,769626942.000000,-723528813.000000,,,-723528813.000000,-4214077.000000,,,,,,7084452.000000,48968504.000000,-90552615.000000,9500000.000000,7824045.000000,941360.000000,-65920666.000000,,,-46560007.000000,,,,3662653.000000,,,,-90552615.000000,36967478.000000,15936314.000000,,,80000000.000000,-13661788.000000,-1610102.000000,,,,-6450179.000000,,,,,,,-37246767.000000,36967478.000000,-4616633.000000,10910467.000000,,6293834.000000
12M 2012,26074447.000000,738610720.000000,,-670854317.000000,-32655061.000000,-703509378.000000,-10113490.000000,,,,,,1086595.000000,26074447.000000,-26335739.000000,15500000.000000,3282300.000000,803604.000000,-44361791.000000,,,,148.000000,,,-1560000.000000,,,,-26335739.000000,11003206.000000,24957967.000000,,,,-8957493.000000,-2468773.000000,,,,-2276235.000000,,,,,,,-252260.000000,11003206.000000,10741914.000000,6293834.000000,,17035748.000000
12M 2013,37599432.000000,753758241.000000,,-648869752.000000,-45849722.000000,-694719474.000000,-21090250.000000,,,,,,-349085.000000,37599432.000000,-52153445.000000,,2813135.000000,515358.000000,-55473196.000000,,,,159.000000,,,-8901.000000,,,,-52153445.000000,16073812.000000,69697.000000,,7749740.000000,19591459.000000,-8565511.000000,-2771573.000000,,,,,,,,,,,,16073812.000000,1519799.000000,17035748.000000,,18555547.000000
12M 2014,45970616.000000,753239723.000000,,-656344469.000000,-46823644.000000,-703168113.000000,-3534774.000000,,,,,,-566220.000000,45970616.000000,-76363519.000000,500000.000000,976708.000000,686380.000000,-65018546.000000,,,,566.000000,,,-13508627.000000,,,,-76363519.000000,22609650.000000,18210967.000000,,4788260.000000,25748214.000000,-19647668.000000,-4463948.000000,,,,,,,,,,,-2026175.000000,22609650.000000,-7783253.000000,18555547.000000,,10772294.000000
12M 2015,-29864202.000000,683112131.000000,,-646963792.000000,-57636156.000000,-704599948.000000,-3340893.000000,,,,,,-5035492.000000,-29864202.000000,-64523395.000000,38900368.000000,1401616.000000,413125.000000,-59669904.000000,,,-28319000.000000,,,,-17249600.000000,,,,-64523395.000000,109242978.000000,,,107512079.000000,98699704.000000,-8437957.000000,-5266000.000000,,,,,,,,,,-77670071.000000,-5594777.000000,109242978.000000,14855381.000000,11264831.000000,-235905.000000,25884307.000000
12M 2016,70325072.000000,670248847.000000,,-545586831.000000,-59489371.000000,-605076202.000000,,5535353.000000,,,,,-382926.000000,70325072.000000,-86840198.000000,99632.000000,854087.000000,155498.000000,-61924170.000000,,,,,,,-26025245.000000,,,,-86840198.000000,10522940.000000,,,86033051.000000,83226917.000000,-2196811.000000,-9808059.000000,,,,,,,,,,-103632612.000000,-43099546.000000,10522940.000000,-5992186.000000,25884307.000000,-66672.000000,19825449.000000
12M 2017,71761852.000000,760391905.000000,,-632741039.000000,-61406519.000000,-694147558.000000,-14320305.000000,5683580.000000,17516259.000000,-5005631.000000,,,1643602.000000,71761852.000000,-16019816.000000,,355286.000000,228854.000000,-10503444.000000,,,,,,,-6100512.000000,,,,-16019816.000000,-59192419.000000,,,70568582.000000,74743932.000000,-2199761.000000,-10629956.000000,,,,,,,,,,-67391684.000000,-124283532.000000,-59192419.000000,-3450383.000000,24825449.000000,248224.000000,21623290.000000
