Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Jangka Panjang Dari Pihak Berelasi,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Liabilitas Derivatif,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Liabilitas Derivatif,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,12511228.000000,69500000.000000,39946767.000000,,,39946767.000000,13353754.000000,,,13353754.000000,75548434.000000,6710677.000000,217570860.000000,,682216.000000,351794356.000000,39628975.000000,392105547.000000,609676407.000000,,,206620185.000000,,137175143.000000,,,137175143.000000,1786290.000000,,,1786290.000000,92724.000000,5196434.000000,,,55561103.000000,2741794.000000,,58302897.000000,4066697.000000,206620185.000000,159180991.000000,,88770000.000000,18888892.000000,107658892.000000,42223218.000000,7000000.000000,,2298881.000000,159180991.000000,365801176.000000,,160217573.000000,916682.000000,82717975.000000,9475.000000,82708500.000000,82717975.000000,,23001.000000,243875231.000000,609676407.000000,654351707.000000
12M 2009,,,6963363.000000,70250000.000000,44064361.000000,,,44064361.000000,13373738.000000,,,13373738.000000,72214321.000000,9055013.000000,215920796.000000,,679815.000000,326419452.000000,2007929.000000,329107196.000000,545027992.000000,,,193106589.000000,,156331716.000000,,,156331716.000000,1325078.000000,,,1325078.000000,222507.000000,4356518.000000,,,22320000.000000,8550770.000000,,30870770.000000,,193106589.000000,96671605.000000,,51450000.000000,4500000.000000,55950000.000000,33359214.000000,4500000.000000,,2862391.000000,96671605.000000,289778194.000000,,160217573.000000,916682.000000,94079301.000000,10475.000000,94068826.000000,94079301.000000,,36242.000000,255249798.000000,545027992.000000,654351707.000000
12M 2010,,,10910467.000000,69500000.000000,72772995.000000,,,72772995.000000,154071.000000,,,154071.000000,85268453.000000,7660817.000000,246266803.000000,,676922.000000,315586265.000000,3137334.000000,319400521.000000,565667324.000000,,,226325139.000000,,183082676.000000,,,183082676.000000,3757872.000000,,,3757872.000000,3439009.000000,4430182.000000,,,27515400.000000,4100000.000000,,31615400.000000,,226325139.000000,50768871.000000,,14334697.000000,400000.000000,14734697.000000,32688217.000000,,,3345957.000000,50768871.000000,277094010.000000,,160217573.000000,916682.000000,120004354.000000,11475.000000,119992879.000000,120004354.000000,3229660.000000,4205045.000000,288573314.000000,565667324.000000,654351707.000000
12M 2011,,,6293834.000000,60000000.000000,83701427.000000,82814483.000000,886944.000000,83701427.000000,5210361.000000,,,5210361.000000,104637692.000000,19146509.000000,278989823.000000,,46334878.000000,344114408.000000,4051479.000000,394500765.000000,673490588.000000,,,252548089.000000,,,2053202.000000,234747751.000000,236800953.000000,,5648433.000000,23069.000000,5671502.000000,381590.000000,6682939.000000,,,240400.000000,2718002.000000,,2958402.000000,52703.000000,252548089.000000,125262931.000000,,84362930.000000,4056524.000000,88419454.000000,33081460.000000,,,3762017.000000,125262931.000000,377811020.000000,,160217573.000000,916682.000000,123986848.000000,12475.000000,123974373.000000,123986848.000000,4024343.000000,6534122.000000,295679568.000000,673490588.000000,654351707.000000
12M 2012,,,17035748.000000,44847140.000000,90108451.000000,90104647.000000,3804.000000,90108451.000000,1247081.000000,,,1247081.000000,111737028.000000,19423474.000000,284398922.000000,,43914347.000000,350979858.000000,8713068.000000,403607273.000000,688006195.000000,,,253473592.000000,,,5609152.000000,227654207.000000,233263359.000000,,4308446.000000,28794.000000,4337240.000000,501477.000000,5975260.000000,,,257000.000000,8557493.000000,,8814493.000000,581763.000000,253473592.000000,138187923.000000,,84371942.000000,14217508.000000,98589450.000000,30883571.000000,,295118.000000,8419784.000000,138187923.000000,391661515.000000,,160217573.000000,916682.000000,121446735.000000,13475.000000,121433260.000000,121446735.000000,3437960.000000,10325730.000000,296344680.000000,688006195.000000,654351707.000000
12M 2013,,,18555547.000000,45453837.000000,94789331.000000,93179256.000000,1610075.000000,94789331.000000,3274617.000000,,,3274617.000000,119595789.000000,37818862.000000,319487983.000000,,32258609.000000,375944047.000000,7230246.000000,415432902.000000,734920885.000000,,,285974050.000000,,,13113604.000000,244676147.000000,257789751.000000,,2546621.000000,,2546621.000000,604242.000000,6571792.000000,7749740.000000,,240000.000000,7990674.000000,,8230674.000000,2481230.000000,285974050.000000,151155540.000000,,103980401.000000,6288511.000000,110268912.000000,29398101.000000,,2052731.000000,9435796.000000,151155540.000000,437129590.000000,,160217573.000000,916682.000000,122208901.000000,14475.000000,122194426.000000,122208901.000000,3629769.000000,10818370.000000,297791295.000000,734920885.000000,654351707.000000
12M 2014,,,10772294.000000,44607902.000000,67631759.000000,64628291.000000,3003468.000000,67631759.000000,682491.000000,360947.000000,321544.000000,682491.000000,126493433.000000,40137822.000000,290325701.000000,,27440053.000000,417708392.000000,5686454.000000,450834899.000000,741160600.000000,,,268557476.000000,,,12833133.000000,220349870.000000,233183003.000000,,2576715.000000,36317.000000,2613032.000000,666109.000000,6472120.000000,12538000.000000,,3458527.000000,8437469.000000,,11895996.000000,1189216.000000,268557476.000000,168914310.000000,,124483913.000000,4405015.000000,128888928.000000,33186049.000000,,744452.000000,6094881.000000,168914310.000000,437471786.000000,,160217573.000000,916682.000000,124794075.000000,15475.000000,124778600.000000,124794075.000000,4215567.000000,13544917.000000,303688814.000000,741160600.000000,654351707.000000
12M 2015,,,25884307.000000,5363496.000000,74232503.000000,72449978.000000,1782525.000000,74232503.000000,3003761.000000,2990943.000000,12818.000000,3003761.000000,135767968.000000,50024337.000000,294276372.000000,,35085334.000000,467862394.000000,7627196.000000,510574924.000000,804851296.000000,,,257397793.000000,46597852.000000,,18684533.000000,169118595.000000,187803128.000000,,2975691.000000,28157.000000,3003848.000000,525155.000000,7699002.000000,,,7487579.000000,2196568.000000,,9684147.000000,2084661.000000,257397793.000000,250614215.000000,,227449994.000000,2206848.000000,229656842.000000,7009615.000000,,862689.000000,13085069.000000,250614215.000000,508012008.000000,,160217573.000000,-14713079.000000,132645205.000000,16475.000000,132628730.000000,132645205.000000,4571066.000000,14118523.000000,296839288.000000,804851296.000000,654351707.000000
12M 2016,,,19825449.000000,6130144.000000,95742621.000000,83823361.000000,11919260.000000,95742621.000000,1295747.000000,1285386.000000,10361.000000,1295747.000000,128017771.000000,43221244.000000,294232976.000000,,52702292.000000,496129545.000000,3503672.000000,552335509.000000,846568485.000000,,,254363102.000000,28998291.000000,,21769457.000000,177837684.000000,199607141.000000,,3269383.000000,29845.000000,3299228.000000,826837.000000,9351092.000000,,,9865661.000000,2196317.000000,,12061978.000000,218535.000000,254363102.000000,292908190.000000,,265132866.000000,10035.000000,265142901.000000,11303001.000000,,,16462288.000000,292908190.000000,547271292.000000,,160217573.000000,-14713079.000000,133965210.000000,17475.000000,133947735.000000,133965210.000000,3968065.000000,15859424.000000,299297193.000000,846568485.000000,654351707.000000
12M 2017,,,21623290.000000,91961.000000,113360743.000000,18371610.000000,94989133.000000,113360743.000000,406724.000000,396358.000000,10366.000000,406724.000000,125067417.000000,18988780.000000,279538915.000000,,41366110.000000,476228454.000000,2974992.000000,520569556.000000,800108471.000000,,,268358401.000000,32175189.000000,,44678153.000000,164597913.000000,209276066.000000,,2099109.000000,2507.000000,2101616.000000,612236.000000,7268187.000000,,,16783649.000000,10883.000000,,16794532.000000,130575.000000,268358401.000000,247444134.000000,,208919210.000000,,208919210.000000,19514312.000000,,147082.000000,18863530.000000,247444134.000000,515802535.000000,,160217573.000000,-14713079.000000,119652122.000000,18475.000000,119633647.000000,119652122.000000,3823042.000000,15326278.000000,284305936.000000,800108471.000000,654351707.000000
