Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2013,1241626476735.000000,-817407001674.000000,424219475061.000000,-146999770298.000000,-146999770298.000000,-146999770298.000000,277219704763.000000,-29567162005.000000,-25724506470.000000,,,,-3842655535.000000,-29567162005.000000,247652542758.000000,-61984501284.000000,185668041474.000000,113843058.000000,185781884532.000000,185668041474.000000,142198450096.000000,43469591378.000000,,185668041474.000000,185781884532.000000,142312293154.000000,43469591378.000000,185781884532.000000
12M 2014,1413257059355.000000,-884632621644.000000,528624437711.000000,-158057926188.000000,-158057926188.000000,-158057926188.000000,370566511523.000000,-15240326834.000000,-32235266064.000000,,,,16994939230.000000,-15240326834.000000,355326184689.000000,-65527472878.000000,289798711811.000000,-90941896.000000,289707769915.000000,289798711811.000000,176500780093.000000,113297931718.000000,,289798711811.000000,289707769915.000000,176409838197.000000,113297931718.000000,289707769915.000000
12M 2015,1147838378766.000000,-777015505608.000000,370822873158.000000,-158088969047.000000,-158088969047.000000,-158088969047.000000,212733904111.000000,-65529037775.000000,-42539158732.000000,,,-14550382275.000000,-8439496768.000000,-65529037775.000000,147204866336.000000,-17445790361.000000,129759075975.000000,-6187618735.000000,123571457240.000000,129759075975.000000,76796547551.000000,52962528424.000000,,129759075975.000000,123571457240.000000,71178303604.000000,52393153636.000000,123571457240.000000
12M 2016,1135296191546.000000,-729267950819.000000,406028240727.000000,-192616874901.000000,-192616874901.000000,-192616874901.000000,213411365826.000000,-48615198594.000000,-45072396716.000000,,,-8934362348.000000,5391560470.000000,-48615198594.000000,164796167232.000000,-38973036457.000000,125823130775.000000,-5375937372.000000,120447193403.000000,125823130775.000000,102543504632.000000,23279626143.000000,,125823130775.000000,120447193403.000000,97294346521.000000,23152846882.000000,120447193403.000000
12M 2017,1193054430825.000000,-808527225593.000000,384527205232.000000,-225522704369.000000,-225522704369.000000,-225522704369.000000,159004500863.000000,-47580521616.000000,-76450811216.000000,,,-1355569373.000000,30225858973.000000,-47580521616.000000,111423979247.000000,-20120487307.000000,91303491940.000000,-8578823710.000000,82724668230.000000,91303491940.000000,87262052614.000000,4041439326.000000,,91303491940.000000,82724668230.000000,79204417864.000000,3520250366.000000,82724668230.000000
12M 2018,1395298815177.000000,-978652263708.000000,416646551469.000000,-258553053820.000000,-258553053820.000000,-258553053820.000000,158093497649.000000,-40633538530.000000,-72272544025.000000,,,-1932360711.000000,33571366206.000000,-40633538530.000000,117459959119.000000,-11936029955.000000,105523929164.000000,16361116711.000000,121885045875.000000,105523929164.000000,86440795418.000000,19083133746.000000,,105523929164.000000,121885045875.000000,102042967921.000000,19842077954.000000,121885045875.000000
12M 2019,1495759701262.000000,-1001042927237.000000,494716774025.000000,-279134329437.000000,-279134329437.000000,-279134329437.000000,215582444588.000000,-81609398789.000000,-70965395209.000000,,,-1399223200.000000,-9244780380.000000,-81609398789.000000,133973045799.000000,-40827845760.000000,93145200039.000000,-8706824686.000000,84438375353.000000,93145200039.000000,103701431423.000000,-10556231384.000000,,93145200039.000000,84438375353.000000,95356449853.000000,-10918074500.000000,84438375353.000000
12M 2020,1797514877242.000000,-1146328782026.000000,651186095216.000000,-413457936700.000000,-413457936700.000000,-413457936700.000000,237728158516.000000,-62251230421.000000,-66391570721.000000,6305272204.000000,,-1971982805.000000,-192949099.000000,-62251230421.000000,175476928095.000000,-59671603733.000000,115805324362.000000,-8624407182.000000,107180917180.000000,115805324362.000000,125060624062.000000,-9255229700.000000,-70000.000000,115805324362.000000,107180917180.000000,116586933520.000000,-9406016340.000000,107180917180.000000
12M 2021,2227367211794.000000,-1427552238066.000000,799814973728.000000,-488716989421.000000,-488716989421.000000,-488716989421.000000,311097984307.000000,-56198119344.000000,-49812526117.000000,3642728957.000000,,-1963717584.000000,-8064604600.000000,-56198119344.000000,254899864963.000000,-66287885817.000000,188611979146.000000,22749564973.000000,211361544119.000000,188611979146.000000,192069764836.000000,-3457785690.000000,,188611979146.000000,211361544119.000000,213679088015.000000,-2317543896.000000,211361544119.000000
12M 2022,2808698656787.000000,-1829933270522.000000,978765386265.000000,-531304424511.000000,-531304424511.000000,-531304424511.000000,447460961754.000000,-33254553042.000000,-46555209916.000000,1270374300.000000,,-2622547072.000000,14652829646.000000,-33254553042.000000,414206408712.000000,-101704359118.000000,312502049594.000000,5558481474.000000,318060531068.000000,312502049594.000000,307414788044.000000,5087261550.000000,,312502049594.000000,318060531068.000000,312898827842.000000,5161703226.000000,318060531068.000000
