Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Properti Investasi,Aset Tetap,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pihak Berelasi,Liabilitas Keuangan Lainnya,Pihak Berelasi,Pihak Ketiga,Total Liabilitas Keuangan Lainnya,Utang Pajak,Beban Akrual,Utang Obligasi,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Liabilitas Keuangan Lainnya,Surat Berharga Jangka Menengah,Utang Obligasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,370317182025.000000,,178310667742.000000,9504921456.000000,168805746286.000000,178310667742.000000,115470310209.000000,420119615141.000000,72299677803.000000,1156517452920.000000,,18492571443.000000,,435433690216.000000,20760273617.000000,,13610301601.000000,488296836877.000000,1644814289797.000000,,,702840656797.000000,274738018679.000000,115533410676.000000,,,115533410676.000000,,17637439939.000000,,,17637439939.000000,16135089837.000000,20625736822.000000,,,31144744120.000000,3449668588.000000,,34594412708.000000,223576548136.000000,702840656797.000000,185901720396.000000,,82456224932.000000,1608308654.000000,,84064533586.000000,,48371732300.000000,,,53465454510.000000,185901720396.000000,888742377193.000000,,43500000000.000000,-522863713.000000,619627260604.000000,619627260604.000000,,619627260604.000000,69650812086.000000,23816703627.000000,756071912604.000000,1644814289797.000000,483350000.000000
12M 2014,,,392235219196.000000,,166250123978.000000,5740954004.000000,160509169974.000000,166250123978.000000,55850951.000000,535692377350.000000,114858933759.000000,1209092505234.000000,,16462942526.000000,,398173013328.000000,20760273617.000000,67128775459.000000,25092370963.000000,527617375893.000000,1736709881127.000000,,,581900349146.000000,287495572267.000000,113799693817.000000,,,113799693817.000000,,21260318559.000000,,,21260318559.000000,7397736217.000000,20820073977.000000,,,28079133333.000000,2971185165.000000,,31050318498.000000,100076635811.000000,581900349146.000000,169867952906.000000,,93702172125.000000,700195473.000000,,94402367598.000000,,27725316315.000000,,,47740268993.000000,169867952906.000000,751768302052.000000,,48335000000.000000,168919315136.000000,561128040697.000000,561128040697.000000,,561128040697.000000,162861150701.000000,43698072541.000000,984941579075.000000,1736709881127.000000,483350000.000000
12M 2015,,,121769321332.000000,,152118253061.000000,23181977106.000000,128936275955.000000,152118253061.000000,2398837.000000,470012992358.000000,153858097071.000000,897761062659.000000,,26317900951.000000,144288891500.000000,465913155005.000000,20760273617.000000,96671031695.000000,23520369730.000000,777471622498.000000,1675232685157.000000,,,395268030783.000000,205592151445.000000,81098784853.000000,,,81098784853.000000,4133800.000000,14929404085.000000,,,14929404085.000000,6742448946.000000,19513733783.000000,,,28590966667.000000,4071487692.000000,,32662454359.000000,34724919512.000000,395268030783.000000,183084699423.000000,,72027172125.000000,26297132585.000000,,98324304710.000000,,3128661287.000000,,,81631733426.000000,183084699423.000000,578352730206.000000,,48335000000.000000,168919315136.000000,619715869527.000000,9667000000.000000,610048869527.000000,619715869527.000000,214870839482.000000,45038930806.000000,1096879954951.000000,1675232685157.000000,483350000.000000
12M 2016,,,521518174896.000000,,186530793550.000000,26097938892.000000,160432854658.000000,186530793550.000000,1868060.000000,486877989663.000000,67023229925.000000,1261952056094.000000,,34419780983.000000,147124245814.000000,699965839974.000000,20760273617.000000,92137998347.000000,19671727253.000000,1014079865988.000000,2276031922082.000000,,,334534009282.000000,140397056459.000000,107534635335.000000,,,107534635335.000000,,10152366345.000000,,,10152366345.000000,23902193641.000000,26912151204.000000,,,1500000000.000000,7147111301.000000,,8647111301.000000,16988494997.000000,334534009282.000000,715852729729.000000,,4000000000.000000,19829027112.000000,,23829027112.000000,,,100000000000.000000,493907129558.000000,98116573059.000000,715852729729.000000,1050386739011.000000,,48335000000.000000,168919315136.000000,708876022170.000000,9667000000.000000,699209022170.000000,708876022170.000000,246837703393.000000,52677142372.000000,1225645183071.000000,2276031922082.000000,4833500000.000000
12M 2017,,,355043158662.000000,,242207650405.000000,43596466151.000000,198611184254.000000,242207650405.000000,836741.000000,521406994706.000000,82009956924.000000,1200668597438.000000,,43335246881.000000,164328979069.000000,742160252895.000000,20760273617.000000,117736498986.000000,5687644597.000000,1094008896045.000000,2294677493483.000000,,,333004593743.000000,158221848931.000000,,417105859.000000,104751525720.000000,105168631579.000000,,2274250435.000000,,,2274250435.000000,13023249566.000000,28759125976.000000,,,8709750000.000000,10483579511.000000,,19193329511.000000,6364157745.000000,333004593743.000000,672651930077.000000,,38548750000.000000,10479586710.000000,,49028336710.000000,21609473.000000,,,495466135232.000000,128135848662.000000,672651930077.000000,1005656523820.000000,,48335000000.000000,168919315136.000000,764524185994.000000,9667000000.000000,754857185994.000000,764524185994.000000,239091978066.000000,68150490467.000000,1289020969663.000000,2294677493483.000000,4833500000.000000
12M 2018,,,280567741229.000000,28764260000.000000,255118624561.000000,44836954721.000000,210281669840.000000,255118624561.000000,854244.000000,543861657042.000000,111824416938.000000,1220137554014.000000,,47798680983.000000,182938435724.000000,757379485281.000000,20760273617.000000,133415919634.000000,7768468550.000000,1150061263789.000000,2370198817803.000000,,,342328901816.000000,171588267387.000000,,210186148.000000,78172940424.000000,78383126572.000000,,6980484395.000000,,,6980484395.000000,20342834279.000000,27859861815.000000,,,6359110000.000000,11148562513.000000,,17507672513.000000,19666654855.000000,342328901816.000000,655646584965.000000,,33798992500.000000,252106762.000000,,34051099262.000000,60799146.000000,,,497502186954.000000,124032499603.000000,655646584965.000000,997975486781.000000,,48335000000.000000,168919315136.000000,826643110954.000000,9667000000.000000,816976110954.000000,826643110954.000000,256415018265.000000,71910886667.000000,1372223331022.000000,2370198817803.000000,4833500000.000000
12M 2019,,,218293735988.000000,23940440000.000000,292117323142.000000,17565658919.000000,274551664223.000000,292117323142.000000,,573100592731.000000,67247452462.000000,1174699544323.000000,,50913091949.000000,232138769740.000000,851624396191.000000,20760273617.000000,158264021100.000000,12732759299.000000,1326433311896.000000,2501132856219.000000,,,479079545266.000000,186157612384.000000,,249958094.000000,118026834843.000000,118276792937.000000,,14692916531.000000,,,14692916531.000000,23678011695.000000,23805205552.000000,,,84639106953.000000,5095815637.000000,,89734922590.000000,22734083577.000000,479079545266.000000,613765478165.000000,,351275817239.000000,13112661246.000000,,364388478485.000000,,,,99570360451.000000,149806639229.000000,613765478165.000000,1092845023431.000000,,48335000000.000000,168919315136.000000,874637396243.000000,9667000000.000000,864970396243.000000,874637396243.000000,230478196271.000000,85917925138.000000,1408287832788.000000,2501132856219.000000,4833500000.000000
12M 2020,,,237451911049.000000,,363285708866.000000,4607557705.000000,358678151161.000000,363285708866.000000,,603691776129.000000,57522763883.000000,1261952159927.000000,,41670189466.000000,234913503552.000000,907748683255.000000,20760273617.000000,161962705607.000000,68092547332.000000,1435147902829.000000,2697100062756.000000,,,608353619395.000000,108375599199.000000,,2521624895.000000,175055076022.000000,177576700917.000000,,,516515669.000000,12051699558.000000,12568215227.000000,33916434254.000000,47085319368.000000,99823285472.000000,,98673918599.000000,,13403255821.000000,112077174420.000000,16930890538.000000,608353619395.000000,622838614595.000000,,,410134259345.000000,34064299250.000000,444198558595.000000,,,,,178640056000.000000,622838614595.000000,1231192233990.000000,,48335000000.000000,168919315136.000000,939251643168.000000,9667000000.000000,929584643168.000000,939251643168.000000,218530635432.000000,90871235030.000000,1465907828766.000000,2697100062756.000000,4833500000.000000
12M 2021,,,128798781076.000000,,374550945389.000000,2460755801.000000,372090189588.000000,374550945389.000000,,776630409949.000000,103451411573.000000,1383431547987.000000,,35797881908.000000,239073064378.000000,919831502753.000000,20760273617.000000,180409743098.000000,78862008390.000000,1474734474144.000000,2858166022131.000000,,,639768354487.000000,68607375104.000000,,1773081663.000000,243168408607.000000,244941490270.000000,,,15370163428.000000,14853467290.000000,30223630718.000000,44176371057.000000,100443247467.000000,,,109157028013.000000,,18864651077.000000,128021679090.000000,23354560781.000000,639768354487.000000,530035172758.000000,,,380244454651.000000,37403161305.000000,417647615956.000000,,,,,112387556802.000000,530035172758.000000,1169803527245.000000,,48335000000.000000,168919315136.000000,1166194973224.000000,9667000000.000000,1156527973224.000000,1166194973224.000000,211638230058.000000,93274976468.000000,1688362494886.000000,2858166022131.000000,4833500000.000000
12M 2022,,,204230149288.000000,,481683511113.000000,5109208867.000000,476574302246.000000,481683511113.000000,,936865133275.000000,132116153678.000000,1754894947354.000000,,42484856247.000000,243197467188.000000,1088481164598.000000,20760273617.000000,191674494513.000000,93982671884.000000,1680580928047.000000,3435475875401.000000,,,716738190188.000000,29556271836.000000,,2175008914.000000,263325968902.000000,265500977816.000000,,,19829096182.000000,14513308856.000000,34342405038.000000,62158367797.000000,162118331158.000000,,,125842858771.000000,,18462481666.000000,144305340437.000000,18756496106.000000,716738190188.000000,494007909259.000000,,,335054524562.000000,47506677399.000000,382561201961.000000,1983873280.000000,,,,109462834018.000000,494007909259.000000,1210746099447.000000,,49335000000.000000,499673447818.000000,1369772635557.000000,9667000000.000000,1360105635557.000000,1369772635557.000000,216774933284.000000,89173759295.000000,2224729775954.000000,3435475875401.000000,4933500000.000000
