Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Beban Operasi,Pembayaran Pajak Penghasilan,Penerimaan Dari Pengembalian Pajak,Pendapatan (Beban) Lain-Lain,Pembayaran Untuk Beban Lain -Lain,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Penambahan Properti Investasi,Uang Muka Untuk Perolehan Aset Tetap,Tambahan Investasi Pada Surat Berharga,Deposito Berjangka Yang Dibatasi Penggunaannya,Penjualan Investasi Pada Entitas Anak,Tambahan Investasi Pada Entitas Anak,Piutang Kepada Pihak Ketiga,Penerimaan Atas Penjualan Aset Tetap,Penambahan Investasi Pada Aset Keuangan Untuk Diperdagangkan,Penjualan Aset Keuangan Untuk Diperdagangkan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Tambahan Modal Disetor Pada Entitas Anak,Penerimaan Pinjaman Bank Jangka Pendek,Pembayaran Atas Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Atas Utang Pembiayaan,Penerimaan (Pembayaran) Kepada Pihak Berelasi,Pembayaran Dividen,Penerimaan Dari Liabilitas Sewa,Pembayaran Atas Labilitas Sewa,Pembayaran Atas Liabilitas Hak Guna,Penerimaan Dari Penawaran Perdana Saham,Penerimaan Dari Penambahan Modal Tanpa Hak Memesan Efek Terlebih Dahulu,Penerimaan Dari Surat Hutang,Pembayaran Kepada Pihak Berelasi,Pembayaran Dari Surat Hutang,Penjualan Dan Sewa Balik,Penerimaan Dari Penerbitan Obligasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Efek Divestasi Entitas Anak,Kas Dan Setara Kas Akhir Periode
12M 2013,180904469016.000000,1294458427210.000000,-899328799222.000000,-108906742736.000000,-15437932110.000000,-81603685362.000000,,17447707706.000000,,-25724506470.000000,180904469016.000000,-103878115341.000000,-81040533861.000000,,,-21080017940.000000,-4870000000.000000,-501411237.000000,999000000.000000,,,2614847697.000000,,,-103878115341.000000,-11584204569.000000,117411617.000000,,,1138431485015.000000,-1484327060318.000000,394592209454.000000,,-10631980904.000000,-19766269433.000000,-30000000000.000000,,,,,,,,,,,-11584204569.000000,65442149106.000000,304173286371.000000,701746548.000000,,370317182025.000000
12M 2014,97776774012.000000,1301817690794.000000,-909835707118.000000,-115552471906.000000,-99405194462.000000,-72085211535.000000,,25072934303.000000,,-32235266064.000000,97776774012.000000,-155769866227.000000,-79771197046.000000,-67128775459.000000,,-50296583007.000000,,,36499500000.000000,,,4927189285.000000,,,-155769866227.000000,80729656271.000000,39199824947.000000,,,1272472265398.000000,-1262780322597.000000,11245947193.000000,,-1386596604.000000,115414459258.000000,-274275619142.000000,,,,180839697818.000000,,,,,,,80729656271.000000,22736564056.000000,370317182025.000000,-426916895.000000,-391609990.000000,392235219196.000000
12M 2015,117482963139.000000,1093587233755.000000,-694809100386.000000,-116447419027.000000,-85393332466.000000,-61857375616.000000,1551860614.000000,23390254997.000000,,-42539158732.000000,117482963139.000000,-268446540736.000000,-96244142414.000000,-27590400000.000000,-106963722120.000000,-68248521655.000000,,,,,,30600245453.000000,,,-268446540736.000000,-120843178532.000000,10000000.000000,,,1182628477544.000000,-1299642593481.000000,,,-3856648509.000000,57585914.000000,-40000000.000000,,,,,,,,,,,-120843178532.000000,-271806756129.000000,392235219196.000000,1340858265.000000,,121769321332.000000
12M 2016,164657518831.000000,1083482197364.000000,-629227535313.000000,-138622208053.000000,-92539239678.000000,-39267826741.000000,16307192700.000000,9597335268.000000,,-45072396716.000000,164657518831.000000,-206960075153.000000,-190842163488.000000,,-4769300918.000000,-17485725701.000000,,,,,,6137114954.000000,,,-206960075153.000000,443584216008.000000,18015034717.000000,,,1017480997107.000000,-1177794230885.000000,,,-4416981908.000000,-3603023.000000,-9697000000.000000,,,,,,100000000000.000000,,,,500000000000.000000,443584216008.000000,401281659686.000000,121769321332.000000,-1532806122.000000,,521518174896.000000
12M 2017,20613985520.000000,1133957583510.000000,-784202853277.000000,-162574107420.000000,-87995527207.000000,-35837323880.000000,13521469093.000000,20195555917.000000,,-76450811216.000000,20613985520.000000,-123689380301.000000,-65438768264.000000,-17514090854.000000,-5798928468.000000,-8005843423.000000,-150000000.000000,,,,-28373076800.000000,1591327508.000000,,,-123689380301.000000,-67621875493.000000,22082618362.000000,,,1020999133847.000000,-961415841375.000000,,,-7857317646.000000,1031319.000000,-41431500000.000000,,,,-100000000000.000000,,,,,,,-67621875493.000000,-170697270274.000000,521518174896.000000,4222254040.000000,,355043158662.000000
12M 2018,43232569972.000000,1388296354586.000000,-968221292136.000000,-190796213116.000000,-99753535963.000000,-33682665107.000000,818730711.000000,18843735022.000000,,-72272544025.000000,43232569972.000000,-75527956045.000000,-63218565977.000000,-11000000000.000000,-291102600.000000,-28302163746.000000,-13399500000.000000,,,,31816386029.000000,8866990249.000000,,,-75527956045.000000,-44504956921.000000,4915315484.000000,,,1249482426978.000000,-1236635277372.000000,,-7650011250.000000,-11019410761.000000,,-43598000000.000000,,,,,,,,,,,-44504956921.000000,-76800342994.000000,355043158662.000000,2324925561.000000,,280567741229.000000
12M 2019,136558916453.000000,1459773014796.000000,-900973382066.000000,-214782968589.000000,-103454627119.000000,-47449656619.000000,10883011273.000000,3528919986.000000,,-70965395209.000000,136558916453.000000,-145690340108.000000,-142289255833.000000,-29156733307.000000,,-3600883544.000000,,,,,,29356532576.000000,,,-145690340108.000000,-50408087927.000000,29401126413.000000,,,1410496742998.000000,-1395600714778.000000,409993075859.000000,-12801279167.000000,-14122039252.000000,,-77775000000.000000,,,,,,,,-400000000000.000000,,,-50408087927.000000,-59539511582.000000,280567741229.000000,-2734493659.000000,,218293735988.000000
12M 2020,226954878020.000000,1723374632931.000000,-955685951568.000000,-271970316942.000000,-185819942714.000000,-40587818926.000000,5169748509.000000,18866097451.000000,,-66391570721.000000,226954878020.000000,-114743716877.000000,-118435536123.000000,-458975500.000000,-317978929.000000,-11363228860.000000,,,,,,2432502535.000000,,13399500000.000000,-114743716877.000000,-82837068522.000000,4900011216.000000,,,1332876107340.000000,-1410427867629.000000,161000996345.000000,-101085361742.000000,-16820954052.000000,,-53280000000.000000,,,,,,,,,,,-82837068522.000000,29374092621.000000,218293735988.000000,-10215917560.000000,,237451911049.000000
12M 2021,245457033236.000000,2226093175990.000000,-1336302492287.000000,-297462344842.000000,-232455860046.000000,-63139619038.000000,3342845764.000000,-3935254932.000000,,-50683417373.000000,245457033236.000000,-149453579965.000000,-80539929592.000000,-22375278500.000000,-268131868.000000,-46959555240.000000,,,,,,689315235.000000,,,-149453579965.000000,-223075249154.000000,8608157030.000000,,,1081975240035.000000,-1139889595389.000000,156256624682.000000,-168499190044.000000,-23696485468.000000,,-37830000000.000000,,,,,,,,-100000000000.000000,,,-223075249154.000000,-127071795883.000000,237451911049.000000,133575231.000000,,110513690397.000000
12M 2022,228972246510.000000,2695883390793.000000,-1757789855192.000000,-333280463725.000000,-258845769016.000000,-91807016043.000000,2414599289.000000,18698515542.000000,,-46301155138.000000,228972246510.000000,-257895661340.000000,-187594069463.000000,-803670634.000000,,-24972296983.000000,,,,,,5468816740.000000,,-49994441000.000000,-257895661340.000000,129964124059.000000,5000000.000000,,,1578993377861.000000,-1604345691552.000000,152181159474.000000,-185108100413.000000,-30063371311.000000,,-106367000000.000000,,,,,324668750000.000000,,,,,,129964124059.000000,101040709229.000000,110513690397.000000,-11217516716.000000,,200336882910.000000
12M 2023,630650515634.000000,3587731592699.000000,-1924766525519.000000,-471480796244.000000,-339298361632.000000,-158190459221.000000,1864977121.000000,-2296598597.000000,,-62913312973.000000,630650515634.000000,-281026104657.000000,-178601362523.000000,-25734777110.000000,,-138969883098.000000,,,,,,3028956574.000000,-103744024000.000000,162994985500.000000,-281026104657.000000,-293835745247.000000,-4149939.000000,1218427227052.000000,-1152265381172.000000,45109471533.000000,-173134625878.000000,,,-41428600503.000000,,-190539686340.000000,,,,,,,,,,,-293835745247.000000,55788665730.000000,214886329739.000000,7561883471.000000,,278236878940.000000
12M 2024,503653249285.000000,3809407689435.000000,-2257238963444.000000,-522771761050.000000,-301842650612.000000,-158984895141.000000,,15979220715.000000,,-80895390618.000000,503653249285.000000,-266914862107.000000,-242301265852.000000,-46150000.000000,-273162044.000000,-40548532956.000000,,,,,,16774636745.000000,-67345388000.000000,66825000000.000000,-266914862107.000000,-354741941449.000000,40000000000.000000,2049047528486.000000,-1962876078077.000000,807758304606.000000,-163435727112.000000,,,-65512219352.000000,-808000000000.000000,-251723750000.000000,,,,,,,,,,,-354741941449.000000,-118003554271.000000,278236878940.000000,-6244179621.000000,,153989145048.000000
