Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pembiayaan Konsumen,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pembiayaan Konsumen,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,184736871.000000,4231316012.000000,,,4231316012.000000,306000000.000000,,,306000000.000000,159674636.000000,1804805935.000000,6686533454.000000,,196273339791.000000,,196273339791.000000,202959873245.000000,,,22886061965.000000,7030191713.000000,,,7030191713.000000,,,,,,452412913.000000,1004907339.000000,,13400000000.000000,13400000000.000000,998550000.000000,22886061965.000000,148910327080.000000,10816423804.000000,,,10816423804.000000,,,137219893620.000000,137219893620.000000,874009656.000000,148910327080.000000,171796389045.000000,,10250000000.000000,8901654795.000000,12011829405.000000,200000000.000000,11811829405.000000,12011829405.000000,,,31163484200.000000,202959873245.000000,21500.000000
12M 2019,,,294327245.000000,2103009083.000000,,,2103009083.000000,246932832.000000,,,246932832.000000,495550000.000000,622409053.000000,3762228213.000000,,209636281380.000000,1058750000.000000,210695031380.000000,214457259593.000000,,,19299423634.000000,6412726807.000000,,,6412726807.000000,606569444.000000,,,606569444.000000,,373091257.000000,259180300.000000,,6000000000.000000,6000000000.000000,5647855826.000000,19299423634.000000,147931469062.000000,9807666667.000000,,,9807666667.000000,,,137067150610.000000,137067150610.000000,1056651785.000000,147931469062.000000,167230892696.000000,,10250000000.000000,23254500000.000000,13541968956.000000,300000000.000000,13241968956.000000,13541968956.000000,,179897941.000000,47226366897.000000,214457259593.000000,21500.000000
12M 2020,,,394949809.000000,2034676264.000000,,,2034676264.000000,186000000.000000,,,186000000.000000,453127000.000000,1096063460.000000,4164816533.000000,,205220911940.000000,367087277.000000,205587999217.000000,209752815750.000000,,,20711892844.000000,7915900529.000000,,,7915900529.000000,919304800.000000,,,919304800.000000,15267500.000000,144099818.000000,220376844.000000,,7900000000.000000,7900000000.000000,3596943353.000000,20711892844.000000,137846745952.000000,3885000000.000000,,,3885000000.000000,,,132567150610.000000,132567150610.000000,1394595342.000000,137846745952.000000,158558638796.000000,,10250000000.000000,26754500000.000000,13970523633.000000,500000000.000000,13470523633.000000,13970523633.000000,,219153321.000000,51194176954.000000,209752815750.000000,21500.000000
12M 2021,,,27513739637.000000,1679684808.000000,,,1679684808.000000,210486302.000000,,,210486302.000000,1339945667.000000,11533698118.000000,42277554532.000000,,199786525486.000000,6621761237.000000,206408286723.000000,248685841255.000000,,,27859222189.000000,11109308820.000000,,,11109308820.000000,,,,,,360799012.000000,568758531.000000,,11050000000.000000,11050000000.000000,4770355826.000000,27859222189.000000,126269103716.000000,4120000000.000000,,,4120000000.000000,,,121160150610.000000,121160150610.000000,988953106.000000,126269103716.000000,154128325905.000000,,46255625000.000000,29712402226.000000,18347081344.000000,500000000.000000,17847081344.000000,18347081344.000000,4656756.000000,237750024.000000,94557515350.000000,248685841255.000000,1850225000.000000
12M 2022,,,13295580876.000000,21877795416.000000,,,21877795416.000000,7581538780.000000,,,7581538780.000000,532000000.000000,11907095999.000000,55194011071.000000,,211577583231.000000,3516447300.000000,215094030531.000000,270288041602.000000,,,54200708953.000000,28678332056.000000,,,28678332056.000000,,,,,546000000.000000,3608842828.000000,2201178243.000000,,17400000000.000000,17400000000.000000,1766355826.000000,54200708953.000000,107489298016.000000,3015000000.000000,,,3015000000.000000,484623148.000000,,94806541450.000000,94806541450.000000,9183133418.000000,107489298016.000000,161690006969.000000,,46255625000.000000,29712402226.000000,32369222627.000000,500000000.000000,31869222627.000000,32369222627.000000,5288087.000000,255496693.000000,108598034633.000000,270288041602.000000,1850225000.000000
12M 2023,,,5192928865.000000,17639267836.000000,,,17639267836.000000,2169399148.000000,,,2169399148.000000,,19170534343.000000,44172130192.000000,,208637028640.000000,2392047300.000000,211029075940.000000,255201206132.000000,,,39001132940.000000,6610246579.000000,,,6610246579.000000,,,,,482097269.000000,8310783559.000000,497334459.000000,,21600000000.000000,21600000000.000000,1500671074.000000,39001132940.000000,92660152080.000000,9215380000.000000,,,9215380000.000000,40493493.000000,,75046906640.000000,75046906640.000000,8357371947.000000,92660152080.000000,131661285020.000000,,46255625000.000000,29712402226.000000,46444067344.000000,500000000.000000,45944067344.000000,46444067344.000000,4889085.000000,1122937457.000000,123539921112.000000,255201206132.000000,1850225000.000000
12M 2024,,,2586550200.000000,17189256168.000000,,,17189256168.000000,7328518853.000000,,,7328518853.000000,,34892006717.000000,61996331938.000000,,185604826420.000000,209100000.000000,185813926420.000000,247810258358.000000,,,49036412314.000000,7410799695.000000,,,7410799695.000000,,,,,61635639.000000,14065208135.000000,498768845.000000,,27000000000.000000,27000000000.000000,,49036412314.000000,69859041378.000000,8465380000.000000,,,8465380000.000000,,,55094620924.000000,55094620924.000000,6299040454.000000,69859041378.000000,118895453692.000000,,46255625000.000000,29712402226.000000,51786300315.000000,500000000.000000,51286300315.000000,51786300315.000000,3604014.000000,1156873111.000000,128914804666.000000,247810258358.000000,1850225000.000000
