Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Final,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,22340478144.000000,-7232872805.000000,15107605339.000000,-2606490305.000000,-116993763.000000,-2224151941.000000,-265344601.000000,-2606490305.000000,12501115034.000000,-1706929237.000000,-1438843499.000000,-268085738.000000,-1706929237.000000,10794185797.000000,,10794185797.000000,,,,10794185797.000000,10794185797.000000,10794185797.000000,,10794185797.000000,10794185797.000000,10794185797.000000,,10794185797.000000
12M 2019,41814415126.000000,-21698233514.000000,20116181612.000000,-6778587909.000000,-605296854.000000,-6757496203.000000,584205148.000000,-6778587909.000000,13337593703.000000,-11807454152.000000,-11305681170.000000,-501772982.000000,-11807454152.000000,1530139551.000000,,1530139551.000000,179897941.000000,179897941.000000,179897941.000000,1710037492.000000,1530139551.000000,1530139551.000000,,1530139551.000000,1710037492.000000,1710037492.000000,,1710037492.000000
12M 2020,26961554164.000000,-17690039936.000000,9271514228.000000,-4107491734.000000,-325123465.000000,-4794922204.000000,1012553935.000000,-4107491734.000000,5164022494.000000,-4735467817.000000,-4458706722.000000,-276761095.000000,-4735467817.000000,428554677.000000,,428554677.000000,39255380.000000,39255380.000000,39255380.000000,467810057.000000,428554677.000000,428554677.000000,,428554677.000000,467810057.000000,467810057.000000,,467810057.000000
12M 2021,61158765960.000000,-44207732623.000000,16951033337.000000,-6289065692.000000,-1094270598.000000,-8000985114.000000,2806190020.000000,-6289065692.000000,10661967645.000000,-6285753178.000000,-5555240206.000000,-730512972.000000,-6285753178.000000,4376214467.000000,,4376214467.000000,18596703.000000,18596703.000000,18596703.000000,4394811170.000000,4376214467.000000,4376557711.000000,-343244.000000,4376214467.000000,4394811170.000000,4395154414.000000,-343244.000000,4394811170.000000
12M 2022,346765538330.0,-306205667604.0,40559870726.0,-11678254958.0,-893441164.0,-13882349789.0,3097535995.0,-11678254958.0,28881615768.0,-12285127405.0,-8125785945.0,-4159341460.0,-12285127405.0,16596488363.0,-575472747.0,16021015616.0,17746669.0,17746669.0,17746669.0,16038762285.0,16021015616.0,16020384285.0,631331.0,16021015616.0,16038762285.0,16038130954.0,631331.0,16038762285.0
12M 2023,317055920205.000000,-270976816111.000000,46079104094.000000,-17776637304.000000,-994889434.000000,-15590135344.000000,-1191612526.000000,-17776637304.000000,28302466790.000000,-11230656575.000000,-7425985533.000000,-3804671042.000000,-11230656575.000000,17071810215.000000,,17071810215.000000,867440764.000000,867440764.000000,867440764.000000,17939250979.000000,17071810215.000000,17072209217.000000,-399002.000000,17071810215.000000,17939250979.000000,17939649981.000000,-399002.000000,17939250979.000000
12M 2024,244611042471.000000,-201062478755.000000,43548563716.000000,-20100760948.000000,-1439306243.000000,-18296258385.000000,-365196320.000000,-20100760948.000000,23447802768.000000,-15109490368.000000,-12177122658.000000,-2932367710.000000,-15109490368.000000,8338312400.000000,,8338312400.000000,33935654.000000,33935654.000000,33935654.000000,8372248054.000000,8338312400.000000,8339597471.000000,-1285071.000000,8338312400.000000,8372248054.000000,8373533125.000000,-1285071.000000,8372248054.000000
