Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.14,5085.52,0.14,5085.52,"1,422 B","13,808 B","15,232 B",499 B,"5,206 B"
12M 2009,0.39,4572.91,0.40,4516.46,"1,551 B","11,406 B","13,030 B","11,907 B","4,999 B"
12M 2010,0.66,4546.16,0.67,4503.14,"2,342 B","10,176 B",,"11,036 B","4,489 B"
12M 2011,0.42,5038.25,0.43,4994.87,,"10,098 B","14,043 B","12,378 B","5,012 B"
12M 2012,0.35,5605.56,0.36,5559.30,,"12,298 B","15,903 B","14,073 B","7,138 B"
12M 2013,0.25,7289.98,0.25,7231.61,"5,174 B","14,674 B","1,654 B","17,716 B","8,336 B"
12M 2014,0.20,4337.19,0.20,4307.43,"5,842 B","14,189 B","6,577 B","18,260 B","6,292 B"
12M 2015,0.10,4937.35,0.10,4937.35,"6,099 B","14,875 B","20,974 B","20,279 B","3,452 B"
12M 2016,0.15,4713.09,0.15,4713.09,,"14,317 B","18,258 B","16,757 B","2,276 B"
12M 2017,0.67,4337.57,0.67,4337.57,"5,304 B","13,842 B","19,145 B","17,454 B","2,911 B"
12M 2018,1.93,5745.40,1.93,5745.40,"6,348 B","15,580 B","21,928 B","19,709 B","5,599 B"
12M 2019,1.66,6185.67,1.66,6185.67,"5,796 B","14,225 B","20,020 B","17,485 B","4,708 B"
12M 2020,1.44,6852.54,1.44,6852.54,"5,736 B","3,539 B","9,275 B","7,003 B","3,266 B"
12M 2021,0.93,8053.16,0.93,8053.16,"6,285 B","3,722 B","10,006 B","7,073 B","1,824 B"
12M 2022,0.63,11111.68,0.63,11111.68,"6,583 B","4,106 B","10,689 B","(3,195 B)","2,439 B"
12M 2023,0.62,11830.43,0.62,11830.43,"5,965 B","5,081 B","11,045 B","8,314 B","2,205 B"
12M 2024,0.43,13902.38,0.43,13902.38,"5,216 B","5,418 B","10,634 B","7,643 B","3,030 B"
