Period,Aset,Aset Lancar,Kas Dan Setara Kas,Pihak Ketiga,Pihak Berelasi,Total Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Piutang Lain-Lain,Aset Pajak Tangguhan,Investasi Pada Entitas Asosiasi,Investasi Jangka Panjang,Aset Tetap,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Pihak Ketiga,Pihak Berelasi,Total Utang Bank Jangka Panjang,Utang Murabahah,Utang Obligasi,Wesel Bayar,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Murabahah,Utang Obligasi,Wesel Bayar,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,50769962.000000,44152176.000000,6617786.000000,50769962.000000,252733931.000000,96891347.000000,155842584.000000,252733931.000000,21301.000000,,,21301.000000,251702235.000000,220216252.000000,775443681.000000,,85258512.000000,160369661.000000,,,,1239583230.000000,,2712825.000000,1487924228.000000,2263367909.000000,,,299991832.000000,96198236.000000,,88246208.000000,13877086.000000,102123294.000000,8615613.000000,46976108.000000,4815124.000000,,152101.000000,6681279.000000,,,6681279.000000,,,27000000.000000,,33833380.000000,7430077.000000,299991832.000000,1343035060.000000,47956025.000000,7317943.000000,,126138.000000,20042605.000000,,,1240804645.000000,,1260973388.000000,26787704.000000,1343035060.000000,1643026892.000000,,537169549.000000,30201229.000000,52970239.000000,,52970239.000000,52970239.000000,,,620341017.000000,2263367909.000000,1335702240.000000
12M 2009,,,119399731.000000,89729244.000000,29670487.000000,119399731.000000,315032091.000000,64884924.000000,250147167.000000,315032091.000000,160430.000000,,,160430.000000,265170344.000000,221038610.000000,920801206.000000,,80701446.000000,159362722.000000,35831.000000,,1063830.000000,1176711914.000000,8022321.000000,11078322.000000,1436976386.000000,2357777592.000000,,,389011197.000000,89167140.000000,,69106375.000000,30431999.000000,99538374.000000,14709509.000000,76908190.000000,19282947.000000,,198452.000000,7782979.000000,,,7782979.000000,,,75600000.000000,,83581431.000000,5823606.000000,389011197.000000,1318973690.000000,68502575.000000,991021.000000,,160950.000000,15565962.000000,,,1197645532.000000,,1213372444.000000,36107650.000000,1318973690.000000,1707984887.000000,,537169549.000000,30201229.000000,82040529.000000,1000000.000000,81040529.000000,82040529.000000,,381398.000000,649792705.000000,2357777592.000000,1335702240.000000
12M 2010,,,164971000.000000,141519000.000000,23452000.000000,164971000.000000,247946000.000000,56383000.000000,191563000.000000,247946000.000000,506000.000000,,,506000.000000,287212000.000000,217064000.000000,917699000.000000,,66288000.000000,148610000.000000,650000.000000,,1112000.000000,1174173000.000000,6391000.000000,14831000.000000,1412055000.000000,2329754000.000000,,,418397000.000000,105997000.000000,,60164000.000000,17874000.000000,78038000.000000,11545000.000000,47026000.000000,12224000.000000,,138000.000000,8137000.000000,,,8137000.000000,,,146259000.000000,,154534000.000000,9033000.000000,418397000.000000,1235980000.000000,53684000.000000,8853000.000000,,23000.000000,8137000.000000,,,1123693000.000000,,1131853000.000000,41590000.000000,1235980000.000000,1654377000.000000,,537169000.000000,30201000.000000,107592000.000000,2000000.000000,105592000.000000,107592000.000000,,415000.000000,675377000.000000,2329754000.000000,1335702240.000000
12M 2011,,,183652000.000000,174119000.000000,9533000.000000,183652000.000000,243203000.000000,38881000.000000,204322000.000000,243203000.000000,488000.000000,,,488000.000000,312406000.000000,411240000.000000,1150989000.000000,,60603000.000000,152811000.000000,534000.000000,,1103000.000000,1175226000.000000,6391000.000000,21240000.000000,1417908000.000000,2568897000.000000,,,598290000.000000,227950000.000000,,58091000.000000,9558000.000000,67649000.000000,9491000.000000,61489000.000000,3411000.000000,,23000.000000,12988000.000000,,,12988000.000000,,,194109000.000000,,207120000.000000,21180000.000000,598290000.000000,1228480000.000000,52167000.000000,16805000.000000,,,24546000.000000,,,1089027000.000000,,1113573000.000000,45935000.000000,1228480000.000000,1826770000.000000,,537169000.000000,30201000.000000,175912000.000000,3000000.000000,172912000.000000,175912000.000000,,-1155000.000000,742127000.000000,2568897000.000000,1335702240.000000
12M 2012,,,189271000.000000,180533000.000000,8738000.000000,189271000.000000,174487000.000000,43009000.000000,131478000.000000,174487000.000000,621000.000000,,,621000.000000,348518000.000000,549654000.000000,1262551000.000000,,51099000.000000,155205000.000000,1044000.000000,,1034000.000000,1179546000.000000,6391000.000000,25172000.000000,1419491000.000000,2682042000.000000,,,524443000.000000,337632000.000000,,50511000.000000,1537000.000000,52048000.000000,12175000.000000,64109000.000000,3254000.000000,,,6000000.000000,,,6000000.000000,,,29145000.000000,,35145000.000000,20080000.000000,524443000.000000,1383311000.000000,50030000.000000,14052000.000000,,,98324000.000000,,,1173454000.000000,,1271778000.000000,47451000.000000,1383311000.000000,1907754000.000000,,537169000.000000,30201000.000000,207238000.000000,4000000.000000,203238000.000000,207238000.000000,,-320000.000000,774288000.000000,2682042000.000000,1335702240.000000
12M 2013,,,115322000.000000,113261000.000000,2061000.000000,115322000.000000,107621000.000000,34351000.000000,73270000.000000,107621000.000000,7672000.000000,,,7672000.000000,374057000.000000,594232000.000000,1198904000.000000,,36670000.000000,154891000.000000,1646000.000000,25768000.000000,820000.000000,1152312000.000000,6391000.000000,27554000.000000,1406052000.000000,2604956000.000000,,,515493000.000000,349715000.000000,,39802000.000000,5282000.000000,45084000.000000,10212000.000000,9044000.000000,1911000.000000,,47000.000000,,15025000.000000,32000.000000,15057000.000000,,,59358000.000000,,74462000.000000,25065000.000000,515493000.000000,1291198000.000000,38447000.000000,9112000.000000,,55000.000000,135571000.000000,,,1067375000.000000,,1203001000.000000,40638000.000000,1291198000.000000,1806691000.000000,,537169000.000000,30201000.000000,230842000.000000,5000000.000000,225842000.000000,230842000.000000,,53000.000000,798265000.000000,2604956000.000000,1335702240.000000
12M 2014,,,142360000.000000,133868000.000000,8492000.000000,142360000.000000,129755000.000000,35973000.000000,93782000.000000,129755000.000000,584000.000000,,,584000.000000,316300000.000000,478584000.000000,1067583000.000000,,22047000.000000,138498000.000000,2077000.000000,302360000.000000,,1142914000.000000,6391000.000000,29066000.000000,1643353000.000000,2710936000.000000,,,561851000.000000,371856000.000000,,40379000.000000,1627000.000000,42006000.000000,5430000.000000,13307000.000000,2224000.000000,,651000.000000,,24863000.000000,32000.000000,24895000.000000,24116000.000000,,48066000.000000,,97728000.000000,29300000.000000,561851000.000000,1217778000.000000,29483000.000000,4655000.000000,,804000.000000,131118000.000000,,,1008569000.000000,,1140491000.000000,43149000.000000,1217778000.000000,1779629000.000000,,651679000.000000,28965000.000000,249016000.000000,6000000.000000,243016000.000000,249016000.000000,,1647000.000000,931307000.000000,2710936000.000000,2671404480.000000
12M 2015,,,50390000.000000,43322000.000000,7068000.000000,50390000.000000,80783000.000000,47300000.000000,33483000.000000,80783000.000000,2525000.000000,,,2525000.000000,274883000.000000,420750000.000000,829331000.000000,,22784000.000000,140738000.000000,1995000.000000,406974000.000000,,1245138000.000000,,36913000.000000,1854542000.000000,2683873000.000000,,,579075000.000000,345557000.000000,,35283000.000000,51770000.000000,87053000.000000,7134000.000000,9611000.000000,1386000.000000,,604000.000000,,33900000.000000,,33900000.000000,21745000.000000,,40290000.000000,,96539000.000000,31795000.000000,579075000.000000,1148679000.000000,16441000.000000,4739000.000000,,200000.000000,129698000.000000,,,948417000.000000,7249000.000000,1085564000.000000,41935000.000000,1148679000.000000,1727754000.000000,,651679000.000000,28965000.000000,247374000.000000,7000000.000000,240374000.000000,247374000.000000,,28101000.000000,956119000.000000,2683873000.000000,2671404522.000000
12M 2016,,,111715000.000000,105551000.000000,6164000.000000,111715000.000000,70614000.000000,60793000.000000,9821000.000000,70614000.000000,3801000.000000,,,3801000.000000,251220000.000000,161424000.000000,598774000.000000,,22928000.000000,136302000.000000,905000.000000,529554000.000000,,1164010000.000000,,38809000.000000,1892508000.000000,2491282000.000000,,,429383000.000000,202200000.000000,,20561000.000000,70718000.000000,91279000.000000,5430000.000000,8721000.000000,2319000.000000,,223000.000000,,26993000.000000,,26993000.000000,22327000.000000,,41556000.000000,,91099000.000000,28335000.000000,429383000.000000,1124821000.000000,7878000.000000,6741000.000000,,51000.000000,178228000.000000,,,887279000.000000,7443000.000000,1073001000.000000,37201000.000000,1124821000.000000,1554204000.000000,,651679000.000000,29215000.000000,254046000.000000,7100000.000000,246946000.000000,254046000.000000,,2138000.000000,937078000.000000,2491282000.000000,2671404527.000000
12M 2017,,,124834000.000000,123519000.000000,1315000.000000,124834000.000000,115441000.000000,99281000.000000,16160000.000000,115441000.000000,4618000.000000,,,4618000.000000,233569000.000000,226772000.000000,705234000.000000,,18593000.000000,135764000.000000,1449000.000000,578886000.000000,,1099783000.000000,,41166000.000000,1875641000.000000,2580875000.000000,,,490398000.000000,329142000.000000,,36415000.000000,15391000.000000,51806000.000000,6594000.000000,8248000.000000,2360000.000000,,25000.000000,,18170000.000000,,18170000.000000,624000.000000,,43529000.000000,,62348000.000000,29900000.000000,490398000.000000,1093737000.000000,15290000.000000,7390000.000000,,26000.000000,165362000.000000,24920000.000000,,831361000.000000,7381000.000000,1029050000.000000,42007000.000000,1093737000.000000,1584135000.000000,,684810000.000000,29215000.000000,280348000.000000,8100000.000000,272248000.000000,280348000.000000,,2367000.000000,996740000.000000,2580875000.000000,3113223570.000000
