Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Total Pembayaran Kepada Pemasok Dan Karyawan,Pembayaran Kepada Karyawan Dan Untuk Aktivitas Lainnya,Penerimaan Penghasilan Bunga,Penerimaan (Pembayaran) Pajak - Neto,Pembayaran Bunga Dan Beban Pembiayaan Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Atas Penjualan Aset Tetap,Pembayaran Kas Bersih Atas Investasi Pada Perusahaan Asosiasi,Pembayaran Kas Bersih Atas Akuisisi Entitas Anak,Penurunan (Kenaikan) Aset Lancar Lainnya,Penurunan Aset Lancar Lainnya,Pelunasan Piutang Lain-Lain - Pihak Berelasi,Penambahan Piutang Lain-Lain - Pihak Berelasi,Uang Muka Investasi,Perolehan Aset Tetap,Penambahan Hutan Tanaman Industri Dalam Pengembangan,Penambahan Aset Biologis,Penambahan Investasi Pada Reksadana,Pengurangan Investasi Pada Reksadana,Pencairan Investasi Jangka Pendek,Penerimaan Klaim Asuransi,Kenaikan Investasi Jangka Panjang,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penurunan (Kenaikan) Piutang Lain-Lain - Pihak Berelasi,Kenaikan (Penurunan) Neto Pinjaman Bank Jangka Pendek,Pembayaran Liabilitas Sewa Pembiayaan,Penerimaan Dari Penawaran Umum Terbatas Ii,Pembayaran Beban Emisi Saham,Pembayaran Dividen Kas,Penerimaan Pelaksanaan Waran Menjadi Saham,Penerimaan Dari Pinjaman Bank Jangka Panjang - Pihak Ketiga,Pembayaran Pinjaman Bank Jangka Panjang - Pihak Ketiga,Pembayaran Utang Obligasi,Pembayaran Wesel Bayar Jangka Panjang,Penerimaan Utang Murabahah Jangka Panjang - Pihak Ketiga,Pembayaran Utang Murabahah Jangka Panjang - Pihak Ketiga,Pembayaran Pembiayaan Musyarakah Jangka Panjang - Pihak Ketiga,Penerimaan Pembiayaan Musyarakah Jangka Panjang - Pihak Ketiga,Penerimaan Liabilitas Jangka Panjang,Pembayaran Liabilitas Jangka Panjang,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,120321770.000000,1297204151.000000,-1157155757.000000,,,-1157155757.000000,,2124910.000000,13163438.000000,-35014972.000000,120321770.000000,-108202964.000000,565995.000000,,,13760001.000000,,,,,-122528960.000000,,,,,,,,-108202964.000000,6901097.000000,270612.000000,45052773.000000,-117896.000000,,,,,,,,,,,,,,-38304392.000000,6901097.000000,19019903.000000,,31750059.000000,50769962.000000
12M 2009,145986652.000000,1111744003.000000,-949032825.000000,,,-949032825.000000,,6831032.000000,-6027260.000000,-17528298.000000,145986652.000000,-59806871.000000,277959.000000,,-719969.000000,-39991423.000000,,,,,-18309608.000000,,,,,,,-1063830.000000,-59806871.000000,-17550012.000000,1006939.000000,-7031096.000000,-234397.000000,,,-2487980.000000,,,,,,,,,,,-8803478.000000,-17550012.000000,68629769.000000,,50769962.000000,119399731.000000
12M 2010,141798000.000000,1415569000.000000,-1227256000.000000,,,-1227256000.000000,,5707000.000000,-27687000.000000,-24535000.000000,141798000.000000,-81759000.000000,162000.000000,,,-2041000.000000,,,,,-79880000.000000,,,,,,,,-81759000.000000,-14468000.000000,-99000.000000,16830000.000000,-199000.000000,,,-1405000.000000,,,,,,,,,,,-29595000.000000,-14468000.000000,45571000.000000,,119400000.000000,164971000.000000
12M 2011,121525000.000000,1404535000.000000,-1254086000.000000,,,-1254086000.000000,,5311000.000000,-26643000.000000,-7592000.000000,121525000.000000,-202619000.000000,321000.000000,,,-119659000.000000,,,,,-83281000.000000,,,,,,,,-202619000.000000,99800000.000000,,121953000.000000,-138000.000000,,,-2281000.000000,,,,,,,,,,,-19734000.000000,99800000.000000,18706000.000000,-25000.000000,164971000.000000,183652000.000000
12M 2012,142031000.000000,1400093000.000000,-1203065000.000000,,,-1203065000.000000,,7084000.000000,-19257000.000000,-42824000.000000,142031000.000000,-230880000.000000,38000.000000,,,-146064000.000000,,,,,-84854000.000000,,,,,,,,-230880000.000000,94342000.000000,,154682000.000000,-23000.000000,,,-3406000.000000,,,,,,,,,,29954000.000000,-86865000.000000,94342000.000000,5493000.000000,126000.000000,183652000.000000,189271000.000000
12M 2013,-72091000.000000,1310228000.000000,-1280999000.000000,,,-1280999000.000000,,4355000.000000,-16028000.000000,-89647000.000000,-72091000.000000,1522000.000000,36000.000000,-30166000.000000,,95819000.000000,,1973000.000000,,,-59698000.000000,-2900000.000000,,-3542000.000000,,,,,1522000.000000,-5083000.000000,,12083000.000000,-43000.000000,,,-2733000.000000,,,,,,,,,,59155000.000000,-73545000.000000,-5083000.000000,-75652000.000000,1703000.000000,189271000.000000,115322000.000000
12M 2014,184258000.000000,1198396000.000000,-979935000.000000,,,-979935000.000000,,4457000.000000,-3215000.000000,-35445000.000000,184258000.000000,-259777000.000000,,-275750000.000000,,74129000.000000,,20187000.000000,-1984000.000000,,-74589000.000000,-1770000.000000,,,,,,,-259777000.000000,99843000.000000,,21645000.000000,-447000.000000,114510000.000000,-1236000.000000,-2208000.000000,,,,,,,,,,45338000.000000,-77759000.000000,99843000.000000,24324000.000000,2714000.000000,115322000.000000,142360000.000000
12M 2015,353756000.000000,1111510000.000000,-741473000.000000,,,-741473000.000000,,4276000.000000,15802000.000000,-36359000.000000,353756000.000000,-377611000.000000,,-100912000.000000,,-188357000.000000,,1332000.000000,-469000.000000,,-88946000.000000,-1259000.000000,,,,,1000000.000000,,-377611000.000000,-74860000.000000,,-19246000.000000,-649000.000000,,,-1986000.000000,,,,,,,,,,40605000.000000,-93584000.000000,-74860000.000000,-98715000.000000,6745000.000000,142360000.000000,50390000.000000
12M 2016,151197000.000000,1010785000.000000,-824145000.000000,,,-824145000.000000,,2685000.000000,-3079000.000000,-35049000.000000,151197000.000000,89849000.000000,4000.000000,-129939000.000000,,-2911000.000000,,6966000.000000,-1367000.000000,,203078000.000000,-2019000.000000,,16037000.000000,,,,,89849000.000000,-173317000.000000,,-122285000.000000,-607000.000000,,,-1018000.000000,,,,,,,,,,55650000.000000,-105057000.000000,-173317000.000000,67729000.000000,-6404000.000000,50390000.000000,111715000.000000
12M 2017,45719000.000000,969176000.000000,-895190000.000000,,,-895190000.000000,,1165000.000000,3024000.000000,-32456000.000000,45719000.000000,-104492000.000000,97000.000000,,,-14957000.000000,,891000.000000,-353000.000000,,15485000.000000,-2276000.000000,,-103379000.000000,,,,,-104492000.000000,71869000.000000,,130554000.000000,-223000.000000,,,-1002000.000000,33131000.000000,,,,,,,,,9155000.000000,-99746000.000000,71869000.000000,13096000.000000,23000.000000,111715000.000000,124834000.000000
12M 2018,40853000.000000,1068530000.000000,-980608000.000000,,,-980608000.000000,,1736000.000000,-4807000.000000,-43998000.000000,40853000.000000,-134202000.000000,30000.000000,,,-25669000.000000,,-248000.000000,,,-3284000.000000,-1712000.000000,,-103319000.000000,,,,,-134202000.000000,121978000.000000,,68790000.000000,-24000.000000,,,-6706000.000000,,,,,,,,,,157371000.000000,-97453000.000000,121978000.000000,28629000.000000,-170000.000000,124834000.000000,153293000.000000
12M 2019,159409000.000000,1071118000.000000,-873410000.000000,,,-873410000.000000,,2722000.000000,8357000.000000,-49378000.000000,159409000.000000,-8160000.000000,12090000.000000,,,-25428000.000000,,57000.000000,,,9687000.000000,-309000.000000,,-4257000.000000,,,,,-8160000.000000,-122088000.000000,,-21935000.000000,-1696000.000000,,,-11117000.000000,,,,,,,,,,21715000.000000,-109055000.000000,-122088000.000000,29161000.000000,-90000.000000,153293000.000000,182364000.000000
12M 2020,176192000.000000,902066000.000000,,-498450000.000000,,-498450000.000000,-189334000.000000,3068000.000000,9836000.000000,-50994000.000000,176192000.000000,-11282000.000000,52000.000000,,,-78000.000000,,2655000.000000,-2722000.000000,,-6702000.000000,,-3265000.000000,-1222000.000000,,,,,-11282000.000000,-186807000.000000,,-17314000.000000,-3748000.000000,,,-5133000.000000,,,-71494000.000000,-12500000.000000,-30658000.000000,,-717000.000000,-5491000.000000,,,-39752000.000000,-186807000.000000,-21897000.000000,570000.000000,182364000.000000,161037000.000000
12M 2021,97565000.000000,1048825000.000000,,-712855000.000000,,-712855000.000000,-184316000.000000,2603000.000000,-5607000.000000,-51085000.000000,97565000.000000,105415000.000000,412000.000000,,,570000.000000,,55758000.000000,-3724000.000000,,-32510000.000000,,-3091000.000000,,,88000000.000000,,,105415000.000000,-158675000.000000,,63384000.000000,-3943000.000000,,,-5326000.000000,,52067000.000000,-34342000.000000,-9375000.000000,-786000.000000,,-809000.000000,-7065000.000000,,,-212480000.000000,-158675000.000000,44305000.000000,86000.000000,161037000.000000,205428000.000000
12M 2022,120674000.000000,1097440000.000000,,-832766000.000000,,-832766000.000000,-86435000.000000,2548000.000000,-13180000.000000,-46933000.000000,120674000.000000,-41586000.000000,191000.000000,,,-10015000.000000,,15559000.000000,,,-43145000.000000,,-4176000.000000,,,,,,-41586000.000000,-81932000.000000,,-25848000.000000,-2207000.000000,,,-5233000.000000,,68349000.000000,-38001000.000000,,-1313000.000000,128000.000000,-433000.000000,-8322000.000000,,,-69052000.000000,-81932000.000000,-2844000.000000,2312000.000000,205428000.000000,204896000.000000
12M 2023,100026000.000000,1106193000.000000,,-854777000.000000,,-854777000.000000,-98811000.000000,4479000.000000,-6469000.000000,-50589000.000000,100026000.000000,-73845000.000000,69000.000000,,,-10797000.000000,10000000.000000,10346000.000000,,,-77467000.000000,,-5996000.000000,,,,,,-73845000.000000,-53809000.000000,,34845000.000000,-745000.000000,,,-5223000.000000,,42128000.000000,-47442000.000000,,-1345000.000000,,,-4462000.000000,,,-71565000.000000,-53809000.000000,-27628000.000000,-345000.000000,204896000.000000,176923000.000000
12M 2024,90481000.000000,930359000.000000,,-701602000.000000,,-701602000.000000,-78929000.000000,6817000.000000,-17978000.000000,-48186000.000000,90481000.000000,10798000.000000,398000.000000,,,,1533000.000000,19651000.000000,,,-31906000.000000,,-8878000.000000,,,30000000.000000,,,10798000.000000,-96017000.000000,,-26555000.000000,-57000.000000,,,-4803000.000000,,47806000.000000,-46928000.000000,,-1379000.000000,,-668000.000000,,9558000.000000,,-72991000.000000,-96017000.000000,5262000.000000,2891000.000000,176923000.000000,185076000.000000
