Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Pra Akuisisi,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1358794334.000000,-1151637184.000000,207157150.000000,-121227804.000000,-70784080.000000,-50443724.000000,-121227804.000000,85929346.000000,-42316245.000000,2122019.000000,-6749534.000000,,-33744567.000000,-3944163.000000,-42316245.000000,43613101.000000,8073158.000000,51686259.000000,,51686259.000000,,,51686259.000000,51686259.000000,,51686259.000000,,,
12M 2009,1174106251.000000,-946075156.000000,228031095.000000,-108200382.000000,-52073662.000000,-56126720.000000,-108200382.000000,119830713.000000,-47422531.000000,7017737.000000,-3820800.000000,,-42979402.000000,-7640066.000000,-47422531.000000,72408182.000000,-40910846.000000,31497336.000000,156517.000000,31653853.000000,,,31653853.000000,31653853.000000,,31653853.000000,,,
12M 2010,1338766000.000000,-1117277000.000000,221489000.000000,-142467000.000000,-64526000.000000,-77941000.000000,-142467000.000000,79022000.000000,-16965000.000000,5792000.000000,3434000.000000,,-34582000.000000,8391000.000000,-16965000.000000,62057000.000000,-15485000.000000,46572000.000000,,46572000.000000,,46572000.000000,46572000.000000,46572000.000000,,46572000.000000,46572000.000000,46572000.000000,46572000.000000
12M 2011,1378740000.000000,-1145880000.000000,232860000.000000,-127463000.000000,-69840000.000000,-57623000.000000,-127463000.000000,105397000.000000,-14906000.000000,5274000.000000,1488000.000000,,-34493000.000000,12825000.000000,-14906000.000000,90491000.000000,-20079000.000000,70412000.000000,,70412000.000000,416000.000000,70828000.000000,70412000.000000,70666000.000000,-254000.000000,70412000.000000,71082000.000000,71082000.000000,71082000.000000
12M 2012,1321641000.000000,-1105457000.000000,216184000.000000,-130274000.000000,-77511000.000000,-52763000.000000,-130274000.000000,85910000.000000,-44283000.000000,7201000.000000,3624000.000000,,-60331000.000000,5223000.000000,-44283000.000000,41627000.000000,-6810000.000000,34817000.000000,,34817000.000000,835000.000000,35652000.000000,34817000.000000,34817000.000000,,34817000.000000,35652000.000000,35652000.000000,35652000.000000
12M 2013,1222356000.000000,-1072807000.000000,149549000.000000,-118350000.000000,-69309000.000000,-49041000.000000,-118350000.000000,31199000.000000,-16374000.000000,5158000.000000,21203000.000000,-690000.000000,-52069000.000000,10024000.000000,-16374000.000000,14825000.000000,12185000.000000,27010000.000000,,27010000.000000,373000.000000,27383000.000000,27010000.000000,27010000.000000,,27010000.000000,27383000.000000,27383000.000000,27383000.000000
12M 2014,1194755000.000000,-1056144000.000000,138611000.000000,-116689000.000000,-75923000.000000,-40766000.000000,-116689000.000000,21922000.000000,-10840000.000000,5537000.000000,23183000.000000,-288000.000000,-45091000.000000,5819000.000000,-10840000.000000,11082000.000000,9392000.000000,20474000.000000,,20474000.000000,1594000.000000,22068000.000000,20474000.000000,20474000.000000,,20474000.000000,22068000.000000,22068000.000000,22068000.000000
12M 2015,1062531000.000000,-951912000.000000,110619000.000000,-97593000.000000,-59718000.000000,-37875000.000000,-97593000.000000,13026000.000000,-24685000.000000,5391000.000000,21403000.000000,-19099000.000000,-40186000.000000,7806000.000000,-24685000.000000,-11659000.000000,13111000.000000,1452000.000000,,1452000.000000,25049000.000000,26501000.000000,1452000.000000,1452000.000000,,1452000.000000,26501000.000000,26501000.000000,26501000.000000
12M 2016,996902000.000000,-886766000.000000,110136000.000000,-99198000.000000,-44944000.000000,-54254000.000000,-99198000.000000,10938000.000000,-10056000.000000,3331000.000000,-7176000.000000,18988000.000000,-37252000.000000,12053000.000000,-10056000.000000,882000.000000,6771000.000000,7653000.000000,,7653000.000000,-25963000.000000,-18310000.000000,7653000.000000,7653000.000000,,7653000.000000,-18310000.000000,-18310000.000000,-18310000.000000
12M 2017,1011715000.000000,-902570000.000000,109145000.000000,-83065000.000000,-39051000.000000,-44014000.000000,-83065000.000000,26080000.000000,9462000.000000,1807000.000000,-971000.000000,43821000.000000,-37615000.000000,2420000.000000,9462000.000000,35542000.000000,-8232000.000000,27310000.000000,,27310000.000000,229000.000000,27539000.000000,27310000.000000,27310000.000000,,27310000.000000,27539000.000000,27539000.000000,27539000.000000
12M 2018,1055800000.000000,-940378000.000000,115422000.000000,-75798000.000000,-35661000.000000,-40137000.000000,-75798000.000000,39624000.000000,211178000.000000,1749000.000000,24721000.000000,230193000.000000,-51697000.000000,6212000.000000,211178000.000000,250802000.000000,-5093000.000000,245709000.000000,,245709000.000000,-1736000.000000,243973000.000000,245709000.000000,245709000.000000,,245709000.000000,243973000.000000,243973000.000000,243973000.000000
12M 2019,1047118000.000000,-939955000.000000,107163000.000000,-80949000.000000,-39430000.000000,-41519000.000000,-80949000.000000,26214000.000000,158484000.000000,2714000.000000,-21481000.000000,220613000.000000,-55550000.000000,12188000.000000,158484000.000000,184698000.000000,-18182000.000000,166516000.000000,,166516000.000000,-5557000.000000,160959000.000000,166516000.000000,166516000.000000,,166516000.000000,160959000.000000,160959000.000000,160959000.000000
12M 2020,866453000.000000,-746850000.000000,119603000.000000,-79410000.000000,-39573000.000000,-39837000.000000,-79410000.000000,40193000.000000,112786000.000000,3063000.000000,-4214000.000000,146102000.000000,-49825000.000000,17660000.000000,112786000.000000,152979000.000000,-4645000.000000,148334000.000000,,148334000.000000,-3613000.000000,144721000.000000,148334000.000000,148334000.000000,,148334000.000000,144721000.000000,144721000.000000,144721000.000000
12M 2021,1024459000.000000,-884012000.000000,140447000.000000,-91662000.000000,-58694000.000000,-32968000.000000,-91662000.000000,48785000.000000,207953000.000000,2595000.000000,14268000.000000,220726000.000000,-40800000.000000,11164000.000000,207953000.000000,256738000.000000,-8376000.000000,248362000.000000,,248362000.000000,-771000.000000,247591000.000000,248362000.000000,248362000.000000,,248362000.000000,247591000.000000,247591000.000000,247591000.000000
12M 2022,1143593000.000000,-985681000.000000,157912000.000000,-95719000.000000,-63825000.000000,-31894000.000000,-95719000.000000,62193000.000000,408056000.000000,2565000.000000,57065000.000000,387586000.000000,-41382000.000000,2222000.000000,408056000.000000,470249000.000000,-6904000.000000,463345000.000000,,463345000.000000,2308000.000000,465653000.000000,463345000.000000,463345000.000000,,463345000.000000,465653000.000000,465653000.000000,465653000.000000
12M 2023,1073834000.000000,-931916000.000000,141918000.000000,-78596000.000000,-41467000.000000,-37129000.000000,-78596000.000000,63322000.000000,121339000.000000,4476000.000000,-12400000.000000,165543000.000000,-46108000.000000,9828000.000000,121339000.000000,184661000.000000,-12647000.000000,172014000.000000,,172014000.000000,182000.000000,172196000.000000,172014000.000000,172014000.000000,,172014000.000000,172196000.000000,172196000.000000,172196000.000000
12M 2024,985145000.000000,-837120000.000000,148025000.000000,-78709000.000000,-42427000.000000,-36282000.000000,-78709000.000000,69316000.000000,235710000.000000,7037000.000000,27693000.000000,240414000.000000,-44050000.000000,4616000.000000,235710000.000000,305026000.000000,-7890000.000000,297136000.000000,,297136000.000000,875000.000000,298011000.000000,297136000.000000,297136000.000000,,297136000.000000,298011000.000000,298011000.000000,298011000.000000
