Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Lainnya Dari Pihak Ketiga,Penerimaan Dari Pengembalian Pajak,Penerimaan Bunga,Pembayaran Bunga Dan Provisi,Pembayaran Beban Operasional Lainnya,Pembayaran Pajak,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok Dan Pihak Ketiga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pembayaran Uang Muka Investasi,Akuisisi Kepemilikan Saham Di Entitas Anak Dikurangi Kas Dan Setara Kas Yang Diperoleh,Penghapusan Aset Tetap,Penerimaan Penjualan Aset Tetap,Pembayaran Pengambilalihan Saham Saham Pihak Nonpengendali,Perolehan Aset Takberwujud,Realisasi Deposito Berjangka,Penerimaan Dividen Kas,Pelepasan Investasi Pada Aset Keuangan,Investasi Pada Entitas Asosiasi,Pembayaran Uang Muka Pembelian Tanah,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank,Pembayaran Pinjaman Bank,Penerimaan Dari Penerbitan Saham,Pembayaran Utang Jangka Panjang,Penerimaan Dari (Pembayaran Kepada) Pemegang Saham,Penerimaan Utang Lain-Lain - Pihak Ketiga,Penerimaan Setoran Modal Entitas Anak Dari Pihak Nonpengendali,Pembayaran Utang Lain-Lain - Pihak Ketiga,Penerimaan Utang Pemegang Saham,Pembayaran Utang Pemegang Saham,Penerimaan Pinjaman Dari Pihak Berelasi,Pembayaran Pinjaman Kepad A Pihak Berelasi,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Premi Lindung Nilai Dimuka,Penerimaan Uang Muka Setoran Modal,Pembayaran Utang Sewa,Penambahan Saham,Pembayaran Dividen Kas Kepada Pemegang Saham Nonpengendali Entitas Anak,Tambahan Modal Disetor,Pembayaran Dividen,Beban Emisi Saham,Penempatan Dana Dalam Pembatasan,Pencairan Dana Dalam Pembatasan,Pencairan (Penempatan) Dana Yang Dalam Penempatan,Pembayaran Instrumen Keuangan Derivatif,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2020,-5027727558.000000,7141868717.000000,9337100.000000,,2500893.000000,-4514309.000000,-3272174890.000000,-231581897.000000,-8075605811.000000,-597557361.000000,-5027727558.000000,-3951307014.000000,-3951307014.000000,,,,,,,,,,,,,-3951307014.000000,8974238365.000000,,,,,,,,,,,10968511802.000000,-2018273437.000000,,,,,24000000.000000,,,,,,,,,8974238365.000000,-4796207.000000,318689518.000000,,313893311.000000
12M 2021,11037749271.000000,39422486286.000000,34650503.000000,,8910618.000000,-10141381.000000,-5613419862.000000,59089914.000000,-14711459004.000000,-8152367803.000000,11037749271.000000,-23048494407.000000,-23048494407.000000,,,,,,,,,,,,,-23048494407.000000,21889587604.000000,,,,,,,,,,,28359587604.000000,-6470000000.000000,,,,,,,,,,,,,,21889587604.000000,9878842468.000000,313893311.000000,,10192735779.000000
12M 2022,-1457552375.000000,32331344424.000000,53330273.000000,,33568334.000000,-10479906.000000,-5158427915.000000,-42772714.000000,-21306462061.000000,-7357652810.000000,-1457552375.000000,-14637203859.000000,-14637203859.000000,,,,,,,,,,,,,-14637203859.000000,14578980494.000000,,,,,,,,,,,14618980494.000000,-40000000.000000,,,,,,,,,,,,,,14578980494.000000,-1515775740.000000,10192735780.000000,,8676960040.000000
12M 2023,2963681907.000000,41940431134.000000,80495713.000000,,43248654.000000,-11823594.000000,-4403071253.000000,-554976042.000000,-23462982168.000000,-10667640537.000000,2963681907.000000,-74530671934.000000,-74530671934.000000,,,,,,,,,,,,,-74530671934.000000,64692364316.000000,,,60950000000.000000,,,,,,,,9766887704.000000,-6328283958.000000,,,,,,,3250000000.000000,,-2946239430.000000,,,,,64692364316.000000,-6874625711.000000,8676960040.000000,,1802334329.000000
12M 2024,4313505899.000000,47104418852.000000,476072104.000000,,41842625.000000,-1290160647.000000,-5296354936.000000,-840101034.000000,-26059155668.000000,-9823055397.000000,4313505899.000000,-44435203429.000000,-44525203429.000000,,,,90000000.000000,,,,,,,,,-44435203429.000000,40130532000.000000,45380532000.000000,-5250000000.000000,,,,,,,,,,,,,,,,,,,,,,,,40130532000.000000,8834470.000000,1802334329.000000,,1811168799.000000
