Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Others,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Investasi Pada Entitas Asosiasi,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Bank Jangka Pendek,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pemegang Saham,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pemegang Saham,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,313893311.000000,5805491120.000000,5805491120.000000,,,5805491120.000000,6075000.000000,6075000.000000,6075000.000000,656333707.000000,53450364.000000,6835243502.000000,,49532570177.000000,,,,,49532570177.000000,56367813679.000000,,,1263942608.000000,,1144674587.000000,,1144674587.000000,,,12951246.000000,106316775.000000,,,,,,,,,1263942608.000000,12913131978.000000,,,,,,,12842828156.000000,,,12842828156.000000,70303822.000000,12913131978.000000,14177074586.000000,,50000000000.000000,,-7809260907.000000,,-7809260907.000000,-7809260907.000000,,,42190739093.000000,56367813679.000000,50000.000000
12M 2021,,,10192735780.000000,1954730002.000000,1954730002.000000,,,1954730002.000000,6411600.000000,6411600.000000,6411600.000000,1212731234.000000,395712140.000000,13762320756.000000,,68185420822.000000,18841588.000000,,,,68204262410.000000,81966583166.000000,,,2139994775.000000,,1136190998.000000,,1136190998.000000,,,873095079.000000,130708698.000000,,,,,,,,,2139994775.000000,34899610252.000000,,,,,,,34732415760.000000,,,34732415760.000000,167194492.000000,34899610252.000000,37039605027.000000,,50000000000.000000,,-5068930203.000000,,-5068930203.000000,-5068930203.000000,,-4091658.000000,44926978139.000000,81966583166.000000,50000.000000
12M 2022,,,8676960040.000000,2641540795.000000,2641540795.000000,,,2641540795.000000,990046.000000,990046.000000,990046.000000,707110165.000000,66412550.000000,12093013596.000000,,77313648184.000000,1582277460.000000,,,,78895925644.000000,90988939240.000000,,,3839916389.000000,,2105698718.000000,,2105698718.000000,,,1012799899.000000,709023222.000000,,,,,,,,12394550.000000,3839916389.000000,49587675561.000000,,,,,,,49311396254.000000,,,49311396254.000000,276279307.000000,49587675561.000000,53427591950.000000,,50000000000.000000,,-12423518096.000000,,-12423518096.000000,-12423518096.000000,,-15134615.000000,37561347289.000000,90988939239.000000,50000.000000
12M 2023,,,1802334329.000000,3399364734.000000,3399364734.000000,,,3399364734.000000,39061138.000000,39061138.000000,39061138.000000,988527422.000000,316334630.000000,6545622253.000000,,146105342107.000000,1781148016.000000,,,,147886490123.000000,154432112376.000000,,,3542144114.000000,,1130641974.000000,,1130641974.000000,28858700.000000,,1262202775.000000,1107450914.000000,,,,,,,,12989751.000000,3542144114.000000,430243485.000000,,,,,,,,,,,430243485.000000,430243485.000000,3972387599.000000,,132500000000.000000,31503760570.000000,-13535316208.000000,,-13535316208.000000,-13535316208.000000,,-8719585.000000,150459724777.000000,154432112376.000000,2650000000.000000
12M 2024,,,1811168798.000000,4778092449.000000,4778092449.000000,,,4778092449.000000,3449594.000000,3449594.000000,3449594.000000,1197925919.000000,271241943.000000,8061878703.000000,,182049026810.000000,2355550303.000000,,,,184404577113.000000,192466455816.000000,,,10693679352.000000,,2596071106.000000,,2596071106.000000,28858700.000000,5000000000.000000,912255702.000000,1275040844.000000,,500000000.000000,,380532000.000000,,880532000.000000,,921000.000000,10693679352.000000,34816034900.000000,,,,,,34250000000.000000,,,,34250000000.000000,566034900.000000,34816034900.000000,45509714252.000000,,132500000000.000000,31503760570.000000,-17047796294.000000,,-17047796294.000000,-17047796294.000000,,777289.000000,146956741565.000000,192466455817.000000,2650000000.000000
