Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Beban Keuangan,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Tangguhan,Pajak Kini,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,13264143607.000000,-8620349493.000000,4643794114.000000,-8548607785.000000,-8548607785.000000,,,-8548607785.000000,-3904813671.000000,21753489.000000,,-4514309.000000,2500893.000000,,,23766905.000000,21753489.000000,-3883060182.000000,,,,,,-3883060182.000000,,,,-3883060182.000000,-3883060182.000000,-3883060182.000000,,-3883060182.000000,-3883060182.000000,-3883060182.000000,,-3883060182.000000
12M 2021,35557975168.000000,-19699294703.000000,15858680465.000000,-12338603738.000000,-12338603738.000000,,,-12338603738.000000,3520076727.000000,30339218.000000,,-10141381.000000,8910618.000000,,,31569981.000000,30339218.000000,3550415945.000000,-810085241.000000,17687530.000000,-827772771.000000,,-810085241.000000,2740330704.000000,-4091658.000000,-4091658.000000,-4091658.000000,2736239046.000000,2740330704.000000,2740330704.000000,,2740330704.000000,2736239046.000000,2736239046.000000,,2736239046.000000
12M 2022,33033155217.000000,-29331361744.000000,3701793473.000000,-12497648695.000000,-12497648695.000000,,,-12497648695.000000,-8795855222.000000,-119053863.000000,,-10479906.000000,33568334.000000,,,-142142291.000000,-119053863.000000,-8914909085.000000,1560321193.000000,1560321193.000000,,,1560321193.000000,-7354587892.000000,-11042956.000000,-11042956.000000,-11042956.000000,-7365630848.000000,-7354587892.000000,-7354587892.000000,,-7354587892.000000,-7365630848.000000,-7365630848.000000,,-7365630848.000000
12M 2023,42159933831.000000,-30213274526.000000,11946659305.000000,-13363642398.000000,-13363642398.000000,,,-13363642398.000000,-1416983093.000000,104505057.000000,,-20473321.000000,43248654.000000,,,81729724.000000,104505057.000000,-1312478036.000000,200679923.000000,200679923.000000,,,200679923.000000,-1111798113.000000,6415030.000000,6415030.000000,6415030.000000,-1105383083.000000,-1111798113.000000,-1111798113.000000,,-1111798113.000000,-1105383083.000000,-1105383083.000000,,-1105383083.000000
12M 2024,48501710336.000000,-34616317569.000000,13885392767.000000,-17029921426.000000,-17029921426.000000,,,-17029921426.000000,-3144528659.000000,-945032321.000000,,-1458292827.000000,41842625.000000,,,471417881.000000,-945032321.000000,-4089560980.000000,577080893.000000,577080893.000000,,,577080893.000000,-3512480087.000000,9496874.000000,9496874.000000,9496874.000000,-3502983213.000000,-3512480087.000000,-3512480087.000000,,-3512480087.000000,-3502983213.000000,-3502983213.000000,,-3502983213.000000
