Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2020,0.00 B,-77661.20,-0.00,0.00,0.08 B,-6.89%,-9.20%,-14.17%,-864.99
12M 2021,0.00 B,54806.61,0.00,0.00,7.92 B,3.34%,6.10%,5.22%,347.10
12M 2022,0.00 B,-147091.76,-0.00,0.00,(3.29 B),-8.08%,-19.58%,-10.54%,-839.31
12M 2023,2.65 B,-0.42,-290.48,7.67,4.32 B,-0.72%,-0.74%,-1.19%,-69.21
12M 2024,2.65 B,-1.33,-224.06,16.28,5.32 B,-1.82%,-2.39%,-1.89%,-2.16
