Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2015,(8 B),(9 B),(17 B),-10.61
12M 2016,(9 B),(8 B),(17 B),-8.31
12M 2017,22 B,(34 B),(12 B),-5.40
12M 2018,9 B,(42 B),(33 B),-13.71
12M 2019,159 B,(83 B),76 B,31.33
12M 2020,35 B,(40 B),(4 B),-1.67
12M 2021,(25 B),(19 B),(45 B),-18.39
12M 2022,134 B,(35 B),100 B,41.27
12M 2023,286 B,(28 B),258 B,106.75
12M 2024,95 B,(50 B),45 B,18.58
