Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Others,Total Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,12423318000.000000,3746196000.000000,3746196000.000000,3746196000.000000,4711288000.000000,,4711288000.000000,4711288000.000000,43325153000.000000,15266941000.000000,79472896000.000000,,34482363000.000000,659696000.000000,12383241000.000000,47525300000.000000,126998196000.000000,,,79254239000.000000,,30325697000.000000,11134611000.000000,41460308000.000000,,1207082000.000000,11542520000.000000,12749602000.000000,438065000.000000,,438065000.000000,5668559000.000000,18140000000.000000,797705000.000000,79254239000.000000,2595924000.000000,,,,2595924000.000000,2595924000.000000,81850163000.000000,,160039800000.000000,,-114891767000.000000,,45148033000.000000,126998196000.000000,1600398000.000000
12M 2016,,,55966120000.000000,9338743000.000000,9338743000.000000,9338743000.000000,,,,,56057777000.000000,16621374000.000000,137984014000.000000,,37845552000.000000,1908888000.000000,21593565000.000000,61348005000.000000,199332019000.000000,,,83890411000.000000,,50059947000.000000,7138828000.000000,57198775000.000000,,1084912000.000000,5601289000.000000,6686201000.000000,938800000.000000,,938800000.000000,15601092000.000000,,3465543000.000000,83890411000.000000,15853355000.000000,,11542520000.000000,11542520000.000000,4310835000.000000,15853355000.000000,99743766000.000000,,207843900000.000000,30997657000.000000,-138852999000.000000,-400305000.000000,99588253000.000000,199332019000.000000,2078439000.000000
12M 2017,,,70639350000.000000,15923903000.000000,15923903000.000000,15923903000.000000,129398000.000000,93394000.000000,36004000.000000,129398000.000000,84580700000.000000,18438890000.000000,189712241000.000000,,53569617000.000000,4453449000.000000,27973249000.000000,85996315000.000000,275708556000.000000,,,121112835000.000000,,86189334000.000000,7369744000.000000,93559078000.000000,,802942000.000000,,802942000.000000,1085998000.000000,,1085998000.000000,18209499000.000000,,7455318000.000000,121112835000.000000,33767641000.000000,,25564113000.000000,25564113000.000000,8203528000.000000,33767641000.000000,154880476000.000000,,222962436000.000000,41413847000.000000,-143548203000.000000,,120828080000.000000,275708556000.000000,2229624365.000000
12M 2018,,,73923173000.000000,23758304000.000000,23758304000.000000,23758304000.000000,813000.000000,,813000.000000,813000.000000,133056166000.000000,56466398000.000000,287204854000.000000,,88047654000.000000,6835163000.000000,29773809000.000000,124656626000.000000,411861480000.000000,,,238168553000.000000,,138473333000.000000,30143556000.000000,168616889000.000000,,2974304000.000000,15690703000.000000,18665007000.000000,2982488000.000000,,2982488000.000000,36017008000.000000,,11887161000.000000,238168553000.000000,10290151000.000000,,,,10290151000.000000,10290151000.000000,248458704000.000000,,242054702000.000000,58590452000.000000,-137242378000.000000,,163402776000.000000,411861480000.000000,2420547025.000000
12M 2019,,,68773985000.000000,22007866000.000000,22007866000.000000,22007866000.000000,,,,,206067723000.000000,24625513000.000000,321475087000.000000,,133600543000.000000,13905662000.000000,261516660000.000000,409022865000.000000,730497952000.000000,,,411740929000.000000,,222861752000.000000,40934972000.000000,263796724000.000000,,2736195000.000000,36688122000.000000,39424317000.000000,1946009000.000000,,1946009000.000000,35547342000.000000,,71026537000.000000,411740929000.000000,149071567000.000000,,,,149071567000.000000,149071567000.000000,560812496000.000000,,242054702000.000000,58590452000.000000,-130959698000.000000,,169685456000.000000,730497952000.000000,2420547025.000000
12M 2020,,,77293608000.000000,41781940000.000000,41781940000.000000,41781940000.000000,,,,,165346636000.000000,30319967000.000000,314742151000.000000,,136718729000.000000,11276596000.000000,245792616000.000000,393787941000.000000,708530092000.000000,,,460174368000.000000,,126554670000.000000,80116934000.000000,206671604000.000000,,6952698000.000000,57881942000.000000,64834640000.000000,1713168000.000000,,1713168000.000000,32943224000.000000,70000000000.000000,84011732000.000000,460174368000.000000,128212152000.000000,,,,128212152000.000000,128212152000.000000,588386520000.000000,,242054702000.000000,58590452000.000000,-180501582000.000000,,120143572000.000000,708530092000.000000,2420547025.000000
12M 2021,,,62506055000.000000,37229511000.000000,37229511000.000000,37229511000.000000,,,,,208873098000.000000,34280402000.000000,342889066000.000000,,111867160000.000000,10349224000.000000,224019254000.000000,346235638000.000000,689124704000.000000,,,510578397000.000000,,159838066000.000000,14739497000.000000,174577563000.000000,,527451000.000000,47703766000.000000,48231217000.000000,1865763000.000000,,1865763000.000000,22835169000.000000,171000000000.000000,92068685000.000000,510578397000.000000,106602595000.000000,,,,106602595000.000000,106602595000.000000,617180992000.000000,,242054702000.000000,58590452000.000000,-228701442000.000000,,71943712000.000000,689124704000.000000,2420547025.000000
12M 2022,,,70034665000.000000,41453266000.000000,41453266000.000000,41453266000.000000,,,,,239611073000.000000,55028399000.000000,406127403000.000000,,103941135000.000000,8665576000.000000,168768960000.000000,281375671000.000000,687503074000.000000,,,574583535000.000000,,196420311000.000000,53307940000.000000,249728251000.000000,,771209000.000000,61647150000.000000,62418359000.000000,1934206000.000000,,1934206000.000000,23952805000.000000,156000000000.000000,80549914000.000000,574583535000.000000,78880756000.000000,,,,78880756000.000000,78880756000.000000,653464291000.000000,,242054702000.000000,58590452000.000000,-266606371000.000000,,34038783000.000000,687503074000.000000,2420547025.000000
12M 2023,,,114399747000.000000,22167776000.000000,22167776000.000000,22167776000.000000,,,,,233909943000.000000,62664875000.000000,433142341000.000000,,87005210000.000000,5765531000.000000,163830173000.000000,256600914000.000000,689743255000.000000,,,593176688000.000000,,276647049000.000000,65172135000.000000,341819184000.000000,,9533408000.000000,95510416000.000000,105043824000.000000,2264960000.000000,,2264960000.000000,26067844000.000000,43000000000.000000,74980876000.000000,593176688000.000000,78958552000.000000,,,,78958552000.000000,78958552000.000000,672135240000.000000,,242054702000.000000,58590452000.000000,-283037139000.000000,,17608015000.000000,689743255000.000000,2420547025.000000
12M 2024,,,123224250000.000000,28582196000.000000,28582196000.000000,28582196000.000000,,,,,337318643000.000000,108164431000.000000,597289520000.000000,,103817625000.000000,5874796000.000000,268120273000.000000,377812694000.000000,975102214000.000000,,,778290717000.000000,,345652550000.000000,2610090000.000000,348262640000.000000,,11393848000.000000,98465016000.000000,109858864000.000000,,11332387000.000000,11332387000.000000,64360669000.000000,135000000000.000000,109476157000.000000,778290717000.000000,133735391000.000000,,,,133735391000.000000,133735391000.000000,912026108000.000000,,242054702000.000000,58590452000.000000,-237569048000.000000,,63076106000.000000,975102214000.000000,2420547025.000000
