Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Lain-Lain,Pembayaran Kepada Karyawan,Pembayaran Biaya Keuangan,Penerimaan Penghasilan Keuangan,Penerimaan Tagihan Atas Restitusi Pajak,Pembayaran Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Aset Hak-Guna Melalui Sewa Dibayar Dimuka,Penerimaan Dari Pelepasan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman,Penerimaan Dari Pinjaman Bank,Pembayaran Pokok Atas Pinjaman Bank,Pembayaran Bunga Pinjaman Bank,Penerimaan Dari Penerbitan Saham Baru,Pembayaran Pokok Atas Liabilitas Sewa,Pembayaran Biaya Bunga Atas Liabilitas Sewa,Pembayaran Biaya Terkait Emisi Saham,Pembayaran Biaya Keuangan,Pembayaran Pinjaman,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2015,-8178737000.000000,193723792000.000000,-160281374000.000000,-32066871000.000000,-7154145000.000000,168456000.000000,,-2568595000.000000,-8178737000.000000,-8787855000.000000,-8807855000.000000,,20000000.000000,-8787855000.000000,-9975335000.000000,92000000000.000000,,,,48860000000.000000,,,-1157088000.000000,,-149678247000.000000,-9975335000.000000,-26941927000.000000,39325550000.000000,39695000.000000,12423318000.000000
12M 2016,-9098646000.000000,231380668000.000000,-189045554000.000000,-49215705000.000000,-1468761000.000000,1112275000.000000,,-1861569000.000000,-9098646000.000000,-7885712000.000000,-8172374000.000000,,286662000.000000,-7885712000.000000,60661757000.000000,11000000000.000000,,,,86047380000.000000,,,-7245623000.000000,,-29140000000.000000,60661757000.000000,43677399000.000000,12423318000.000000,-134597000.000000,55966120000.000000
12M 2017,22424923000.000000,357227470000.000000,-271900522000.000000,-61592151000.000000,,1251879000.000000,,-2561753000.000000,22424923000.000000,-33290779000.000000,-34459355000.000000,,1168576000.000000,-33290779000.000000,25534726000.000000,,,,,28725219000.000000,,,-3190493000.000000,,,25534726000.000000,14668870000.000000,55966120000.000000,4360000.000000,70639350000.000000
12M 2018,8794180000.000000,542113878000.000000,-446503538000.000000,-83829318000.000000,,2977921000.000000,,-5964763000.000000,8794180000.000000,-41792612000.000000,-41988407000.000000,,195795000.000000,-41792612000.000000,36268871000.000000,,,,,36275305000.000000,,,-6434000.000000,,,36268871000.000000,3270439000.000000,70639350000.000000,13384000.000000,73923173000.000000
12M 2019,158535468000.000000,1097244095000.000000,-822932777000.000000,-111268755000.000000,,1087661000.000000,,-5594756000.000000,158535468000.000000,-82615869000.000000,-82710059000.000000,,94190000.000000,-82615869000.000000,-81047944000.000000,,,,,,-68257982000.000000,,,-12789962000.000000,,-81047944000.000000,-5128345000.000000,73923173000.000000,-20843000.000000,68773985000.000000
12M 2020,35489232000.000000,956836684000.000000,-787203406000.000000,-131000533000.000000,-3587414000.000000,917799000.000000,4662737000.000000,-5136635000.000000,35489232000.000000,-39498771000.000000,-39527620000.000000,,28849000.000000,-39498771000.000000,12520976000.000000,,70000000000.000000,,,,-42934733000.000000,,,-14544291000.000000,,12520976000.000000,8511437000.000000,68773985000.000000,8186000.000000,77293608000.000000
12M 2021,-25055529000.000000,1067577702000.000000,-949469400000.000000,-127147865000.000000,-9504773000.000000,1122814000.000000,,-7634007000.000000,-25055529000.000000,-19460239000.000000,-19460239000.000000,,,-19460239000.000000,29716043000.000000,,126000000000.000000,-25000000000.000000,,,-57403142000.000000,,,-13880815000.000000,,29716043000.000000,-14799725000.000000,77293608000.000000,12172000.000000,62506055000.000000
12M 2022,134460943000.000000,1275704135000.000000,-985375461000.000000,-138576614000.000000,-11482520000.000000,883059000.000000,2681580000.000000,-9373236000.000000,134460943000.000000,-40595541000.000000,-34554411000.000000,-6041130000.000000,,-40595541000.000000,-86523301000.000000,,10000000000.000000,-25000000000.000000,,,-62071952000.000000,,,-9451349000.000000,,-86523301000.000000,7342101000.000000,62506055000.000000,186509000.000000,70034665000.000000
12M 2023,285932807000.000000,1724545796000.000000,-1270603963000.000000,-154177179000.000000,-13299308000.000000,2507796000.000000,3279349000.000000,-6319684000.000000,285932807000.000000,-35361112000.000000,-27546393000.000000,-7814719000.000000,,-35361112000.000000,-206197969000.000000,,28000000000.000000,-141000000000.000000,,,-87401770000.000000,,,-5796199000.000000,,-206197969000.000000,44373726000.000000,70034665000.000000,-8644000.000000,114399747000.000000
12M 2024,95342667000.000000,2306216822000.000000,-2020363983000.000000,-180770738000.000000,,1552585000.000000,1144095000.000000,-12436114000.000000,95342667000.000000,-95566497000.000000,-50357173000.000000,-45209324000.000000,,-95566497000.000000,9023415000.000000,,613000000000.000000,-521000000000.000000,,,-67942244000.000000,,,-15034341000.000000,,9023415000.000000,8799585000.000000,114399747000.000000,24918000.000000,123224250000.000000
