Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kas Kepada Direksi Dan Karyawan,Pembayaran Gaji,"Pembayaran Kas Operasi Lainnya, Bersih",Adjustment,Penghasilan Bunga,Beban Bunga Dan Administrasi Bank,Penerimaan Dan Penyelesaian Atas Klaim Asuransi,Pembayaran Pajak Penghasilan,Penerimaan Hasil Restitusi Pajak,Kenaikan (Penurunan) Liabilitas,Lain-Lain,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Hasil Penjualan Aset Tetap,Penerimaan Bunga,Penambahan Aset Keuangan Lancar Lainnya,Pembayaran Piutang Kepada Pihak Berelasi,Penambahan Aktiva Lain-Lain,Kenaikan Investasi Jangka Pendek,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Saham,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Pinjaman Modal Kerja,Pembayaran Pinjaman Modal Kerja,Penerimaan Utang Kredit Pembiayaan,Pembayaran Utang Kredit Pembiayaan,Penerimaan Piutang Pihak Berelasi,Pembayaran Piutang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Pembayaran Pinjaman Jangka Pendek,Penerimaan Pinjaman Jangka Pendek,"Penambahan Utang Lain-Lain, Tidak Lancar","Penambahan (Pengurangan) Piutang Lain-Lain, Tidak Lancar",Pembayaran Hutang Sewa Guna Usaha,Penerimaan Dari Perjanjian Pendanaan,Pembayaran Pinjaman Lainnya,Payment Of Capex Loans,Adjustment,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Penurunan Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Saldo Kas Dan Setara Kas Entitas Anak Yang Tidak Dikonsolidasi,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2008,1907670611880.000000,3714799265496.000000,-1506943893794.000000,-118696059286.000000,,-132503549079.000000,,558136929.000000,-26267848928.000000,97453652.000000,-26714303661.000000,3341410551.000000,,,,1907670611880.000000,-17849736351.000000,-17634691202.000000,,70000000.000000,,,,-285045149.000000,,,-17849736351.000000,-1872393596167.000000,,-1914462769000.000000,,7882390000.000000,,,-107588842.000000,,31789098114.000000,,,1613850000.000000,14000000.000000,996578686.000000,-119155125.000000,,,,,-1872393596167.000000,,17427279362.000000,-22537676299.000000,,31509078109.000000,,26398681172.000000
12M 2009,1809652703518.000000,3395660300013.000000,-1192280554455.000000,-110946103942.000000,,-134920575440.000000,,566751853.000000,-34763593460.000000,1575708669.000000,-115239229720.000000,,,,,1809652703518.000000,-23325127.000000,,,,,,,-23325127.000000,,,-23325127.000000,-1796507219678.000000,,-1573118620614.000000,,5845040863.000000,,,-402663000.000000,,-228231303829.000000,,,,5000000.000000,-604673098.000000,,,,,,-1796507219678.000000,,13122158713.000000,22714751322.000000,,26398681172.000000,,62235591207.000000
12M 2010,2561652559178.000000,4571801149332.000000,-1266559784992.000000,,-135561458905.000000,-544180971694.000000,,252699933.000000,-122398599984.000000,989928087.000000,-8463579257.000000,65773176658.000000,,,,2561652559178.000000,-55711766088.000000,-32157279361.000000,,572727273.000000,,,,-24127214000.000000,,,-55711766088.000000,-2461293592638.000000,,-2349271697000.000000,,35653947627.000000,,,-274216087.000000,,,-147401627178.000000,,,,,,,,,,-2461293592638.000000,,44647200452.000000,-18989918197.000000,,62235591207.000000,,87892873462.000000
12M 2011,3985312361553.000000,5673816758805.000000,-1067788023128.000000,,-136621636479.000000,-308982916599.000000,,180331211.000000,-138419839803.000000,1101259119.000000,-102802042218.000000,64828470645.000000,,,,3985312361553.000000,-137853649388.000000,-80771119003.000000,,,,-24322087086.000000,-24713231369.000000,-6047211930.000000,-2000000000.000000,,-137853649388.000000,-3913238478435.000000,,-3759896128247.000000,,74474100000.000000,-227601948781.000000,305238390.000000,-519739797.000000,,,,,,,,,,,,,-3913238478435.000000,,-65779766270.000000,9368132922.000000,-303966452.000000,87892873462.000000,,31177273662.000000
12M 2012,433561180.000000,634181470.000000,-107539191.000000,,-16579363.000000,-61251557.000000,,31754.000000,-17979160.000000,1667691.000000,-4911388.000000,5940924.000000,,,,433561180.000000,-16040704.000000,-13295299.000000,,,,-521237.000000,-2224168.000000,,,,-16040704.000000,-409673612.000000,591434.000000,-404619673.000000,,12940000.000000,-18600000.000000,83316.000000,-68689.000000,,,,,,,,,,,,,-409673612.000000,,7846864.000000,-1491039.000000,,3438164.000000,,9793989.000000
12M 2013,3528446.000000,614050209.000000,-488283983.000000,,-16309277.000000,-89127238.000000,,35938.000000,-14782498.000000,271492.000000,-6314637.000000,3988440.000000,,,,3528446.000000,-8101426.000000,-8471616.000000,,,,370190.000000,,,,,-8101426.000000,-64843.000000,,,,700000.000000,-700000.000000,,-64843.000000,,,,,,,,,,,,,-64843.000000,,-4637823.000000,-54745.000000,,9793989.000000,,5101421.000000
12M 2014,7887017.000000,538453200.000000,-420652470.000000,,-16024232.000000,-91616880.000000,,23975.000000,-5364680.000000,3583335.000000,-5426618.000000,4911387.000000,,,,7887017.000000,-11337591.000000,-11225409.000000,-112182.000000,,,,,,,,-11337591.000000,4661977.000000,,,,4730000.000000,,,-68023.000000,,,,,,,,,,,,,4661977.000000,,1211403.000000,-128730.000000,,5101421.000000,,6184094.000000
12M 2015,2854535.000000,401800894.000000,-288202470.000000,,-8702467.000000,-96818606.000000,,22622.000000,-7221113.000000,1703128.000000,-4475260.000000,4747807.000000,,,,2854535.000000,-6450627.000000,-6450627.000000,,,,,,,,,-6450627.000000,-170806.000000,,,,,-114741.000000,,-56065.000000,,,,,,,,,,,,,-170806.000000,,-3766898.000000,239952.000000,,6184094.000000,,2657148.000000
12M 2016,13938501.000000,359942630.000000,-253401986.000000,,-8830852.000000,-88909037.000000,,23557.000000,-3824705.000000,5688253.000000,-2175977.000000,5426618.000000,,,,13938501.000000,-12402592.000000,-12431261.000000,,28669.000000,,,,,,,-12402592.000000,-975686.000000,,,,1500000.000000,-2405857.000000,,-69829.000000,,,,,,,,,,,,,-975686.000000,,560223.000000,251098.000000,,2657148.000000,,3468469.000000
12M 2017,18676931.000000,452275268.000000,-366149955.000000,,-10335562.000000,-55333452.000000,,22181.000000,-3297599.000000,1497966.000000,-2903110.000000,2901194.000000,,,,18676931.000000,-2538928.000000,-2538928.000000,,,,,,,,,-2538928.000000,5406529.000000,,,,,6293821.000000,,-12292.000000,,,,,,,,,,,-875000.000000,,5406529.000000,,21544532.000000,-18772416.000000,,3468469.000000,,6240585.000000
12M 2018,-1167123.000000,526891497.000000,-445506832.000000,,-10015611.000000,-66304170.000000,,12841.000000,-6571755.000000,1749272.000000,-3304233.000000,1881868.000000,,,,-1167123.000000,-4667026.000000,-4735614.000000,,68588.000000,,,,,,,-4667026.000000,3264789.000000,,-1164716.000000,,,11682706.000000,77424.000000,-65768.000000,,,,,-7014857.000000,,,,,,-250000.000000,,3264789.000000,,-2569360.000000,1225947.000000,,6240585.000000,,4897172.000000
12M 2019,8260004.000000,406363218.000000,-371741246.000000,,-8772568.000000,-13220764.000000,,12841.000000,-3635414.000000,155513.000000,-3008483.000000,2106907.000000,,,,8260004.000000,-7490637.000000,-7535220.000000,,44583.000000,,,,,,,-7490637.000000,1313599.000000,,-1316291.000000,,,,,-72668.000000,,,,-1569638.000000,4272196.000000,,,,,,,,1313599.000000,,2082966.000000,-2713985.000000,,4897172.000000,,4266153.000000
12M 2020,13475976.000000,262261547.000000,-219630338.000000,,-20174821.000000,-12616594.000000,,40131.000000,-4434969.000000,44440.000000,-836031.000000,8822611.000000,,,,13475976.000000,-5720282.000000,-5720282.000000,,,,,,,,,-5720282.000000,-2866714.000000,,-502878.000000,,,,,-31807.000000,,,,-1687609.000000,,,,-644420.000000,,,,,-2866714.000000,,4888980.000000,377725.000000,,4266153.000000,,9532858.000000
12M 2021,-1786740.000000,364541841.000000,-287306918.000000,,-24200954.000000,-54066260.000000,,24603.000000,-4481444.000000,40223.000000,-1415401.000000,5077570.000000,,,,-1786740.000000,-8217427.000000,-8176203.000000,-41224.000000,,,,,,,,-8217427.000000,4675690.000000,,8159289.000000,,,,,-11569.000000,,,,-2858520.000000,,,,-613510.000000,,,,,4675690.000000,,-5328477.000000,400978.000000,,9532858.000000,,4605359.000000
12M 2022,6554145.000000,406461003.000000,-321999926.000000,,-24137130.000000,-58921607.000000,,78153.000000,-3538780.000000,42285.000000,-2119363.000000,10689510.000000,,,,6554145.000000,-2244243.000000,-1669572.000000,-641740.000000,67069.000000,,,,,,,-2244243.000000,-1135921.000000,,1667607.000000,,,,,-2137.000000,,,,-2189660.000000,,,,-611731.000000,,,,,-1135921.000000,,3173981.000000,-1760373.000000,,4605359.000000,,6018967.000000
12M 2023,2209588.000000,294687255.000000,-229720798.000000,,-23497857.000000,-38581095.000000,,22665.000000,-4822344.000000,580.000000,-1676233.000000,5797415.000000,,,,2209588.000000,2784922.000000,-1077304.000000,,3862226.000000,,,,,,,2784922.000000,-4580476.000000,,869991.000000,-4100000.000000,,,,,,,,-582170.000000,,,,-768297.000000,,,,,-4580476.000000,,414034.000000,-2565097.000000,,6018967.000000,,3867904.000000
12M 2024,27319856.000000,211475905.000000,-162572572.000000,,-21949477.000000,-473747.000000,,10778.000000,-1502721.000000,11089.000000,-763674.000000,3084275.000000,,,,27319856.000000,711687.000000,-1487.000000,,713174.000000,,,,,,,711687.000000,-26600505.000000,,,-26334385.000000,,,,,,,,,,,,-266120.000000,,,,,-26600505.000000,,1431038.000000,-198052.000000,,3867904.000000,,5100890.000000
