Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Piutang Pihak Berelasi,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Piutang Usaha,Piutang Lain-Lain,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Terjamin,Pinjaman Jangka Pendek,Wesel Bayar,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pembelian Aset Tetap,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Adjustment,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Wesel Bayar,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Usaha,Adjustment,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Adjustment,Others,Total Ekuitas,Adjustment,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,26398681172.000000,3500000000.000000,537416956722.000000,265669372676.000000,271747584046.000000,537416956722.000000,4088136587.000000,,4088136587.000000,416111542691.000000,,,248332559663.000000,1235847876835.000000,,426365868504.000000,156445457932.000000,218915202483.000000,2802157309417.000000,,44811681005.000000,,28446793831.000000,3677142313172.000000,4912990190007.000000,,,13034378411257.000000,563065672758.000000,10772697204168.000000,369146883725.000000,213771170571.000000,,195468813158.000000,23007572596.000000,218476385754.000000,333714938.000000,24512438855.000000,709155002019.000000,,,268263996.000000,47095745337.000000,47364009333.000000,,115855929136.000000,13034378411257.000000,945621318605.000000,,213983222773.000000,,397243266705.000000,153462516.000000,,611379951994.000000,228403315906.000000,39571999261.000000,,66266051444.000000,945621318605.000000,13979999729862.000000,,2283248477500.000000,5586506149053.000000,-16938770103809.000000,8280000000.000000,-16947050103809.000000,-16938770103809.000000,,,2005937401.000000,-9067009539855.000000,,4912990190007.000000,2376907950.000000
12M 2009,,,62235591207.000000,3500000000.000000,549126675757.000000,280404228582.000000,268722447175.000000,549126675757.000000,5342430427.000000,,5342430427.000000,463121064042.000000,,,340668167841.000000,1423993929274.000000,,426365868504.000000,156449568798.000000,211530101730.000000,2290009443015.000000,,35479503828.000000,,25795238768.000000,3145629724643.000000,4569623653917.000000,,,11650263587902.000000,408047983987.000000,9435139803808.000000,333553849154.000000,188752488371.000000,,357776287888.000000,23973696632.000000,381749984520.000000,286476750.000000,22993119491.000000,747446678605.000000,,,156641665.000000,40429224305.000000,40585865970.000000,,91707337246.000000,11650263587902.000000,799417975028.000000,,190289560544.000000,,344463801162.000000,154802097.000000,,534908163803.000000,150181963385.000000,39571999261.000000,,74755848579.000000,799417975028.000000,12449681562930.000000,,2283248477500.000000,5586506149053.000000,-15755982148821.000000,8280000000.000000,-15764262148821.000000,-15755982148821.000000,,,6169613255.000000,-7880057909013.000000,,4569623653917.000000,2376907950.000000
12M 2010,,,87892873462.000000,1000000000.000000,690834352982.000000,422111905807.000000,268722447175.000000,690834352982.000000,4431384634.000000,,4431384634.000000,462112098195.000000,425918780239.000000,,452293508679.000000,2124482998191.000000,,,,,1815536279620.000000,,31293233848.000000,,17129600731.000000,1863959114199.000000,3988442112390.000000,,,11220829471835.000000,431987380441.000000,9107034576501.000000,324161880678.000000,182150784488.000000,,197791159079.000000,25289135857.000000,223080294936.000000,274011964.000000,22684826196.000000,695686772082.000000,,38958003000.000000,475480013.000000,38670122950.000000,78103605963.000000,,155665338586.000000,11220829471835.000000,679863410474.000000,,189504468044.000000,,326174259309.000000,696228253.000000,,516374955606.000000,89854542024.000000,,,73633912844.000000,679863410474.000000,11900692882309.000000,,2283248477500.000000,5586506149053.000000,-15789287562728.000000,8280000000.000000,-15797567562728.000000,-15789287562728.000000,,,7282166256.000000,-7912250769919.000000,,3988442112390.000000,2376907950.000000
12M 2011,,,31177273662.000000,3000000000.000000,722987674614.000000,454265227439.000000,268722447175.000000,722987674614.000000,22937261126.000000,,22937261126.000000,795058287598.000000,,,525213870330.000000,2100374367330.000000,,317368061827.000000,,,1255117683754.000000,,,,10345623643.000000,1582831369224.000000,3683205736554.000000,,,10586174968953.000000,637839711337.000000,9185233096043.000000,,,,215808272379.000000,,215808272379.000000,,17567520945.000000,413557919140.000000,,77078000000.000000,517187846.000000,,77595187846.000000,,38573261263.000000,10586174968953.000000,439077401833.000000,,198997359748.000000,,131486000000.000000,440023412.000000,,330923383160.000000,30516083167.000000,,,77637935506.000000,439077401833.000000,11025252370786.000000,,2283248477500.000000,5586506149053.000000,-15223876355833.000000,8280000000.000000,-15232156355833.000000,-15223876355833.000000,,,12075095048.000000,-7342046634232.000000,,3683205736554.000000,2376907950.000000
12M 2012,,,9793989.000000,,85777319.000000,57988028.000000,27789291.000000,85777319.000000,3300907.000000,,3300907.000000,79954633.000000,,,58213675.000000,237040523.000000,,32474040.000000,,,129394646.000000,12750.000000,3216621.000000,,1113711.000000,166211768.000000,403252291.000000,,,1168591530.000000,78752462.000000,1000263703.000000,,,,22942334.000000,7150.000000,22949484.000000,,1751095.000000,43319170.000000,,17340000.000000,64651.000000,,17404651.000000,,4150965.000000,1168591530.000000,32499610.000000,,22169338.000000,,,55535.000000,,22224873.000000,,,,10274737.000000,32499610.000000,1201091140.000000,,635689316.000000,624344507.000000,-2057851333.000000,2345301.000000,-2060196634.000000,-2057851333.000000,,,-21339.000000,-797838849.000000,,403252291.000000,2495753347.000000
12M 2013,,,5101421.000000,,73913893.000000,51867585.000000,22046308.000000,73913893.000000,3355148.000000,,3355148.000000,86227237.000000,,,67171173.000000,235768872.000000,,24836407.000000,,,82224751.000000,12087.000000,9620194.000000,,1029093.000000,117722532.000000,353491404.000000,,,1131770492.000000,87910672.000000,965681557.000000,,,,33115314.000000,,33115314.000000,,1741319.000000,36967461.000000,,,30572.000000,,30572.000000,,6323597.000000,1131770492.000000,49621692.000000,,22624894.000000,,17340000.000000,27132.000000,,39992026.000000,,,,9629666.000000,49621692.000000,1181392184.000000,,635689316.000000,624344507.000000,-2087913264.000000,2345301.000000,-2090258565.000000,-2087913264.000000,,,-21339.000000,-827900780.000000,,353491404.000000,2495753347.000000
12M 2014,,,6184094.000000,,62791642.000000,41190159.000000,21601483.000000,62791642.000000,3426117.000000,3426117.000000,3426117.000000,75507062.000000,,,29511484.000000,177420399.000000,,23692655.000000,,,61365864.000000,119866.000000,11354930.000000,,1022539.000000,97555854.000000,274976253.000000,,,1126846196.000000,88250457.000000,957675525.000000,,,,25584407.000000,,25584407.000000,,159621.000000,50151419.000000,,,,56131.000000,56131.000000,,4968636.000000,1126846196.000000,55967055.000000,,23082193.000000,,22070000.000000,,47253.000000,45199446.000000,,,,10767609.000000,55967055.000000,1182813251.000000,,635689316.000000,624323168.000000,-2167849482.000000,2345301.000000,-2170194783.000000,-2167849482.000000,,,,-907836998.000000,,274976253.000000,2495753347.000000
12M 2015,,,2657148.000000,,51046746.000000,31567047.000000,19479699.000000,51046746.000000,2787973.000000,2787973.000000,2787973.000000,61164596.000000,,,25594776.000000,143251239.000000,,19552932.000000,,,61876082.000000,113590.000000,6710119.000000,,991274.000000,89243997.000000,232495236.000000,,,1101821058.000000,88135716.000000,945081879.000000,,,,12241858.000000,,12241858.000000,,149767.000000,50446641.000000,,,,41379.000000,41379.000000,,5723818.000000,1101821058.000000,56080903.000000,,24032636.000000,,22070000.000000,,5940.000000,46108576.000000,,,,9972327.000000,56080903.000000,1157901961.000000,,635689316.000000,624323168.000000,-2185419209.000000,2345301.000000,-2187764510.000000,-2185419209.000000,,,,-925406725.000000,,232495236.000000,2495753347.000000
12M 2016,,,3468469.000000,,31584686.000000,31584686.000000,,31584686.000000,3032953.000000,3032953.000000,3032953.000000,59691450.000000,,,20243141.000000,118020699.000000,,,,39574362.000000,69647040.000000,107316.000000,2801154.000000,,998945.000000,113128817.000000,231149516.000000,,,1108697962.000000,85729859.000000,947993134.000000,,,,11986713.000000,,11986713.000000,,145695.000000,56917886.000000,,,,41718.000000,41718.000000,,5882957.000000,1108697962.000000,60017715.000000,,25024969.000000,,23570000.000000,,67977.000000,48662946.000000,,,,11354769.000000,60017715.000000,1168715677.000000,,635689316.000000,624323168.000000,-2197578645.000000,2345301.000000,-2199923946.000000,-2197578645.000000,,,,-937566161.000000,,231149516.000000,2495753347.000000
12M 2017,,,6240585.000000,,39064158.000000,39064158.000000,,39064158.000000,2112875.000000,2112875.000000,2112875.000000,54418341.000000,,,22229099.000000,124065058.000000,,,,38770115.000000,67634235.000000,101047.000000,,,996500.000000,107501897.000000,231566955.000000,,,1111724364.000000,92023680.000000,950016398.000000,,,,9264538.000000,,9264538.000000,,185678.000000,53599630.000000,,,,54549.000000,54549.000000,,6579891.000000,1111724364.000000,63083563.000000,,26055409.000000,,22695000.000000,,42854.000000,48793263.000000,194252.000000,,,14096048.000000,63083563.000000,1174807927.000000,,635689316.000000,624323168.000000,-2203253456.000000,2345301.000000,-2205598757.000000,-2203253456.000000,,,,-943240972.000000,,231566955.000000,2495753347.000000
