Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,168487802123.000000,-150091690438.000000,18396111685.000000,-8112779435.000000,,-8112779435.000000,,-8112779435.000000,10283332250.000000,-5943832823.000000,-2601188441.000000,-3342644382.000000,-5943832823.000000,4339499427.000000,-501530750.000000,-502080250.000000,549500.000000,,-501530750.000000,3837968677.000000,,3837968677.000000,,,,3837968677.000000,3837968677.000000,3837968677.000000,,3837968677.000000,3837968677.000000,3837968677.000000,,3837968677.000000
12M 2019,214786818549.000000,-194975406296.000000,19811412253.000000,-11616437999.000000,,-11616437999.000000,,-11616437999.000000,8194974254.000000,-2881875409.000000,-3124712979.000000,242837570.000000,-2881875409.000000,5313098845.000000,-1503320250.000000,-1503664000.000000,343750.000000,,-1503320250.000000,3809778595.000000,,3809778595.000000,-1521000.000000,-1521000.000000,-1521000.000000,3808257595.000000,3809778595.000000,3809778595.000000,,3809778595.000000,3808257595.000000,3808257595.000000,,3808257595.000000
12M 2020,293870179399.000000,-271151431928.000000,22718747471.000000,-13028240760.000000,,-13028240760.000000,,-13028240760.000000,9690506711.000000,-3641390687.000000,-3074794787.000000,-566595900.000000,-3641390687.000000,6049116024.000000,-1334509000.000000,-1342624360.000000,8115360.000000,,-1334509000.000000,4714607024.000000,,4714607024.000000,-8050000.000000,-8050000.000000,-8050000.000000,4706557024.000000,4714607024.000000,4714607024.000000,,4714607024.000000,4706557024.000000,4706557024.000000,,4706557024.000000
12M 2021,375300332846.000000,-351234554192.000000,24065778654.000000,-15586893204.000000,,-15586893204.000000,,-15586893204.000000,8478885450.000000,-679148543.000000,-5121216887.000000,4442068344.000000,-679148543.000000,7799736907.000000,-1772771249.000000,-1831617700.000000,58846451.000000,,-1772771249.000000,6026965658.000000,,6026965658.000000,-40311000.000000,-40311000.000000,-40311000.000000,5986654658.000000,6026965658.000000,6026965658.000000,,6026965658.000000,5986654658.000000,5986654658.000000,,5986654658.000000
12M 2022,514201823992.000000,-470059337913.000000,44142486079.000000,-27016652840.000000,,-27016652840.000000,,-27016652840.000000,17125833239.000000,-7684086889.000000,-5433551578.000000,-2250535311.000000,-7684086889.000000,9441746350.000000,-2623953420.000000,-2717742520.000000,93789100.000000,,-2623953420.000000,6817792930.000000,,6817792930.000000,39827700.000000,39827700.000000,39827700.000000,6857620630.000000,6817792930.000000,6817792930.000000,,6817792930.000000,6857620630.000000,6857620630.000000,,6857620630.000000
12M 2023,600351628985.000000,-564427727670.000000,35923901315.000000,-24674454007.000000,,-26991929213.000000,2317475206.000000,-24674454007.000000,11249447308.000000,-7213874326.000000,-7325206157.000000,111331831.000000,-7213874326.000000,4035572982.000000,-905126364.000000,,,,-905126364.000000,3130446618.000000,,3130446618.000000,-27169830.000000,-27169830.000000,-27169830.000000,3103276788.000000,3130446618.000000,3130446618.000000,,3130446618.000000,3103276788.000000,3103276788.000000,,3103276788.000000
12M 2024,634376822300.000000,-589112400894.000000,45264421406.000000,-28752752474.000000,,-35413523273.000000,6660770799.000000,-28752752474.000000,16511668932.000000,-8399923443.000000,-8529595835.000000,129672392.000000,-8399923443.000000,8111745489.000000,-1765951008.000000,,,,-1765951008.000000,6345794481.000000,,6345794481.000000,-18391860.000000,-18391860.000000,-18391860.000000,6327402621.000000,6345794481.000000,6345794481.000000,,6345794481.000000,6327402621.000000,6327402621.000000,,6327402621.000000
