Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Beban Operasional,Pembayaran Kas Kepada Karyawan,Biaya Operasional Lainnya,Adjustment,Pembayaran Pajak Penghasilan,Pembayaran Pajak Pertambahan Nilai,Penerimaan Pengembalian Pajak Penghasilan,Pembayaran Beban Bunga Dan Keuangan,Penerimaan Penghasilan Keuangan,Penerimaan Klaim Asuransi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Investasi Saham,Deposito,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank,Pembayaran Utang Bank,Pembayaran Liabilitas Sewa Pihak Berelasi,Pembayaran Utang Kepada Pihak Berelasi,Pembayaran Utang Pembelian Aset Tetap,Pembayaran Dividen,Penerimaan Dari Utang Kepada Pemegang Saham,Penambahan Modal Disetor,Penerimaan Setoran Modal,Penerimaan Uang Muka Setoran Modal,Agio Saham Dari Penawaran Saham Perdana,Penerimaan Setoran Modal Melalui Waran,Penerimaan Agio Saham Sehubungan Penawaran Umum Perdana Saham,Pembayaran Emisi Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,15215587518.000000,167785589688.000000,-170610043413.000000,-915390823.000000,,,-410611831.000000,,,-2601188441.000000,,21967232338.000000,15215587518.000000,-16119430724.000000,-16119430724.000000,,,,-16119430724.000000,5207657169.000000,,-1231782493.000000,,,-98549835.000000,,57989497.000000,,720000000.000000,5760000000.000000,,,,,5207657169.000000,4303813963.000000,215353534.000000,4519167497.000000
12M 2019,-11312614971.000000,214171623619.000000,-219246489655.000000,-2166985400.000000,,,-946050556.000000,,,-3124712979.000000,,,-11312614971.000000,-8034845460.000000,-8034845460.000000,,,,-8034845460.000000,16644505654.000000,12500000000.000000,-2063411124.000000,-100000000.000000,,-344093725.000000,,6652010503.000000,,,,,,,,16644505654.000000,-2702954777.000000,4519167497.000000,1816212720.000000
12M 2020,845673201.000000,295670411933.000000,-288900936933.000000,-2844484012.000000,,,-4523000.000000,,,-3074794787.000000,,,845673201.000000,-1336780461.000000,-1336780461.000000,,,,-1336780461.000000,-767257757.000000,,-364761381.000000,-100000000.000000,,-302496376.000000,,,,,,,,,,-767257757.000000,-1258365017.000000,1816212719.000000,557847702.000000
12M 2021,-38315248355.000000,370367568848.000000,-396576842940.000000,-3750789699.000000,,,-3233967677.000000,,,-5121216887.000000,,,-38315248355.000000,-3628030166.000000,-3628030166.000000,,,,-3628030166.000000,46368041725.000000,12485300472.000000,-4876565864.000000,-100000000.000000,,-141242883.000000,,,400000000.000000,15000000000.000000,,25500000000.000000,,,-1899450000.000000,46368041725.000000,4424763204.000000,557847702.000000,4982610906.000000
12M 2022,18865678286.000000,490518186566.000000,-458962296625.000000,-4538917557.000000,,,-2717742520.000000,,,-5433551578.000000,,,18865678286.000000,-27224539115.000000,-27224539115.000000,,,,-27224539115.000000,11336873942.000000,68364664700.000000,-55329591045.000000,-100000000.000000,,-467771608.000000,-1148528265.000000,,,,,,5656300.000000,12443860.000000,,11336873942.000000,2978013113.000000,4982610906.000000,7960624019.000000
12M 2023,-11953352490.000000,599460723290.000000,-590801487856.000000,-11535184665.000000,,,-3015998831.000000,,894897286.000000,-7067633545.000000,111331831.000000,,-11953352490.000000,-14369847699.000000,-12698349827.000000,-1671497872.000000,,,-14369847699.000000,26269424689.000000,87944872625.000000,-58222592462.000000,-1380000000.000000,,-667042300.000000,-1405813174.000000,,,,,,,,,26269424689.000000,-53775500.000000,7960624019.000000,7906848519.000000
12M 2024,13174047410.000000,649590427331.000000,-610328838503.000000,-16571407544.000000,,,-2168001099.000000,,,-7348132775.000000,,,13174047410.000000,-13411023205.000000,-6686023205.000000,,-6725000000.000000,,-13411023205.000000,2104918809.000000,65930000000.000000,-59864570190.000000,-3566272001.000000,,-394239000.000000,,,,,,,,,,2104918809.000000,1867943014.000000,7906848519.000000,9774791533.000000
