Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Retensi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Beban Akrual,Utang Pembelian Aset Tetap,Utang Bank,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Bank,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Others,Total Utang Bank,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,1940492634.000000,22109006834.000000,2025521200.000000,20083485634.000000,22109006834.000000,962532630.000000,962532630.000000,,962532630.000000,1469359424.000000,15875707344.000000,12415644228.000000,54772743094.000000,,1925785202.000000,1925785202.000000,1925785202.000000,6780992070.000000,,806116911.000000,1992539068.000000,11505433251.000000,66278176345.000000,,,25032326103.000000,,,,,14037684050.000000,10994642053.000000,25032326103.000000,15055665564.000000,143077279.000000,,11500000000.000000,,11500000000.000000,,3412588285.000000,14912588285.000000,,15055665564.000000,40087991667.000000,,510000000.000000,3979172717.000000,11964108768.000000,102000000.000000,11862108768.000000,11964108768.000000,,153336125.000000,16606617610.000000,56694609277.000000,5100.000000
12M 2022,,,12031219368.000000,29850100162.000000,212414706.000000,29637685456.000000,29850100162.000000,1181880962.000000,1181880962.000000,,1181880962.000000,2323991281.000000,35287076948.000000,16878219485.000000,97552488206.000000,,2446777452.000000,2446777452.000000,2446777452.000000,8906773712.000000,,1065965841.000000,2048455415.000000,14467972420.000000,112020460626.000000,,,54866117120.000000,,,,,38135934234.000000,16730182886.000000,54866117120.000000,16239643043.000000,772120443.000000,,11500000000.000000,,11500000000.000000,,3967522600.000000,15467522600.000000,,16239643043.000000,71105760163.000000,,10010000000.000000,3979172717.000000,17623798319.000000,102000000.000000,17521798319.000000,17623798319.000000,,356187534.000000,31969158570.000000,103074918733.000000,100100.000000
12M 2023,,,19531207402.000000,32862120593.000000,995117429.000000,31867003164.000000,32862120593.000000,340097600.000000,340097600.000000,,340097600.000000,2605026219.000000,25512155309.000000,82770429259.000000,163621036382.000000,,2336835476.000000,2336835476.000000,2336835476.000000,20592578758.000000,,1201451160.000000,2070672099.000000,26201537493.000000,189822573875.000000,,,102431837001.000000,,,,,39531435127.000000,62900401874.000000,102431837001.000000,4480418929.000000,296040057.000000,,,,,,4184378872.000000,4184378872.000000,,4480418929.000000,106912255930.000000,,50000000000.000000,3979172717.000000,17311050128.000000,102000000.000000,17209050128.000000,17311050128.000000,,554936201.000000,71845159046.000000,178757414976.000000,50000000.000000
12M 2024,,,75694655249.000000,24434115993.000000,,24434115993.000000,24434115993.000000,76040000.000000,76040000.000000,,76040000.000000,4877420859.000000,36665069321.000000,62273713986.000000,204021015408.000000,,,,,23460688520.000000,,1201636434.000000,11275726237.000000,35938051191.000000,239959066599.000000,,,48821087745.000000,,,,,17808562363.000000,31012525382.000000,48821087745.000000,4900970762.000000,382124398.000000,,,,,,4518846364.000000,4518846364.000000,,4900970762.000000,53722058507.000000,,65000000000.000000,65718965272.000000,48212977104.000000,102000000.000000,48110977104.000000,48212977104.000000,,592440479.000000,179524382855.000000,233246441362.000000,50000000.000000
