Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Bunga,Penerimaan Lain-Lain,Pembayaran Kepada Pemasok,Pembayaran Beban Operasi,Pembayaran Kas Kepada Karyawan,Pembayaran Pajak Penghasilaan,Pembayaran Bunga,Pembayaran Beban-Beban Usaha,Beban Lain-Lain,Pembayaran Beban Keuangan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Pembelian Aset Tetap,Penambahan Investasi,Penempatan Aset Tidak Lancar Lainnya,Perolehan Hak Guna Usaha,Penempatan Piutang Lain-Lain Pihak Berelasi,Penerimaan Piutang Lain-Lain Pihak Berelasi,Akuisisi Dan Penambahan Kepemilikan Saham Di Entitas Anak,Hasil Penjualan Aset Tetap,Pencairan Uang Jaminan Atas Proyek,Penerimaan Dari Pelepasan Investasi,Delisting Atas Agio Saham Entitas Anak Ape,Investasi Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Pihak Berelasi,Pembayaran Piutang Pihak Berelasi,Pembayaran Utang Pemegang Saham,Pembayaran Utang Pembiayaan Konsumen,Penambahan Utang Pembiayaan Konsumen,Pembayaran Biaya Emisi Saham,Penerimaan Dari Penerbitan Saham Biasa,Penerimaan Dari Lembaga Pembiayaan,Penerimaan Utang Bank,Piutang Dari Pihak Berelasi,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Total Piutang Dari Pihak Berelasi,Pembayaran Utang Bank,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Total Pembayaran Utang Bank,Pembayaran Dividen,Penerimaan Neto Penawaran Umum Perdana,Tambahan Modal Disetor,Penerimaan Dari Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,5586254483.000000,80507599401.000000,,,-53981057374.000000,,-16936668070.000000,-1296176145.000000,,-2772360466.000000,-330338229.000000,395255366.000000,,5586254483.000000,-1705091483.000000,-723461773.000000,,,-693600768.000000,,-6639983630.000000,6351954688.000000,,,,,,,-1705091483.000000,-2040093666.000000,-1500000000.000000,,,-276676550.000000,237625200.000000,,,,9037684050.000000,,,,,-2538726366.000000,,,-2538726366.000000,-7000000000.000000,,,,-2040093666.000000,,-458993158.000000,,2399485792.000000,1940492634.000000
12M 2022,-12115654006.000000,101225204744.000000,,,-84915564722.000000,,-21816577460.000000,-1984024804.000000,,-4306475636.000000,-650122059.000000,331905931.000000,,-12115654006.000000,-4210333956.000000,-3933425359.000000,,,-55916347.000000,,-4648342994.000000,4127350744.000000,,300000000.000000,,,,,-4210333956.000000,29637060377.000000,,,,-296368607.000000,1335178800.000000,,,,47835934234.000000,,,,,-23737684050.000000,,,-23737684050.000000,-5000000000.000000,,,9500000000.000000,29637060377.000000,,10090726734.000000,,1940492634.000000,12031219368.000000
12M 2023,9556830146.000000,168062818906.000000,,,-126073606815.000000,,-23355100573.000000,-1228411325.000000,,-5088845490.000000,-2945659146.000000,185634589.000000,,9556830146.000000,-13485865547.000000,-13683108323.000000,,,-22216684.000000,,,,,219459460.000000,,,,,-13485865547.000000,15221788926.000000,-11500000000.000000,-4608127374.000000,,-478153050.000000,,,,,15100000000.000000,4718069350.000000,,,4718069350.000000,-14500000000.000000,,,-14500000000.000000,,,,26490000000.000000,15221788926.000000,,6704487141.000000,,6295285134.000000,12999772275.000000
12M 2024,16840281629.000000,181447873106.000000,,,-100488203195.000000,,-51266132425.000000,-3937601663.000000,,-5320058487.000000,-3928085401.000000,332489694.000000,,16840281629.000000,-12876142289.000000,-3689106170.000000,,,-9205054138.000000,,,,,18018019.000000,,,,,-12876142289.000000,56028568023.000000,,,,-784002408.000000,,,,,108200000000.000000,2072777876.000000,,,2072777876.000000,-130200000000.000000,,,-130200000000.000000,,,61739792555.000000,15000000000.000000,56028568023.000000,,55886320611.000000,,12999772275.000000,68886092886.000000
