Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2021,3 B,(1 B),3 B,502496.12
12M 2022,(15 B),(4 B),(19 B),-192501.75
12M 2023,5 B,(14 B),(9 B),-174.29
12M 2024,13 B,(4 B),9 B,180.90
