Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Untuk Pemasok,"Pembayaran Gaji, Kesejahteraan Karyawan Dan Beban Usaha Lainnya",Penerimaan (Pembayaran) Piutang Lain-Lain,Penerimaan (Pembayaran) Utang Lain-Lain,Penghasilan Bunga Dan Lainnya,Pembayaran Beban Bunga,Pembayaran Pajak Penghasilan,Penerimaan (Pembayaran) Dari Aktivitas Operasi Lainnya,Penerimaan (Pembayaran) Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Anak Perusahaan,Penjualan Anak Perusahaan,Penerimaan Dari Perusahaan Asosiasi,Penjualan Aset Tetap,Penerimaan Dari Pemegang Saham,Pelepasan Entitas Anak,Pembayaran Dana Pemeliharaan Pesawat,Pembayaran Pembelian Gedung,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Kas Dari Sekuritas Perpetual,Pembayaran Utang Sewa Guna Usaha,Pembayaran Sewa Pembiayaan,Penerimaan (Pembayaran) Pinjaman,Penerimaan Dari Penerbitan Instrumen Ekuitas Lainnya,Penerimaan Utang Bank,Pembayaran Utang Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Perolehan Saldo Awal Kas Entitas Anak,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2011,-6620401153.000000,8340863339.000000,-1944754023.000000,-12455587087.000000,,,,-143420102.000000,-112170613.000000,-305332667.000000,,,-6620401153.000000,27018738785.000000,,1300000000.000000,799000000.000000,6719568785.000000,19193000000.000000,,,,,-992830000.000000,27018738785.000000,-19565694022.000000,,984000000.000000,,,,,-20549694022.000000,-19565694022.000000,832643610.000000,2164921247.000000,,,2997564857.000000
12M 2012,-7741694277.000000,20245470948.000000,-19705517393.000000,-7204089026.000000,,,,-171326402.000000,-48595490.000000,-857636914.000000,,,-7741694277.000000,-2646334099.000000,,,1567259850.000000,684800000.000000,4032408051.000000,,,,-7500000000.000000,-1430802000.000000,-2646334099.000000,8135257213.000000,,1045590000.000000,,,,,7089667213.000000,8135257213.000000,-2252771163.000000,2997564857.000000,,,744793694.000000
12M 2013,1234551758.000000,113954929884.000000,-110171246041.000000,-3522136026.000000,,,,-536106876.000000,-108382106.000000,1617492923.000000,,,1234551758.000000,1693425340.000000,,3960000000.000000,,2764535000.000000,,,,,-4700000000.000000,-331109660.000000,1693425340.000000,,,,,,,,,,2927977098.000000,744793694.000000,,,3672770792.000000
12M 2014,4956045571.000000,84240104794.000000,-56800576481.000000,-5495399587.000000,29009327538.000000,-17583034150.000000,340511245.000000,-8078364602.000000,-457680721.000000,-6367928631.000000,-13850913834.000000,,4956045571.000000,-24889880000.000000,-13500000000.000000,4757860000.000000,,,,,,,,-16147740000.000000,-24889880000.000000,20848824211.000000,,-638325000.000000,,,,33792000000.000000,-12304850789.000000,20848824211.000000,914989782.000000,3672770792.000000,277735385.000000,,4865495959.000000
12M 2015,8639543295.000000,57534377409.000000,-54693600079.000000,-5934574701.000000,1314733373.000000,21098800456.000000,,-8502523808.000000,-494803812.000000,-878174637.000000,-804690906.000000,,8639543295.000000,-7183284851.000000,,,,,,,,,-7183284851.000000,,-7183284851.000000,-2694757474.000000,,,,,,,-2694757474.000000,-2694757474.000000,-1238499030.000000,4865495959.000000,,,3626996929.000000
12M 2016,-206970689.000000,128354689947.000000,-116186434899.000000,-5403232640.000000,,,,-5764189525.000000,,26735598293.000000,-27943401865.000000,,-206970689.000000,,,,,,,,,,,,,3387007859.000000,,,,,2831871867.000000,555135992.000000,,3387007859.000000,3180037170.000000,3626996929.000000,,,6807034099.000000
12M 2017,402679673863.000000,3755000948321.000000,-3167585694286.000000,,,,,-78207695118.000000,-106527885054.000000,,,,402679673863.000000,-151574384533.000000,,,,1061026453.000000,,,-87962225979.000000,,,-64673185007.000000,-151574384533.000000,-241129853858.000000,,,-241129853858.000000,,,,,-241129853858.000000,9975435472.000000,238447678194.000000,,,248423113666.000000
12M 2018,-125180831279.000000,4497969564436.000000,-4534205776973.000000,,,,,-80016586285.000000,-8928032457.000000,,,,-125180831279.000000,171704020272.000000,,,,735850428947.000000,,,-114912136371.000000,-390000000000.000000,,-59234272304.000000,171704020272.000000,-154537162299.000000,,,-528132991841.000000,,,373595829542.000000,,-154537162299.000000,-108013973306.000000,248423113666.000000,,,140409140360.000000
12M 2019,-972470949252.000000,6632490153623.000000,-6743254767151.000000,-753213492101.000000,,,,-69353976548.000000,-39138867075.000000,,,,-972470949252.000000,563854507714.000000,,,,694205039512.000000,,,-62201858101.000000,-33925800000.000000,,-34222873697.000000,563854507714.000000,586408121437.000000,1128750000000.000000,,-439855250594.000000,,,-102486627969.000000,,586408121437.000000,177791679899.000000,140409140360.000000,,-6327316746.000000,311873503513.000000
12M 2020,109997328596.000000,1554287897768.000000,-748632818810.000000,-419715882003.000000,,,,-266236564388.000000,-9705303971.000000,,,,109997328596.000000,30027086130.000000,,,,59144000000.000000,,,-16485779186.000000,,,-12631134684.000000,30027086130.000000,-439859834613.000000,-140900000000.000000,,-284641461608.000000,,,-14318373005.000000,,-439859834613.000000,-299835419887.000000,311873503513.000000,,6683944425.000000,18722028051.000000
