Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Others,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Goodwill,Dana Perawatan Pesawat Dan Uang Jaminan,Investasi Pada Entitas Asosiasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Pihak Berelasi,Pihak Ketiga,Total Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Beban Akrual,Utang Pemegang Saham,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,2997564857.000000,,,,,,,,,,275630729.000000,6151508672.000000,9424704258.000000,,3397356458.000000,30346188995.000000,8079009684.000000,8079009684.000000,8079009684.000000,1036947705.000000,,712149073.000000,2909145182.000000,805521533.000000,47286318630.000000,56711022888.000000,,,3336162960.000000,,,84014117.000000,,84014117.000000,,527012000.000000,527012000.000000,1642083350.000000,,,,,,,,954131160.000000,,954131160.000000,128922333.000000,3336162960.000000,22567134992.000000,,3339479993.000000,,,869200000.000000,17493445920.000000,,,,18362645920.000000,865009079.000000,22567134992.000000,25903297952.000000,,54000000000.000000,29000000000.000000,-56713651377.000000,4521376312.000000,,30807724935.000000,56711022887.000000,54000000.000000
12M 2012,,,744793694.000000,8123466975.000000,8123466975.000000,,8123466975.000000,,,,,,76334957.000000,14692070107.000000,23636665733.000000,,3397356458.000000,30575000556.000000,8079009684.000000,8079009684.000000,8079009684.000000,795943414.000000,,712149073.000000,628977169.000000,803569954.000000,44992006308.000000,68628672041.000000,,,10556258377.000000,,,4235651507.000000,,4235651507.000000,,,,76333207.000000,,267268663.000000,,267268663.000000,,5500000000.000000,,475600000.000000,,5975600000.000000,1405000.000000,10556258377.000000,27111635255.000000,,278801939.000000,,,1375371000.000000,,,24583113133.000000,,25958484133.000000,874349183.000000,27111635255.000000,37667893632.000000,,54000000000.000000,29000000000.000000,-56668447785.000000,4629226193.000000,,30960778408.000000,68628672040.000000,54000000.000000
12M 2013,,,3672770792.000000,3658589464.000000,3658589464.000000,,3658589464.000000,,,,,,55696894.000000,16734534457.000000,24121591607.000000,,,14062262434.000000,20898604147.000000,20898604147.000000,20898604147.000000,,,,66274060.000000,848042387.000000,35875183028.000000,59996774635.000000,,,14030561993.000000,,,3207119318.000000,,3207119318.000000,,,,512017519.000000,,1764063156.000000,,1764063156.000000,,5500000000.000000,,,,5500000000.000000,3047362000.000000,14030561993.000000,17636356401.000000,,123463160.000000,,,,638325000.000000,,16837109420.000000,,17475434420.000000,37458821.000000,17636356401.000000,31666918394.000000,,54000000000.000000,29000000000.000000,-54935482932.000000,265339172.000000,,28329856240.000000,59996774634.000000,54000000.000000
12M 2014,,,4865495959.000000,11636251978.000000,4463116475.000000,7173135503.000000,11636251978.000000,10205574363.000000,8684363475.000000,184837115.000000,1336373773.000000,10205574363.000000,,8450904185.000000,35158226485.000000,,,101682686557.000000,,,,6350000000.000000,,,162220582.000000,,108194907139.000000,143353133624.000000,,,56049452184.000000,5500000000.000000,,4582010810.000000,330494482.000000,4912505292.000000,,3186289198.000000,3186289198.000000,3028580716.000000,,935878385.000000,41903598.000000,977781983.000000,,17640455790.000000,,,,17640455790.000000,20803839205.000000,56049452184.000000,53927286313.000000,52585163596.000000,,,,,,,537769420.000000,,537769420.000000,804353297.000000,53927286313.000000,109976738497.000000,,54000000000.000000,29000000000.000000,-64482931535.000000,9510679852.000000,5348646809.000000,33376395126.000000,143353133623.000000,216000000.000000
12M 2015,,,3626996929.000000,45480846055.000000,39802330942.000000,5678515113.000000,45480846055.000000,8779063794.000000,8593476679.000000,185587115.000000,,8779063794.000000,,15528990481.000000,73415897259.000000,,,95308585474.000000,,,,6350000000.000000,,,243013365.000000,,101901598839.000000,175317496098.000000,,,95449983537.000000,5500000000.000000,,2770992320.000000,17909112237.000000,20680104557.000000,,526599931.000000,526599931.000000,3096124012.000000,,1357807110.000000,24510588933.000000,25868396043.000000,,17640455790.000000,,,,17640455790.000000,22138303204.000000,95449983537.000000,51182265056.000000,50428175541.000000,,,,,,,,,,754089515.000000,51182265056.000000,146632248593.000000,,54000000000.000000,29000000000.000000,-59343618037.000000,7529396451.000000,-2500530909.000000,28685247505.000000,175317496098.000000,216000000.000000
12M 2016,,,6807034099.000000,24200266555.000000,18269926678.000000,5930339877.000000,24200266555.000000,10377060952.000000,10064557653.000000,312503299.000000,,10377060952.000000,,40492115278.000000,81876476884.000000,,,88366208956.000000,,,,6350000000.000000,,,224194238.000000,,94940403194.000000,176816880078.000000,,,81183590556.000000,5500000000.000000,,1379717298.000000,41656897930.000000,43036615228.000000,,21054910772.000000,21054910772.000000,1504985565.000000,,,303171582.000000,303171582.000000,,7419806674.000000,,,,7419806674.000000,2364100735.000000,81183590556.000000,62443110294.000000,61203960649.000000,,,,,,,,,,1239149645.000000,62443110294.000000,143626700850.000000,,54000000000.000000,31805831494.000000,-61752498540.000000,8712779284.000000,424066990.000000,33190179228.000000,176816880078.000000,216000000.000000
12M 2017,,,248423113666.000000,22985357253.000000,22985357253.000000,,22985357253.000000,193868013977.000000,167125046173.000000,26742967804.000000,,193868013977.000000,40730641991.000000,61320285068.000000,567327411955.000000,,,2068830054818.000000,,,,,149664324874.000000,,7924329822.000000,297387836288.000000,2523806545802.000000,3091133957757.000000,,,2174246385693.000000,,,248917186605.000000,,248917186605.000000,658517798850.000000,,658517798850.000000,50250989779.000000,,,225699008595.000000,225699008595.000000,,,494147322489.000000,,,494147322489.000000,496714079375.000000,2174246385693.000000,879812709384.000000,,,,,,591348704145.000000,97332772326.000000,,,688681476471.000000,191131232913.000000,879812709384.000000,3054059095077.000000,,2671281110250.000000,163673995500.000000,,4612621306.000000,-2802492864376.000000,37074862680.000000,3091133957757.000000,10685124441.000000
12M 2018,,,140409140360.000000,62763959834.000000,62763959834.000000,,62763959834.000000,131570820172.000000,108025068231.000000,23545751941.000000,,131570820172.000000,65565414367.000000,59533103105.000000,459842437838.000000,,,1426357150398.000000,,,,,68714759408.000000,,158940284783.000000,731190579926.000000,2385202774515.000000,2845045212353.000000,,,2806387704648.000000,,,528141321221.000000,,528141321221.000000,851646273601.000000,,851646273601.000000,46104669924.000000,,,268807105994.000000,268807105994.000000,,103146693975.000000,283300158175.000000,,,386446852150.000000,725241481758.000000,2806387704648.000000,840832867059.000000,,,,273262395178.000000,,348761562581.000000,36909735718.000000,,,658933693477.000000,181899173582.000000,840832867059.000000,3647220571707.000000,,2671281110250.000000,163673995500.000000,,4896671394.000000,-3642027136498.000000,-802175359354.000000,2845045212353.000000,10685124441.000000
12M 2019,,,311873503513.000000,31977114618.000000,31977114618.000000,,31977114618.000000,313057786823.000000,304507228603.000000,8550558220.000000,,313057786823.000000,59958238891.000000,229038577547.000000,945905221392.000000,,,1179761455303.000000,,,,,63374269271.000000,,93811953106.000000,330217175860.000000,1667164853540.000000,2613070074932.000000,,,2007253622193.000000,,,584588769726.000000,,584588769726.000000,94176544264.000000,,94176544264.000000,13909710636.000000,,,287376231929.000000,287376231929.000000,,42486627969.000000,172584952438.000000,,,215071580407.000000,812130785231.000000,2007253622193.000000,403689193414.000000,,,,227314717480.000000,,,,,,227314717480.000000,176374475934.000000,403689193414.000000,2410942815607.000000,,2671281110250.000000,163673995500.000000,,4864263529.000000,-2637692109954.000000,202127259325.000000,2613070074932.000000,10685124441.000000
12M 2020,,,18722028051.000000,5831144397.000000,5831144397.000000,,5831144397.000000,32659102173.000000,27908257424.000000,4750844749.000000,,32659102173.000000,63621490330.000000,51826903713.000000,172660668664.000000,,,720291831038.000000,,,,,29934868125.000000,,425194566746.000000,4732434151179.000000,5907855417088.000000,6080516085752.000000,,,4957130972939.000000,,,624818655118.000000,,624818655118.000000,1597996829133.000000,,1597996829133.000000,15122928634.000000,,,314441350975.000000,314441350975.000000,,256312734696.000000,,,1388847155839.000000,1645159890535.000000,759591318544.000000,4957130972939.000000,4033796913178.000000,,,,,,,,,3820757064166.000000,3820757064166.000000,213039849012.000000,4033796913178.000000,8990927886117.000000,,2671281110250.000000,163673995500.000000,,4792692957.000000,-5750159599072.000000,-2910411800365.000000,6080516085752.000000,10685124441.000000
