Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Usaha,Beban Karyawan,Beban Pemasaran,Beban Penyusutan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Hak Minoritas,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Hak Minoritas,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,9254782750.000000,-3059355880.000000,6195426870.000000,-10493507248.000000,-10493507248.000000,,,,,,-10493507248.000000,-4298080378.000000,3764008239.000000,6135669.000000,-143420102.000000,3901292672.000000,3764008239.000000,-534072139.000000,695555988.000000,161483849.000000,,161483849.000000,,161483849.000000,161483849.000000,44731128.000000,116752721.000000,,161483849.000000,161483849.000000,44731128.000000,116752721.000000,,161483849.000000
12M 2012,30029643792.000000,-24673393175.000000,5356250617.000000,-5212482019.000000,-5212482019.000000,,,,,,-5212482019.000000,143768598.000000,23543519.000000,107834295.000000,-84357111.000000,66335.000000,23543519.000000,167312117.000000,-103720899.000000,63591218.000000,,63591218.000000,,63591218.000000,63591218.000000,18387625.000000,45203593.000000,,63591218.000000,63591218.000000,18387625.000000,45203593.000000,,63591218.000000
12M 2013,106293634579.000000,-100680393761.000000,5613240818.000000,-4815640352.000000,-4815640352.000000,,,,,,-4815640352.000000,797600466.000000,-369323552.000000,7685136.000000,-536106876.000000,159098188.000000,-369323552.000000,428276914.000000,114118826.000000,542395740.000000,,542395740.000000,,542395740.000000,542395739.000000,31636921.000000,510758818.000000,,542395739.000000,542395739.000000,31636921.000000,510758818.000000,,542395739.000000
12M 2014,91209416866.000000,-75310686476.000000,15898730390.000000,-2314077234.000000,-2314077234.000000,,,,,,-2314077234.000000,13584653156.000000,-5168259000.000000,,-8080067602.000000,2911808602.000000,-5168259000.000000,8416394156.000000,-532735239.000000,7883658917.000000,-2535012109.000000,5348646808.000000,,5348646808.000000,5348646809.000000,5348646809.000000,2535012109.000000,-2535012109.000000,5348646809.000000,5348646809.000000,5348646809.000000,2535012109.000000,-2535012109.000000,5348646809.000000
12M 2015,90044507482.000000,-82989659478.000000,7054848004.000000,-2606762022.000000,-2606762022.000000,,,,,,-2606762022.000000,4448085982.000000,-9195416663.000000,,-8531121808.000000,-664294855.000000,-9195416663.000000,-4747330681.000000,-325965922.000000,-5073296603.000000,1982400748.000000,-3090895855.000000,594153587.000000,-2496742268.000000,-3090895855.000000,-3090895855.000000,,,-3090895855.000000,-5073296603.000000,-3090895855.000000,-1982400748.000000,,-5073296603.000000
12M 2016,111864132708.000000,-99475209082.000000,12388923626.000000,-4599726442.000000,-4599726442.000000,,,,,,-4599726442.000000,7789197184.000000,-5881430936.000000,,-5764189526.000000,-117241410.000000,-5881430936.000000,1907766248.000000,-1030282550.000000,877483698.000000,,877483698.000000,-141372080.000000,736111618.000000,877483698.000000,573022301.000000,304461397.000000,,877483698.000000,736111618.000000,406724344.000000,329387274.000000,,736111618.000000
12M 2017,3817860941246.000000,,3817860941246.000000,-3439357783677.000000,,-1219858771967.000000,-646537020246.000000,-254446978663.000000,-169265389295.000000,-1149249623506.000000,-3439357783677.000000,378503157569.000000,-78207695117.000000,6152523114.000000,-83129713608.000000,-1230504623.000000,-78207695117.000000,300295462452.000000,-813256742835.000000,-512961280383.000000,,-512961280383.000000,79234694380.000000,-433726586003.000000,-512961280383.000000,-512643243578.000000,-318036805.000000,,-512961280383.000000,-433726586003.000000,-433422207309.000000,-304378694.000000,,-433726586003.000000
12M 2018,4232768047707.000000,,4232768047707.000000,-5219820815719.000000,,-1868450452102.000000,-683604750788.000000,-282331981800.000000,-178058505245.000000,-2207375125784.000000,-5219820815719.000000,-987052768012.000000,-80016586285.000000,3694831129.000000,-82972451188.000000,-738966226.000000,-80016586285.000000,-1067069354297.000000,160044520589.000000,-907024833708.000000,,-907024833708.000000,57616179048.000000,-849408654660.000000,-907024833708.000000,-907290672982.000000,265839274.000000,,-907024833708.000000,-849408654660.000000,-849692704748.000000,284050088.000000,,-849408654660.000000
12M 2019,6708800607590.000000,,6708800607590.000000,-6708686664800.000000,,-2529800826533.000000,-730750949426.000000,-273102451345.000000,-134259634468.000000,-3040772803028.000000,-6708686664800.000000,113942790.000000,-61920913936.000000,4216251038.000000,-65293914766.000000,-843250208.000000,-61920913936.000000,-61806971146.000000,-95561647660.000000,-157368618806.000000,,-157368618806.000000,14227554902.000000,-143141063904.000000,-157368618806.000000,-157472627531.000000,104008725.000000,,-157368618806.000000,-143141063904.000000,-143108656039.000000,-32407865.000000,,-143141063904.000000
12M 2020,1610973387045.000000,,1610973387045.000000,-4414034732710.000000,,-1251915422427.000000,-458667873389.000000,-106962494348.000000,-1146042825114.000000,-1450446117432.000000,-4414034732710.000000,-2803061345665.000000,-266546459532.000000,874685201.000000,-267246207693.000000,-174937040.000000,-266546459532.000000,-3069607805197.000000,315017931636.000000,-2754589873561.000000,,-2754589873561.000000,-48281449673.000000,-2802871323234.000000,-2754589873561.000000,-2754692489062.000000,102615501.000000,,-2754589873561.000000,-2802871323234.000000,-2802799752662.000000,-71570572.000000,,-2802871323234.000000
