Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Beban Keuangan,Others,Total Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Penyesuaian Proforma,Laba Pra Akuisisi,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,30683297976.000000,-17002690569.000000,13680607407.000000,-9512857604.000000,-9512857604.000000,-9512857604.000000,4167749803.000000,-45303681839.000000,1523370297.000000,-45402810.000000,195426931.000000,,-4627298516.000000,-4627298516.000000,2500000.000000,,-42352277741.000000,-45303681839.000000,-41135932036.000000,-2078365925.000000,,,,-2078365925.000000,-43214297961.000000,-276341924.000000,,,-43490639885.000000,,,-43490639885.000000,-43214297961.000000,-276341924.000000,-43490639885.000000,,,,
12M 2009,30513313314.000000,-16955368982.000000,13557944332.000000,-8749734906.000000,-8749734906.000000,-8749734906.000000,4808209426.000000,-24665611161.000000,-1291753466.000000,,47908270.000000,,-4291512386.000000,-4291512386.000000,,,-19130253579.000000,-24665611161.000000,-19857401735.000000,-1773118259.000000,,,,-1773118259.000000,-21630519994.000000,-177252889.000000,,,-21807772883.000000,,,-21807772883.000000,-21630519994.000000,-177252889.000000,-21807772883.000000,,,,
12M 2010,29952546757.000000,-18854217135.000000,11098329622.000000,-8488136637.000000,-8488136637.000000,-8488136637.000000,2610192985.000000,-5997511553.000000,369849488.000000,,38722773.000000,,-4266457414.000000,-4266457414.000000,-49645417.000000,,-2089980983.000000,-5997511553.000000,-3387318568.000000,-1629733392.000000,,,,-1629733392.000000,-5017051960.000000,-154028383.000000,,,-5171080343.000000,,,-5171080343.000000,-5017051960.000000,-154028383.000000,-5171080343.000000,,,,
12M 2011,25431706095.000000,-15389996706.000000,10041709389.000000,-10125677557.000000,-10125677557.000000,-10125677557.000000,-83968168.000000,-17889627704.000000,-16245077.000000,,67642074.000000,,-23033652360.000000,-23033652360.000000,1390296250.000000,,3702331409.000000,-17889627704.000000,-17973595872.000000,-2218338007.000000,,,,-2218338007.000000,-20191933879.000000,,,,-20191933879.000000,9174711.000000,-20182759168.000000,-20191933879.000000,-18355574007.000000,-1836359872.000000,-20191933879.000000,-20182759168.000000,-18346399296.000000,-1836359872.000000,-20182759168.000000
12M 2012,30129322906.000000,-13475408614.000000,16653914292.000000,-16711999997.000000,-16711999997.000000,-16711999997.000000,-58085705.000000,-12486711089.000000,1335228437.000000,,41743794.000000,,-11153448850.000000,-11153448850.000000,,,-2710234470.000000,-12486711089.000000,-12544796794.000000,-2587226877.000000,,,,-2587226877.000000,-15132023671.000000,,,,-15132023671.000000,-1358543052.000000,-16490566723.000000,-15132023671.000000,-14542016835.000000,-590006836.000000,-15132023671.000000,-16490566723.000000,-15900559887.000000,-590006836.000000,-16490566723.000000
12M 2013,59305118887.000000,-26121314823.000000,33183804064.000000,-16942494463.000000,-16942494463.000000,-16942494463.000000,16241309601.000000,93636824945.000000,2202117740.000000,-1075438767.000000,4443541481.000000,,-9113436642.000000,-9113436642.000000,,12747037058.000000,84433004075.000000,93636824945.000000,109878134546.000000,-5922010347.000000,,,,-5922010347.000000,103956124199.000000,,,5246719662.000000,109202843861.000000,-2511407321.000000,106691436540.000000,109202843861.000000,109372368878.000000,-169525017.000000,109202843861.000000,106691436540.000000,106860961557.000000,-169525017.000000,106691436540.000000
12M 2014,98672667613.000000,-44364924439.000000,54307743174.000000,-19601861321.000000,-19601861321.000000,-19601861321.000000,34705881853.000000,-9655296819.000000,-181025681.000000,,1057573281.000000,-9251982807.000000,,-9251982807.000000,,,-1279861612.000000,-9655296819.000000,25050585034.000000,-5391863175.000000,,,,-5391863175.000000,19658721859.000000,,,,19658721859.000000,-1315667538.000000,18343054321.000000,19658721859.000000,17013686310.000000,2645035549.000000,19658721859.000000,18343054321.000000,16272468483.000000,2070585838.000000,18343054321.000000
12M 2015,111644042531.000000,-43709600057.000000,67934442474.000000,-25167860318.000000,-25167860318.000000,-25167860318.000000,42766582156.000000,87866076252.000000,-2363765.000000,,1860037459.000000,-14617713040.000000,,-14617713040.000000,,,100626115598.000000,87866076252.000000,130632658408.000000,-5451136600.000000,,,,-5451136600.000000,125181521808.000000,,,,125181521808.000000,-1058868726.000000,124122653082.000000,125181521808.000000,122385655478.000000,2795866330.000000,125181521808.000000,124122653082.000000,121556136752.000000,2566516330.000000,124122653082.000000
12M 2016,113883200419.000000,-40902150471.000000,72981049948.000000,-34731635034.000000,-34731635034.000000,-34731635034.000000,38249414914.000000,-4841506511.000000,52506967.000000,,2637793241.000000,-18845880506.000000,,-18845880506.000000,,,11314073787.000000,-4841506511.000000,33407908403.000000,-6183487641.000000,,,,-6183487641.000000,27224420762.000000,,,,27224420762.000000,84518588.000000,27308939350.000000,27224420762.000000,28392388413.000000,-1167967651.000000,27224420762.000000,27308939350.000000,28392828807.000000,-1083889457.000000,27308939350.000000
12M 2017,108781215028.000000,-65586650752.000000,43194564276.000000,-30484192503.000000,-30484192503.000000,-30484192503.000000,12710371773.000000,-37480434444.000000,27516907.000000,,3498051827.000000,-37304314820.000000,,-37304314820.000000,,,-3701688358.000000,-37480434444.000000,-24770062671.000000,-6263634496.000000,,,,-6263634496.000000,-31033697167.000000,,,,-31033697167.000000,10470966129.000000,-20562731038.000000,-31033697167.000000,-15980422944.000000,-15053274223.000000,-31033697167.000000,-20562731038.000000,-5640871881.000000,-14921859157.000000,-20562731038.000000
