Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Bunga Dan Jasa Giro,Pembayaran Kas Untuk :,P E M A S O K,Direksi Dan Karyawan,Beban-Beban,Total Pembayaran Kas Untuk :,Penerimaan Atas Pendapatan Keuangan,Pendapatan (Beban) Lain-Lain - Bersih,Pembayaran Pajak Penghasilan,Penerimaan Hasil Restitusi,Pembayaran Beban Bunga,Penerimaan (Pembayaran ) Piutang Lain-Lain,Peningkatan Dana Yang Dibatasi Penggunaannya,Pembayaran Pajak Final,Penerimaan (Pembayaran) Utang Lain-Lain,Pembayaran Utang Lembaga Keuangan,Pengembalian Uang Muka Penjualan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Peningkatan Tanah Untuk Pengembangan,Perolehan Aset Tetap,Perolehan Aset Tetap Yang Belum Digunakan,Penjualan Aset Tetap,Penempatan Deposito,Pencairan Deposito,Pembayaran Dividen Kepada Kepentingan Non Pengendali,Penerbitan Saham Entitas Baru,Pembelian Surat Berharga,Penambahan Properti Investasi,Penjualan Properti Investasi,Penambahan Aset Hak Guna,Penambahan Investasi Dalam Saham,Beban Ditangguhkan,Pembelian Obligas,Penjualan Obligasi,Penerimaan Bunga Obligasi,Penjualan (Pembelian) Surat Berharga,Penambahan Tanah Untuk Dikembangkan,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Investasi,Penerimaan (Peningkatan) Piutang Pihak Berelasi,Penjualan Aset Keuangan Tersedia Untuk Dijual,Pembelian Aset Keuangan Tersedia Untuk Dijual,Penerimaan Dividen,Pengalihan Tanah Kepada Pemerintah,Penurunan (Peningkatan) Uang Muka Lain-Lain,Penambahan Bangunan Dan Penyelesaian,Penjualan Investasi Dalam Saham,Penyertaan Investasi Dalam Saham,Pengembalian Uang Muka Pembelian Tanah,Pengembalian Uang Muka Investasi,Uang Muka Pembelian Aset,Pencairan (Penempatan) Dana Yang Dibatasi Penggunaannya Dari Aktivitas Investasi,Akuisisi Untuk Pengembangan,Aset Lain-Lain,Penerimaan Bunga,Pelepasan Investasi Pada Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pinjaman Bank,Pembayaran Pinjaman Bank,Pembayaran Utang Bank Dan Pihak Ketiga,Pembayaran Utang Lain - Lain,Peningkatan Modal Saham,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Utang Sewa Pembiayaan,Penigkatan Utang Pembiayaan Konsumen,Pembayaran Provisi Bank,Pembayaran Utang Obligasi Konversi,Penurunan (Peningkatan) Piutang Lain-Lain,Pembayaran Utang Usaha Atas Perolehanan Properti Investasi,Pembayaran Beban Akrual Atas Perolehan Properti Investasi,Penambahan Tambahan Modal Disetor,Peningkatan Piutang Pada Pihak Berelasi,Penurunan Piutang Pada Pihak Berelasi,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Pembayaran Utang Lembaga Keuangan,Penerimaan Utang Lembaga Keuangan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,"Kas Dan Setara Kas, Awal",Efek Perubahan Nilai Kurs Pada Kas Dan Setara Kas,"Kas Dan Setara Kas, Awal Entitas Anak Yang Diakuisisi",Total Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,6107137534.000000,30678550615.000000,,,-10050474942.000000,-9442907082.000000,-2078426765.000000,-21571808789.000000,,416631589.000000,-2026909956.000000,,-4387090146.000000,2978252004.000000,,,19512217.000000,,,6107137534.000000,-477262128.000000,,-403886555.000000,,2500000.000000,,,,,,-95385600000.000000,,,95385600000.000000,,,,,,,-85499103.000000,,,,,9623530.000000,,,,,,,,,,,,,,-477262128.000000,-18248172114.000000,,,-8250000000.000000,,,1827886.000000,,,,-10000000000.000000,,,,,,,,,,,-18248172114.000000,-12618296708.000000,15808294047.000000,15808294047.000000,,,15808294047.000000,3189997339.000000
12M 2009,-355008629.000000,27158032648.000000,,,-9588790735.000000,-9282139580.000000,-4896707770.000000,-23767638085.000000,,-54655802.000000,-1907859670.000000,,-2506170545.000000,630205086.000000,,,93077739.000000,,,-355008629.000000,-551545426.000000,,-661087126.000000,,,,,,,,,,,,,,,,,,99250000.000000,,,,,10291700.000000,,,,,,,,,,,,,,-551545426.000000,-558954197.000000,,,-557126311.000000,,,-1827886.000000,,,,,,,,,,,,,,,-558954197.000000,-1465508252.000000,3189997339.000000,3189997339.000000,,,3189997339.000000,1724489087.000000
12M 2010,1775404334.000000,28424692767.000000,,,-11216411277.000000,-8861400398.000000,-4815900509.000000,-24893712184.000000,,-608152528.000000,-1907592752.000000,1340000000.000000,-1618302307.000000,982424879.000000,,,56046459.000000,,,1775404334.000000,-972825081.000000,,-516725002.000000,,7500000.000000,,,,,,,,,,,,,,,,-463600079.000000,,,,,,,,,,,,,,,,,,,-972825081.000000,-550204.000000,,,-550204.000000,,,,,,,,,,,,,,,,,,-550204.000000,802029049.000000,1724489087.000000,1724489087.000000,,,1724489087.000000,2526518136.000000
12M 2011,-57998151268.000000,22697863487.000000,,,-10558983687.000000,-8949877531.000000,-5733076147.000000,-25241937365.000000,,-334887474.000000,-2237268516.000000,,-26902403016.000000,189118031.000000,,,-168636415.000000,,-26000000000.000000,-57998151268.000000,6035143449.000000,,-391548400.000000,,68450000.000000,,,,,,,,,,,,,,,,,,,,,,,6358241849.000000,,,,,,,,,,,,6035143449.000000,53240186290.000000,,,-31509813710.000000,,,84750000000.000000,,,,,,,,,,,,,,,53240186290.000000,1277178471.000000,2526518136.000000,2526518136.000000,,,2526518136.000000,3803696607.000000
12M 2012,586409564.000000,35594800260.000000,,,-7244539105.000000,-7170660796.000000,-15395881480.000000,-29811081381.000000,,-6623854.000000,-2627619358.000000,,,10000000.000000,,,25934000.000000,-2599000103.000000,,586409564.000000,7099115713.000000,,-371270000.000000,,,,,,,,,,,,,,,,,,6957200000.000000,,,,,,,,,,,,,,,,513185713.000000,,,7099115713.000000,-6209124594.000000,,,,,16946621406.000000,-23155746000.000000,,,,,,,,,,,,,,,-6209124594.000000,1476400683.000000,3803696607.000000,3803696607.000000,,,3803696607.000000,5280097290.000000
12M 2013,716068562.000000,43172303823.000000,4443541481.000000,,-18717549494.000000,-9103409640.000000,-3589428279.000000,-31410387413.000000,,-4590117119.000000,-4270993139.000000,,,-288580701.000000,,,-6339698370.000000,,,716068562.000000,-81562254899.000000,,-25903783580.000000,,,,,,,-5818700000.000000,-42071681705.000000,,,-15001250000.000000,,,,,,,15550000000.000000,,,,,,,,,,-27499000000.000000,,,,,,,586301667.000000,18595858719.000000,-81562254899.000000,80020470855.000000,130000000000.000000,,-80968455755.000000,,210095557475.000000,,,,,,,,,,900000000.000000,-29137283333.000000,32637283333.000000,-116900144808.000000,-78371261286.000000,11764775229.000000,80020470855.000000,-825715482.000000,5769370873.000000,5261088024.000000,,508282849.000000,5769370873.000000,4943655391.000000
12M 2014,21272069665.000000,95100435855.000000,1031839858.000000,,-44396506169.000000,-10691894419.000000,-3324239482.000000,-58412640070.000000,,-3831341428.000000,-4818856655.000000,,-7797367895.000000,,,,,,,21272069665.000000,-47819049937.000000,,-6210897937.000000,,,,,,,,-623252000.000000,,,,,,,,,,,-56000000000.000000,,15015100000.000000,,,,,,,,,,,,,,,,-47819049937.000000,37387759534.000000,49094908538.000000,,-9049557559.000000,,4000.000000,,,,,,,,,,,,,,,-2657595445.000000,37387759534.000000,10840779262.000000,4943655391.000000,4943655391.000000,,,4943655391.000000,15784434653.000000
12M 2015,43892480023.000000,118045002373.000000,,,-33631342506.000000,-9033532438.000000,-9151044744.000000,-51815919688.000000,1948276246.000000,-5749521782.000000,-6189040831.000000,,-12346316295.000000,,,,,,,43892480023.000000,-275022743575.000000,,-6057974706.000000,,,-22000000000.000000,,,,,-236375000.000000,,,,,,,446150000.000000,,24337256132.000000,,,,,,,,,,,-269267800001.000000,,,,,-2244000000.000000,,,,-275022743575.000000,281750625989.000000,120000000000.000000,,-64159871731.000000,,226827507114.000000,,,,,,,,,,,,,-664600000.000000,,-252409394.000000,281750625989.000000,50620362437.000000,15784434656.000000,15784434656.000000,,,15784434656.000000,66404797093.000000
12M 2016,24140681877.000000,105653567843.000000,,,-40721502703.000000,-15131224057.000000,,-55852726760.000000,2152712640.000000,-3832175160.000000,-175030507.000000,,-18706191924.000000,,,-5099474255.000000,,,,24140681877.000000,-45216311452.000000,,-941099227.000000,,,-16000000000.000000,22000000000.000000,,,,-69443585225.000000,,,,,,,446250000.000000,,,,,,,,,22222123000.000000,,,,-3500000000.000000,,,,,,,,,-45216311452.000000,-28600257099.000000,356759306952.000000,,-359693571924.000000,,17812.000000,-24567476085.000000,,20000000000.000000,-975000000.000000,,,,,250000000.000000,-18359899.000000,,507255339.000000,-20862429294.000000,,,-28600257099.000000,-49675886674.000000,70229417776.000000,66404797092.000000,,3824620684.000000,70229417776.000000,20553531102.000000
12M 2017,6003706227.000000,129135729731.000000,,,-62256070190.000000,-16962944487.000000,,-79219014677.000000,3251374743.000000,-3832097256.000000,-1139961931.000000,,-35632673460.000000,,,-6559650923.000000,,,,6003706227.000000,-66639231590.000000,,-919168446.000000,,,,16000000000.000000,,,,-66308249060.000000,,,,,,,246677084.000000,,-15349867193.000000,,,,4997500000.000000,,,,,,,-13300000000.000000,8000000000.000000,,-6123975.000000,,,,,,-66639231590.000000,95705534958.000000,111000000000.000000,,-60428486531.000000,,,-74131989.000000,,,-800000000.000000,,,-2848688013.000000,-1182017773.000000,43800532232.000000,,,20425421550.000000,-14187094518.000000,,,95705534958.000000,35070009595.000000,20793531102.000000,20553531102.000000,,240000000.000000,20793531102.000000,55863540697.000000
