Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Nasabah,Pihak Ketiga,Pihak Berelasi,Total Piutang Nasabah,Piutang Pihak Berelasi,Persediaan,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Lancar,Aset Tidak Lancar,Properti Investasi,Aset Tetap,Goodwill,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Nasabah,Piutang Pada Lembaga Kliring Dan Penjaminan,Utang Pajak,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Beban Akrual,Utang Pembiayaan Konsumen,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Bank,Utang Dari Pihak Berelasi,Utang Lain-Lain,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Obligasi Konversi,Utang Bank Jangka Pendek,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Pembiayaan Konsumen,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Obligasi Konversi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,3189997339.000000,,5958170158.000000,2557252883.000000,3400917275.000000,5958170158.000000,3206121621.000000,,,3206121621.000000,,,,,,189680645.000000,,,,845449781.000000,13389419544.000000,,95385600000.000000,78986727201.000000,,,29120785483.000000,203493112684.000000,216882532228.000000,,,57255460277.000000,,,,,,4840185458.000000,19512217.000000,,,19512217.000000,12013267062.000000,,1827886.000000,24567490225.000000,,,,,,1827886.000000,10000000000.000000,,30380667654.000000,57255460277.000000,14814876808.000000,,,,,7500000000.000000,1000000000.000000,8500000000.000000,,,,,,,6314876808.000000,14814876808.000000,72070337085.000000,,819109129500.000000,,-709780772355.000000,619310848.000000,10297036925.000000,120244704918.000000,192315042003.000000,1638218259.000000
12M 2009,,,1724489087.000000,,7993343920.000000,2478142627.000000,5515201293.000000,7993343920.000000,2575916535.000000,,,2575916535.000000,,,,,,7883290865.000000,,,,812435364.000000,20989475771.000000,,77207000000.000000,63347620578.000000,,,33523851076.000000,174078471654.000000,195067947425.000000,,,87166598861.000000,,,,,,3170064724.000000,112589956.000000,,,112589956.000000,13304979915.000000,,,31510363914.000000,,,,,,31510363914.000000,10000000000.000000,,29068600352.000000,87166598861.000000,7993358600.000000,,,,,,1000000000.000000,1000000000.000000,,,,,,32708356.000000,6960650244.000000,7993358600.000000,95159957461.000000,,819109129500.000000,,-731588545238.000000,796563737.000000,11590841965.000000,99907989964.000000,195067947425.000000,1638218259.000000
12M 2010,,,2526518136.000000,,8576757375.000000,2242633619.000000,6334123756.000000,8576757375.000000,199118031.000000,,,199118031.000000,,,,,,7862830778.000000,,,,1210875540.000000,20376099860.000000,,77207000000.000000,60377234538.000000,,20046030.000000,33388061861.000000,170992342429.000000,191368442289.000000,,,88628757762.000000,,,,,,1834947459.000000,168636415.000000,1000000000.000000,,168636415.000000,15532762323.000000,,,31509813710.000000,,,,,,31509813710.000000,10000000000.000000,,29582597855.000000,88628757762.000000,7253270408.000000,,,,,,,,,,,,,,7253270408.000000,7253270408.000000,95882028170.000000,,819109129500.000000,,-736759625581.000000,950592120.000000,11186318080.000000,94486414119.000000,190368442289.000000,1638218259.000000
12M 2011,,,3803696607.000000,,9379124512.000000,2369177771.000000,7009946741.000000,9379124512.000000,10000000.000000,,,10000000.000000,,,,,,3146571.000000,,,,4432265445.000000,17628233135.000000,,137844668642.000000,13479319762.000000,,88638257.000000,26429072660.000000,177841699321.000000,195469932456.000000,,,90338850527.000000,,,,,,975118198.000000,,1000000000.000000,,1000000000.000000,3010289813.000000,,,,71250000000.000000,,,,,71250000000.000000,10000000000.000000,,4103442516.000000,90338850527.000000,30846936199.000000,,,,13500000000.000000,,,13500000000.000000,,,,,,,17346936199.000000,30846936199.000000,121185786726.000000,,819109129500.000000,,-755132757887.000000,-887718674.000000,11195492791.000000,74284145730.000000,195469932456.000000,1905778090.000000
12M 2012,,,5261088024.000000,,5423208530.000000,5423208530.000000,,5423208530.000000,,,,,,,,,,,,,,88434148413.000000,99118444967.000000,,58881239829.000000,4744472154.000000,,,15659476000.000000,79285187983.000000,178403632950.000000,,,66264212131.000000,,,,,,363744325.000000,,,,,5819929449.000000,,,,49661075062.000000,,,,,49661075062.000000,,,10419463295.000000,66264212131.000000,27471363219.000000,,,,11933178938.000000,,,11933178938.000000,,,,,,,15538184281.000000,27471363219.000000,93735575350.000000,,845865112600.000000,,-769674774722.000000,-1477725510.000000,9955445232.000000,84668057600.000000,178403632950.000000,1905778090.000000
12M 2013,,,4943655391.000000,,2760148442.000000,2760148442.000000,,2760148442.000000,393580701.000000,,,393580701.000000,,,,,,694625615.000000,,,,35176741748.000000,43968751897.000000,,219240568201.000000,165065124054.000000,22254095400.000000,,107104723489.000000,513664511144.000000,557633263041.000000,,,42704406014.000000,1865522446.000000,,1865522446.000000,,,,,14077539121.000000,5391165366.000000,19468704487.000000,1947809952.000000,,,6887500000.000000,1110162535.000000,,,,,7997662535.000000,,,11424706594.000000,42704406014.000000,83008218086.000000,,,47737500000.000000,1547432910.000000,,,49284932910.000000,2178886638.000000,,,304956591.000000,304956591.000000,,31239441947.000000,83008218086.000000,125712624100.000000,,958511224100.000000,58825799331.000000,-660234184457.000000,71088837317.000000,2541013517.000000,430732689808.000000,556445313908.000000,3032239245.000000
12M 2014,,,15784434656.000000,,6060667588.000000,6060667588.000000,,6060667588.000000,24271797.000000,,,24271797.000000,,,,,,588113445.000000,,,,29309966953.000000,51767454439.000000,,221299151863.000000,155528793707.000000,22254095400.000000,,162961390156.000000,562043431126.000000,613810885565.000000,,,65291617582.000000,2414890392.000000,,2414890392.000000,,,,,14077539121.000000,692222814.000000,14769761935.000000,3297116614.000000,,,13904166674.000000,,,,,,13904166674.000000,,7266184313.000000,23639497654.000000,65291617582.000000,98049859760.000000,,,73499999992.000000,,,,73499999992.000000,2751893158.000000,,,309506205.000000,309506205.000000,,21488460405.000000,98049859760.000000,163341477342.000000,,958511228100.000000,58825799331.000000,-643159051481.000000,73159423155.000000,1799795690.000000,449137194795.000000,612478672137.000000,3032239245.000000
12M 2015,,,66404797093.000000,22000000000.000000,4425761841.000000,4425761841.000000,,4425761841.000000,375750.000000,,,375750.000000,,,,,,993447445.000000,,,,30541716666.000000,124366098795.000000,,246147697917.000000,181471180652.000000,22254095400.000000,,754961386828.000000,1204834360797.000000,1329200459592.000000,,,107849363959.000000,2007817278.000000,,2007817278.000000,,,,,13664474367.000000,2225722978.000000,15890197345.000000,5018037021.000000,66795580.000000,,21737500000.000000,190873280.000000,,,,,21928373280.000000,,33487581482.000000,29450561973.000000,107849363959.000000,141375614924.000000,,,112162499992.000000,4304952549.000000,185613814.000000,,116653066355.000000,2655683250.000000,,,343218496.000000,343218496.000000,,21723646823.000000,141375614924.000000,249224978883.000000,,1122252147200.000000,121912387345.000000,-520736404658.000000,301528281916.000000,53824784767.000000,1078781196570.000000,1328006175453.000000,4669648436.000000
12M 2016,,,20553531102.000000,16000000000.000000,6482345802.000000,6482345802.000000,,6482345802.000000,271473817.000000,253113918.000000,18359899.000000,271473817.000000,,,,,,691603836.000000,,,,54982897641.000000,98981852198.000000,,659113651968.000000,164179469838.000000,22254095400.000000,,703492609316.000000,1549039826522.000000,1648021678720.000000,,,73271013237.000000,4881801907.000000,,4881801907.000000,,,,,9249201392.000000,1638244909.000000,10887446301.000000,8092330814.000000,74131989.000000,,12606691267.000000,,,,,,12606691267.000000,,11000000000.000000,25728610959.000000,73271013237.000000,368871456857.000000,,,345444728356.000000,,111481825.000000,,345556210181.000000,2577048250.000000,,,,,,20738198426.000000,368871456857.000000,442142470094.000000,,1122252161800.000000,132898858881.000000,-494302872614.000000,390927425757.000000,52043986962.000000,1203819560786.000000,1645962030880.000000,4669648436.000000
12M 2017,,,55863540697.000000,,6266385147.000000,5956248208.000000,310136939.000000,6266385147.000000,1476058816.000000,1457698917.000000,18359899.000000,1476058816.000000,,,,,,754488973.000000,,,,54224772605.000000,118585246238.000000,,725125443040.000000,157061893991.000000,22254095400.000000,,725614218437.000000,1630055650868.000000,1748640897106.000000,,,104934262362.000000,9909378121.000000,,9909378121.000000,,,,,16726999976.000000,1529190021.000000,18256189997.000000,15557637155.000000,82191805.000000,,,,25131887694.000000,,,,25131887694.000000,,,35996977590.000000,104934262362.000000,428327784246.000000,,,394156123896.000000,,29290020.000000,,394185413916.000000,2518741250.000000,,,,,,31623629080.000000,428327784246.000000,533262046608.000000,,1158154237400.000000,140797315513.000000,-510014230439.000000,346451703409.000000,78464336097.000000,1213853361980.000000,1747115408588.000000,4669648436.000000
