Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,216453230000.000000,-197260222089.000000,19193007911.000000,-8995627454.000000,-7241782710.000000,-1753844744.000000,-8995627454.000000,10197380457.000000,-20556815.000000,-20556815.000000,-20556815.000000,10176823642.000000,-2803234829.000000,-3236959880.000000,433725051.000000,-2803234829.000000,7373588813.000000,7373588813.000000,46935947.000000,46935947.000000,46935947.000000,7420524760.000000,7373588813.000000,7373588813.000000,,7373588813.000000,7420524760.000000,7420524760.000000,,7420524760.000000
12M 2022,116750000000.000000,-93897791166.000000,22852208834.000000,-8684080332.000000,-9806717620.000000,1122637288.000000,-8684080332.000000,14168128502.000000,-150428788.000000,-150428788.000000,-150428788.000000,14017699714.000000,-3396436048.000000,-3280618000.000000,-115818048.000000,-3396436048.000000,10621263666.000000,10621263666.000000,53677366.000000,53677366.000000,53677366.000000,10674941032.000000,10621263666.000000,10621263666.000000,,10621263666.000000,10674941032.000000,10674941032.000000,,10674941032.000000
12M 2023,247549993320.000000,-198421901754.000000,49128091566.000000,-13198617109.000000,-11533759537.000000,-1664857572.000000,-13198617109.000000,35929474457.000000,-97032064.000000,-97032064.000000,-97032064.000000,35832442393.000000,-8508257394.000000,-8709590340.000000,201332946.000000,-8508257394.000000,27324184999.000000,27324184999.000000,11322420.000000,11322420.000000,11322420.000000,27335507419.000000,27324184999.000000,27324184999.000000,,27324184999.000000,27335507419.000000,27335507419.000000,,27335507419.000000
12M 2024,140695003286.000000,-113261979226.000000,27433024060.000000,-17468246186.000000,-14865455178.000000,-2602791008.000000,-17468246186.000000,9964777874.000000,-35042090.000000,-35042090.000000,-35042090.000000,9929735784.000000,-3007214728.000000,-3705615980.000000,698401252.000000,-3007214728.000000,6922521056.000000,6922521056.000000,-42057073.000000,-42057073.000000,-42057073.000000,6880463983.000000,6922521056.000000,6922521056.000000,,6922521056.000000,6880463983.000000,6880463983.000000,,6880463983.000000
