Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembelian Aset Tetap,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,11789560119.000000,169111073108.000000,169111073108.000000,,169111073108.000000,149599044.000000,21235508749.000000,202285741020.000000,,1659183647.000000,1094287744.000000,75223426893.000000,77976898284.000000,280262639304.000000,,,11656758130.000000,,349864693.000000,349864693.000000,10291338308.000000,39200000.000000,,110044714.000000,866310415.000000,976355129.000000,11656758130.000000,243085486315.000000,,1862048471.000000,1862048471.000000,241223437844.000000,243085486315.000000,254742244445.000000,,510000000.000000,489750000.000000,24473708913.000000,,24473708913.000000,24473708913.000000,,46935947.000000,25520394860.000000,280262639305.000000,510.000000
12M 2022,,,4100770281.000000,132786001185.000000,132786001185.000000,,132786001185.000000,72555536.000000,78184852184.000000,215144179186.000000,,1625182534.000000,963329927.000000,78497869605.000000,81086382066.000000,296230561252.000000,,,14721276266.000000,,878645222.000000,878645222.000000,11875071419.000000,58800000.000000,,,1908759625.000000,1908759625.000000,14721276266.000000,245313949093.000000,,953288847.000000,953288847.000000,244360660246.000000,245313949093.000000,260035225359.000000,,510000000.000000,489750000.000000,35094972579.000000,,35094972579.000000,35094972579.000000,,100613313.000000,36195335892.000000,296230561251.000000,510.000000
12M 2023,,,8574383809.000000,149147535985.000000,121310909849.000000,27836626136.000000,149147535985.000000,28242168.000000,72776638992.000000,230526800954.000000,,1071909076.000000,1161469369.000000,108757073473.000000,110990451918.000000,341517252872.000000,,,36631751151.000000,,189210000.000000,189210000.000000,17216302304.000000,241950000.000000,,,18984288847.000000,18984288847.000000,36631751151.000000,1354658409.000000,,,,1354658409.000000,1354658409.000000,37986409560.000000,,291510000000.000000,489750000.000000,11419157578.000000,2915100000.000000,8504057578.000000,11419157578.000000,,111935733.000000,303530843311.000000,341517252871.000000,291510.000000
12M 2024,,,105986625470.000000,172562128824.000000,172562128824.000000,,172562128824.000000,,57736381437.000000,336285135731.000000,,17519873519.000000,1871732872.000000,185555699299.000000,204947305690.000000,541232441421.000000,,,15830458945.000000,,130425000.000000,130425000.000000,15551188019.000000,148845926.000000,,,,,15830458945.000000,1740111335.000000,,,,1740111335.000000,1740111335.000000,17570570280.000000,,381242000000.000000,124008313847.000000,18341678634.000000,2915100000.000000,15426578634.000000,18341678634.000000,,69878660.000000,523661871141.000000,541232441421.000000,4765525000.000000
