Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Lainnya,Pembayaran Kepada Karyawan,Pembayaran Beban Operasional Lainnya,Pembayaran Pajak,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Perolehan Aset Takberwujud,Penempatan Investasi Pada Obligasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Kepada Pemegang Saham,Setoran Modal Dari Penawaran Umum Perdana Saham,Penerimaan Agio Saham Sehubungan Dengan Penawaran Umum Perdana Saham,Pembayaran Biaya Emisi Saham,Pembayaran Liabilitas Sewa,Utang Pembelian Aset Tetap,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Adjustment,Kas Dan Setara Kas Akhir Periode
12M 2021,12167139124.000000,119972924907.000000,-94378143851.000000,-4894320000.000000,-5346816229.000000,-3186505703.000000,12167139124.000000,-1914454700.000000,-59484700.000000,,,-1854970000.000000,-1914454700.000000,-479642657.000000,,,,,,-479642657.000000,-479642657.000000,9773041767.000000,2016518353.000000,,11789560120.000000
12M 2022,-4041881235.000000,153075071924.000000,-147403373671.000000,-5856996362.000000,-575965126.000000,-3280618000.000000,-4041881235.000000,-3536863890.000000,-372664090.000000,,,-3164199800.000000,-3536863890.000000,-110044714.000000,,,,,,-110044714.000000,-110044714.000000,-7688789839.000000,11789560119.000000,,4100770280.000000
12M 2023,7996970717.000000,231188458520.000000,-208266281795.000000,-5037968836.000000,-8063777233.000000,-1823459939.000000,7996970717.000000,-231901664.000000,-52073883.000000,160000000.000000,-339827781.000000,,-231901664.000000,-3291455524.000000,-3291455524.000000,,,,,,-3291455524.000000,4473613529.000000,4100770281.000000,,8574383810.000000
12M 2024,-98931499056.000000,117280410447.000000,-186699279763.000000,-5656559390.000000,-10974286489.000000,-12881783861.000000,-98931499056.000000,-16906823130.000000,-16884823130.000000,,-22000000.000000,,-16906823130.000000,213250563847.000000,,89732000000.000000,128989750000.000000,-5471186153.000000,,,213250563847.000000,97412241661.000000,8574383809.000000,,105986625470.000000
