Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,876274150231.000000,-792098089240.000000,84176060991.000000,-63670509214.000000,-16505587735.000000,-47164921479.000000,,-63670509214.000000,20505551777.000000,-6312549922.000000,260111400.000000,-11334162.000000,110590096.000000,-5252433557.000000,-1419483699.000000,-6312549922.000000,14193001855.000000,-4673564102.000000,-5682550100.000000,1008985998.000000,-4673564102.000000,9519437753.000000,,,,,9519437753.000000,9519437753.000000,,9519437753.000000,,,,
12M 2009,1010934004089.000000,-916547639589.000000,94386364500.000000,-64873830779.000000,-16420145915.000000,-48453684864.000000,,-64873830779.000000,29512533721.000000,-12923691237.000000,225395000.000000,-27048029.000000,237235267.000000,-9715889063.000000,-3643384412.000000,-12923691237.000000,16588842484.000000,-7076701889.000000,-7325380720.000000,248678831.000000,-7076701889.000000,9512140595.000000,,,,,9512140595.000000,9512140595.000000,,9512140595.000000,,,,
12M 2010,836964146502.000000,-756729730889.000000,80234415613.000000,-67255895232.000000,-16844338249.000000,-50411556983.000000,,-67255895232.000000,12978520381.000000,-10722492395.000000,144421742.000000,712508681.000000,271092210.000000,-10349382326.000000,-1501132702.000000,-10722492395.000000,2256027986.000000,-748618620.000000,-1841473500.000000,1092854880.000000,-748618620.000000,1507409366.000000,,,,,1507409366.000000,1507409366.000000,,1507409366.000000,,,,
12M 2011,973210720803.000000,-885991103885.000000,87219616918.000000,-70241066296.000000,-20803171809.000000,-49889694041.000000,451799554.000000,-70241066296.000000,16978550622.000000,-10862208753.000000,,,282496656.000000,-11144705409.000000,,-10862208753.000000,6116341869.000000,-2114826964.000000,-2386473000.000000,271646036.000000,-2114826964.000000,4001514905.000000,,,,4001514905.000000,4001514905.000000,4001514905.000000,,4001514905.000000,4001514905.000000,4001514905.000000,,4001514905.000000
12M 2012,1172974792982.000000,-1068515420711.000000,104459372271.000000,-81522691137.000000,-26407414658.000000,-54009176204.000000,-1106100275.000000,-81522691137.000000,22936681134.000000,-9672908397.000000,,,307351673.000000,-9980260070.000000,,-9672908397.000000,13263772737.000000,-3415548433.000000,-4444749250.000000,1029200817.000000,-3415548433.000000,9848224304.000000,,,,9848224304.000000,9848224304.000000,9848224304.000000,,9848224304.000000,9848224304.000000,9848224304.000000,,9848224304.000000
12M 2013,1310244154883.000000,-1189781957128.000000,120462197755.000000,-91549815489.000000,-28377401907.000000,-61330227046.000000,-1842186536.000000,-91549815489.000000,28912382266.000000,-13469741426.000000,,,271026733.000000,-13740768159.000000,,-13469741426.000000,15442640840.000000,-5195351367.000000,-5878365000.000000,683013633.000000,-5195351367.000000,10247289473.000000,,,,10247289473.000000,10247289473.000000,10247289473.000000,,10247289473.000000,10247289473.000000,10247289473.000000,,10247289473.000000
12M 2014,1437667562629.000000,-1306133352316.000000,131534210313.000000,-99682586377.000000,-32408196961.000000,-66901876023.000000,-372513393.000000,-99682586377.000000,31851623936.000000,-21602750252.000000,,,348365792.000000,-21951116044.000000,,-21602750252.000000,10248873684.000000,-2930336677.000000,-3643827250.000000,713490573.000000,-2930336677.000000,7318537007.000000,-401820750.000000,-401820750.000000,-401820750.000000,6916716257.000000,7318537007.000000,7318537007.000000,,7318537007.000000,6916716257.000000,6916716257.000000,,6916716257.000000
12M 2015,1707613430187.000000,-1550312637724.000000,157300792463.000000,-114798286312.000000,-37525478412.000000,-75192658375.000000,-2080149525.000000,-114798286312.000000,42502506151.000000,-25728767469.000000,,,568770858.000000,-26297538327.000000,,-25728767469.000000,16773738682.000000,-4866541227.000000,-6074284000.000000,1207742773.000000,-4866541227.000000,11907197455.000000,689317500.000000,689317500.000000,689317500.000000,12596514955.000000,11907197455.000000,11907197455.000000,,11907197455.000000,12596514955.000000,12596514955.000000,,12596514955.000000
12M 2016,1970114275524.000000,-1800872527909.000000,169241747615.000000,-121361843286.000000,-39655504636.000000,-81439286982.000000,-267051668.000000,-121361843286.000000,47879904329.000000,-30632374803.000000,,,117910417.000000,-30750285220.000000,,-30632374803.000000,17247529526.000000,-6141697704.000000,-5149298500.000000,-992399204.000000,-6141697704.000000,11105831822.000000,39678750.000000,39678750.000000,39678750.000000,11145510572.000000,11105831822.000000,11105831822.000000,,11105831822.000000,11145510572.000000,11145510572.000000,,11145510572.000000
12M 2017,2110824973137.000000,-1931226824091.000000,179598149046.000000,-130276162389.000000,-39945879142.000000,-88938892094.000000,-1391391153.000000,-130276162389.000000,49321986657.000000,-28647673446.000000,,,136951279.000000,-28784624725.000000,,-28647673446.000000,20674313211.000000,-6493967686.000000,-7099133250.000000,605165564.000000,-6493967686.000000,14180345525.000000,-746373000.000000,-746373000.000000,-746373000.000000,13433972525.000000,14180345525.000000,14180345525.000000,,14180345525.000000,13433972525.000000,13433972525.000000,,13433972525.000000
