Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Piutang Lain-Lain,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,37403225043.000000,134380859712.000000,819425744.000000,,,819425744.000000,108917394046.000000,6500007815.000000,288020912360.000000,,2348962434.000000,,9432987452.000000,,8854932916.000000,20636882802.000000,308657795162.000000,,,217595856914.000000,60000000000.000000,135780598519.000000,,,135780598519.000000,1982048881.000000,,,1982048881.000000,1963830592.000000,4862202133.000000,,2577899253.000000,,429277536.000000,,3007176789.000000,10000000000.000000,217595856914.000000,11306340499.000000,,6929598642.000000,,425248323.000000,,7354846965.000000,,3951493534.000000,11306340499.000000,228902197413.000000,,72800000000.000000,-450725142.000000,7406322891.000000,,,7406322891.000000,,,79755597749.000000,308657795162.000000,728000000.000000
12M 2009,,,17013962429.000000,124992189181.000000,381520084.000000,,,381520084.000000,95851430012.000000,5854628833.000000,244093730539.000000,,2597641265.000000,,8916736358.000000,12137313094.000000,267984100.000000,23919674817.000000,268013405356.000000,,,164239418372.000000,67500000000.000000,83406559024.000000,,,83406559024.000000,1477104886.000000,,,1477104886.000000,177024381.000000,8464060170.000000,,2792214242.000000,,422455669.000000,,3214669911.000000,,164239418372.000000,14506248640.000000,,6829995340.000000,,,,6829995340.000000,,7676253300.000000,14506248640.000000,178745667012.000000,,72800000000.000000,-450725142.000000,16918463486.000000,,,16918463486.000000,,,89267738344.000000,268013405356.000000,728000000.000000
12M 2010,,,18679313343.000000,126026546981.000000,1216333634.000000,,,1216333634.000000,97343195425.000000,7239957382.000000,250505346765.000000,,3690496145.000000,,7667168692.000000,11715007846.000000,2937883784.000000,26010556467.000000,276515903232.000000,,,176392580846.000000,96175478296.000000,70938500120.000000,,,70938500120.000000,1071267459.000000,,,1071267459.000000,130949276.000000,8027019345.000000,,,,49366350.000000,,49366350.000000,,176392580846.000000,9348174676.000000,,,,171648376.000000,,171648376.000000,,9176526300.000000,9348174676.000000,185740755522.000000,,72800000000.000000,-450725142.000000,18425872852.000000,,,18425872852.000000,,,90775147710.000000,276515903232.000000,728000000.000000
12M 2011,,,18323199621.000000,145518448815.000000,2098416311.000000,,,2098416311.000000,119951161657.000000,12822334833.000000,298713561237.000000,,3962142181.000000,,8064977451.000000,9874620574.000000,2854189684.000000,24755929890.000000,323469491127.000000,,,217432110000.000000,107625430290.000000,,93382712458.000000,6057544114.000000,99440256572.000000,,,,,155292803.000000,10156296471.000000,,,,54833864.000000,,54833864.000000,,217432110000.000000,11260718512.000000,,,,116814512.000000,,116814512.000000,,11143904000.000000,11260718512.000000,228692828512.000000,,72800000000.000000,-450725142.000000,22427387757.000000,,,22427387757.000000,,,94776662615.000000,323469491127.000000,728000000.000000
12M 2012,,,27496823316.000000,176007554483.000000,2151919270.000000,,,2151919270.000000,140020988526.000000,19290867350.000000,364968152945.000000,,4991342998.000000,,7242470592.000000,8034233302.000000,373529420.000000,20641576312.000000,385609729257.000000,,,266856403170.000000,114805892980.000000,,130794471957.000000,7202002858.000000,137996474815.000000,,,,,1285214378.000000,2663538202.000000,,,,60902344.000000,,60902344.000000,10044380451.000000,266856403170.000000,14128439168.000000,,,,55912168.000000,,55912168.000000,,14072527000.000000,14128439168.000000,280984842338.000000,,72800000000.000000,-450725142.000000,32275612061.000000,,,32275612061.000000,,,104624886919.000000,385609729257.000000,728000000.000000
12M 2013,,,18678708259.000000,206787553738.000000,2992121838.000000,,,2992121838.000000,191381690298.000000,31298699070.000000,451138773203.000000,,5674356631.000000,,8292139846.000000,6193846030.000000,378369420.000000,20538711927.000000,471677485130.000000,,,340302713738.000000,162065985796.000000,,151984039190.000000,7101844965.000000,159085884155.000000,335351584.000000,,,335351584.000000,818932162.000000,3367597130.000000,,,,55907586.000000,,55907586.000000,14573055325.000000,340302713738.000000,16502595000.000000,,,,,,,,16502595000.000000,16502595000.000000,356805308738.000000,,72800000000.000000,-450725142.000000,42522901534.000000,,,42522901534.000000,,,114872176392.000000,471677485130.000000,728000000.000000
12M 2014,,,63419945590.000000,216865465025.000000,4184319875.000000,,,4184319875.000000,193057985201.000000,27280666634.000000,504808382325.000000,,6521787454.000000,,11144160889.000000,4353458758.000000,3163912733.000000,25183319834.000000,529991702159.000000,,,387957625696.000000,216198148527.000000,,136480116023.000000,13867125263.000000,150347241286.000000,251672158.000000,,,251672158.000000,220781378.000000,4235457934.000000,,,301743084.000000,,,301743084.000000,16402581329.000000,387957625696.000000,20245183814.000000,,,680496814.000000,,,680496814.000000,,19564687000.000000,20245183814.000000,408202809510.000000,,72800000000.000000,-450725142.000000,49439617791.000000,,,49439617791.000000,,,121788892649.000000,529991702159.000000,728000000.000000
12M 2015,,,34007048230.000000,270537010775.000000,5870375348.000000,,,5870375348.000000,248972919120.000000,48540712075.000000,607928065548.000000,,7523294727.000000,,10420550802.000000,2513071486.000000,4832349953.000000,25289266968.000000,633217332516.000000,,,477434634213.000000,258469532631.000000,,184713136862.000000,11135101622.000000,195848238484.000000,353325608.000000,,,353325608.000000,390901596.000000,3865415141.000000,,,335002349.000000,,,335002349.000000,18172218404.000000,477434634213.000000,21467901699.000000,,,360272699.000000,,,360272699.000000,,21107629000.000000,21467901699.000000,498902535912.000000,,72800000000.000000,-450725142.000000,61965521746.000000,,,61965521746.000000,,,134314796604.000000,633217332516.000000,728000000.000000
12M 2016,,,33560193646.000000,303977024467.000000,8420440288.000000,,,8420440288.000000,279786148562.000000,77910317762.000000,703654124725.000000,,6517669273.000000,,15434970281.000000,672684214.000000,7164023683.000000,29789347451.000000,733443472176.000000,,,568066597090.000000,295833358635.000000,,232882307037.000000,14985422209.000000,247867729246.000000,1060323945.000000,,,1060323945.000000,221722891.000000,3730138711.000000,,,348622789.000000,,,348622789.000000,19004700873.000000,568066597090.000000,22100567910.000000,,,11649910.000000,,,11649910.000000,,22088918000.000000,22100567910.000000,590167165000.000000,,72800000000.000000,-450725142.000000,70927032318.000000,728000000.000000,70199032318.000000,70927032318.000000,,,143276307176.000000,733443472176.000000,728000000.000000
12M 2017,,,56461801574.000000,347986317298.000000,3352370130.000000,,,3352370130.000000,321291248171.000000,112737586700.000000,841829323873.000000,,7371625837.000000,,18197201146.000000,67197666.000000,70539907960.000000,96175932609.000000,938005256482.000000,,,699571400717.000000,344466556660.000000,,304052425747.000000,12224748018.000000,316277173765.000000,4554462224.000000,,,4554462224.000000,280257730.000000,8824759531.000000,,,8282727.000000,,,8282727.000000,25159908080.000000,699571400717.000000,25819167000.000000,,,,,,,,25819167000.000000,25819167000.000000,725390567717.000000,,127400000000.000000,2309683922.000000,82905004843.000000,1274000000.000000,81631004843.000000,82905004843.000000,,,212614688765.000000,938005256482.000000,1274000000.000000
