Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,4353189838121.000000,-3833040439648.000000,520149398473.000000,-400366441081.000000,-294727200327.000000,-103360032315.000000,-2279208439.000000,-400366441081.000000,119782957392.000000,24597887377.000000,3970038547.000000,-49523837495.000000,73649537053.000000,-1188382647.000000,-2309468081.000000,24597887377.000000,144380844769.000000,-28698852605.000000,,,,-28698852605.000000,115681992164.000000,-4960054760.000000,110721937404.000000,,,,,110721937404.000000,115681992164.000000,-4960054760.000000,110721937404.000000,,,,
12M 2009,4788473659385.000000,-4322546993180.000000,465926666205.000000,-376872828776.000000,-283386143077.000000,-95508119164.000000,2021433465.000000,-376872828776.000000,89053837429.000000,-17231850952.000000,3539697350.000000,-47771271362.000000,3774095595.000000,-248608433.000000,23474235898.000000,-17231850952.000000,71821986477.000000,-18819560459.000000,,,,-18819560459.000000,53002426018.000000,-3409870028.000000,49592555990.000000,,,,,49592555990.000000,53002426018.000000,-3409870028.000000,49592555990.000000,,,,
12M 2010,5561513752435.000000,-5018228464657.000000,543285287778.000000,-404592907704.000000,-303288458439.000000,-103591192250.000000,2286742985.000000,-404592907704.000000,138692380074.000000,5518767078.000000,1955866070.000000,-34235953771.000000,2014617466.000000,-270130423.000000,36054367736.000000,5518767078.000000,144211147152.000000,-35553428513.000000,,,,-35553428513.000000,108657718639.000000,-6154499735.000000,102503218904.000000,,,,,102503218904.000000,108657718639.000000,-6154499735.000000,102503218904.000000,,,,
12M 2011,6472677803652.000000,-5837786320720.000000,634891482932.000000,-447812922374.000000,-338434231117.000000,-118083349752.000000,8704658495.000000,-447812922374.000000,187078560558.000000,-38006205099.000000,2322083845.000000,-53179264729.000000,1210269014.000000,501160927.000000,11139545844.000000,-38006205099.000000,149072355459.000000,-40577226751.000000,,,,-40577226751.000000,108495128708.000000,,108495128708.000000,,,,108495128708.000000,108495128708.000000,103232118919.000000,5263009789.000000,108495128708.000000,108495128708.000000,103232118919.000000,5263009789.000000,108495128708.000000
12M 2012,7498944990526.000000,-6765268365255.000000,733676625271.000000,-524219133889.000000,-399727238557.000000,-133892752841.000000,9400857509.000000,-524219133889.000000,209457491382.000000,-46997820246.000000,2121614801.000000,-59515317257.000000,,,10395882210.000000,-46997820246.000000,162459671136.000000,-44787977928.000000,,,,-44787977928.000000,117671693208.000000,,117671693208.000000,,,,117671693208.000000,117671693208.000000,112413524565.000000,5258168643.000000,117671693208.000000,117671693208.000000,112413524565.000000,5258168643.000000,117671693208.000000
12M 2013,8198125734406.000000,-7327111072766.000000,871014661640.000000,-624164988475.000000,-437124896502.000000,-155514114043.000000,-31525977930.000000,-624164988475.000000,246849673165.000000,-50376957568.000000,2136903270.000000,-65005438029.000000,,,12491577191.000000,-50376957568.000000,196472715597.000000,-62608768156.000000,,,,-62608768156.000000,133863947441.000000,,133863947441.000000,,,,133863947441.000000,133863947441.000000,129759577471.000000,4104369970.000000,133863947441.000000,133863947441.000000,129759577471.000000,4104369970.000000,133863947441.000000
12M 2014,9463005564156.000000,-8494622085818.000000,968383478338.000000,-670239367403.000000,-514951319977.000000,-161299440317.000000,6011392891.000000,-670239367403.000000,298144110935.000000,-72402349726.000000,3920303351.000000,-88152501751.000000,,,11829848674.000000,-72402349726.000000,225741761209.000000,-60532750131.000000,,,,-60532750131.000000,165209011078.000000,,165209011078.000000,,,,165209011078.000000,165209011078.000000,161329225681.000000,3879785397.000000,165209011078.000000,165209011078.000000,161329225681.000000,3879785397.000000,165209011078.000000
12M 2015,9526866332670.000000,-8442011377784.000000,1084854954886.000000,-743261241581.000000,-559456751565.000000,-185302612132.000000,1498122116.000000,-743261241581.000000,341593713305.000000,-73177304952.000000,2094428378.000000,-91778236806.000000,,,16506503476.000000,-73177304952.000000,268416408353.000000,-72366795879.000000,,,,-72366795879.000000,196049612474.000000,,196049612474.000000,8685993750.000000,8685993750.000000,8685993750.000000,204735606224.000000,196049612474.000000,184289432733.000000,11760179741.000000,196049612474.000000,204735606224.000000,193090637921.000000,11644968303.000000,204735606224.000000
12M 2016,9614723240597.000000,-8555714069880.000000,1059009170717.000000,-756613444096.000000,-560522560322.000000,-192188453523.000000,-3902430251.000000,-756613444096.000000,302395726621.000000,-54400819870.000000,1018617987.000000,-66237124914.000000,,,10817687057.000000,-54400819870.000000,247994906751.000000,-36841887576.000000,,,,-36841887576.000000,211153019175.000000,,211153019175.000000,-481305750.000000,-481305750.000000,-481305750.000000,210671713425.000000,211153019175.000000,199404391839.000000,11748627336.000000,211153019175.000000,210671713425.000000,199241056277.000000,11430657148.000000,210671713425.000000
12M 2017,10046979338664.000000,-8927678577375.000000,1119300761289.000000,-774665199899.000000,-618900265056.000000,-184088812869.000000,28323878026.000000,-774665199899.000000,344635561390.000000,-17858796679.000000,3099121760.000000,-27543073657.000000,,,6585155218.000000,-17858796679.000000,326776764711.000000,-71825201774.000000,,,,-71825201774.000000,254951562937.000000,,254951562937.000000,-4086201000.000000,,-4086201000.000000,250865361937.000000,254951562937.000000,244422782917.000000,10528780020.000000,254951562937.000000,250865361937.000000,240268080672.000000,10597281265.000000,250865361937.000000
12M 2018,12940108219350.000000,-11524839503101.000000,1415268716249.000000,-969941512446.000000,-791086675772.000000,-190832440112.000000,11977603438.000000,-969941512446.000000,445327203803.000000,-16192226853.000000,10544952263.000000,-32111852599.000000,,,5374673483.000000,-16192226853.000000,429134976950.000000,-110527921455.000000,,,,-110527921455.000000,318607055495.000000,,318607055495.000000,8433365250.000000,,8433365250.000000,327040420745.000000,318607055495.000000,309752974094.000000,8854081401.000000,318607055495.000000,327040420745.000000,316698538571.000000,10341882174.000000,327040420745.000000
