Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.64,412.47,0.65,405.92,461 B,0 B,461 B,434 B,389 B
12M 2009,0.80,426.46,0.81,419.56,405 B,0 B,406 B,363 B,425 B
12M 2010,1.36,499.06,1.38,493.03,467 B,,467 B,377 B,492 B
12M 2011,1.96,560.46,1.98,555.90,688 B,,688 B,581 B,543 B
12M 2012,2.83,619.35,2.85,614.56,782 B,4 B,786 B,692 B,606 B
12M 2013,4.36,687.62,4.39,684.11,794 B,4 B,798 B,729 B,696 B
12M 2014,3.68,787.77,3.70,783.99,743 B,4 B,746 B,709 B,811 B
12M 2015,3.04,906.00,3.14,875.65,747 B,15 B,761 B,733 B,906 B
12M 2016,3.23,1016.42,3.30,992.44,535 B,13 B,547 B,519 B,"1,043 B"
12M 2017,2.24,1163.01,2.27,1146.20,89 B,11 B,100 B,38 B,"1,203 B"
12M 2018,2.49,1347.81,2.50,1338.03,433 B,6 B,439 B,189 B,"1,365 B"
12M 2019,3.20,1515.51,3.25,1490.67,25 B,17 B,42 B,(574 B),"1,480 B"
12M 2020,4.18,1740.52,4.23,1719.33,,,,"(1,052 B)","1,661 B"
12M 2021,3.65,1916.80,3.68,1899.78,,,,(326 B),"1,752 B"
12M 2022,3.31,2147.94,3.33,2130.37,20 B,,20 B,(560 B),"1,910 B"
12M 2023,2.83,2277.69,2.85,2265.87,4 B,61 B,66 B,(980 B),"1,870 B"
12M 2024,2.48,2418.99,2.55,2354.56,25 B,94 B,119 B,(694 B),"1,998 B"
