Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,1.50 B,17.55,0.00,0.00,56.18 B,9.62%,13.95%,51.77%,7.04
12M 2020,1.88 B,2.82,202.13,13.45,23.07 B,1.54%,2.12%,7.17%,2.30
12M 2021,1.88 B,0.78,125.64,6.75,15.65 B,0.41%,0.59%,3.41%,1.30
12M 2022,1.88 B,-0.85,-58.82,3.97,13.08 B,-0.43%,-0.64%,2.36%,0.76
