Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,153337495036.000000,-97163614202.000000,56173880834.000000,-7135769655.000000,-7135769655.000000,-7135769655.000000,49038111179.000000,-12072465763.000000,702257.000000,,-6963187557.000000,-5109980463.000000,-12072465763.000000,36965645416.000000,-10634199950.000000,-10671476305.000000,37276355.000000,-10634199950.000000,26331445466.000000,104152207.000000,26435597673.000000,26331445466.000000,26331445466.000000,,26331445466.000000,26435597673.000000,26435597673.000000,,26435597673.000000
12M 2020,79469675234.000000,-54330355626.000000,25139319608.000000,-9376819392.000000,-9376819392.000000,-9376819392.000000,15762500216.000000,-8400165180.000000,393525.000000,-18331668.000000,-6852174736.000000,-1530052301.000000,-8400165180.000000,7362335036.000000,-2076182667.000000,-2247194974.000000,171012307.000000,-2076182667.000000,5286152369.000000,17026059.000000,5303178428.000000,5286152369.000000,5286152369.000000,,5286152369.000000,5303178428.000000,5303178428.000000,,5303178428.000000
12M 2021,27224582215.000000,-11979513529.000000,15245068686.000000,-6681609442.000000,-6681609442.000000,-6681609442.000000,8563459244.000000,-6544373697.000000,53962.000000,,-6606315378.000000,61887719.000000,-6544373697.000000,2019085547.000000,-548594466.000000,-505677260.000000,-42917206.000000,-548594466.000000,1470491081.000000,85101934.000000,1555593015.000000,1470491082.000000,1470491082.000000,,1470491082.000000,1555593016.000000,1555593016.000000,,1555593016.000000
12M 2022,23624767020.000000,-12279513891.000000,11345253129.000000,-5427255068.000000,-5427255068.000000,-5427255068.000000,5917998061.000000,-7774979336.000000,5771100.000000,,-7759498878.000000,-21251558.000000,-7774979336.000000,-1856981275.000000,269546166.000000,,269546166.000000,269546166.000000,-1587435109.000000,377262647.000000,-1210172462.000000,-1587435109.000000,-1587435109.000000,,-1587435109.000000,-1210172462.000000,-1210172462.000000,,-1210172462.000000
