Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2019,(32 B),(3 B),(35 B),-23.03
12M 2020,(29 B),(29 B),(58 B),-30.77
12M 2021,(0 B),,(0 B),-0.11
12M 2022,0 B,(0 B),0 B,0.01
