Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Kepada Karyawan,Penerimaan Kas Dari Pengembalian Uang Muka,Penerimaan Dari Penghasilan Komprehensif Lain,Penerimaan (Pembayaran) Pajak,Penerimaan Kas Dari Uang Muka Penjualan Kendaraan,Uang Muka Penjualan Aktiva Tetap,Pembayaran Beban Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Penerimaan Pengembalian Uang Muka Perolehan Aset Tetap,Pembayaran Uang Muka Pelepasan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Lain-Lain - Pihak Ketiga,Pembayaran Biaya Yang Masih Harus Dibayar,Penerimaan Dari Penawaran Umum Perdana,Pembayaran Biaya Emisi Saham,Pembayaran Utang Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2019,-31644548593.000000,138172772708.000000,-134960033451.000000,-9004718776.000000,,,-18890083774.000000,,,-6962485300.000000,-31644548593.000000,15647597227.000000,-63885736.000000,,18554377481.000000,,-2842894518.000000,15647597227.000000,12307354802.000000,41500000000.000000,-564648422.000000,-5443350000.000000,,,-23184646776.000000,12307354802.000000,-3689596564.000000,4142804243.000000,,453207679.000000
12M 2020,-29101956240.000000,91004637135.000000,-107968941772.000000,-9589075360.000000,,,4303204967.000000,,,-6851781210.000000,-29101956240.000000,-28570000000.000000,,30000000.000000,,,-28600000000.000000,-28570000000.000000,57465814782.000000,140854421823.000000,,,60000000000.000000,-4760513000.000000,-138628094041.000000,57465814782.000000,-206141458.000000,453207679.000000,,247066221.000000
12M 2021,-197572879.000000,30087137086.000000,-27314040252.000000,-4533378292.000000,,,3178839520.000000,,,-1616130941.000000,-197572879.000000,,,,,,,,2540422.000000,2540422.000000,,,,,,2540422.000000,-195032457.000000,247066221.000000,,52033764.000000
12M 2022,452446126.000000,20684333896.000000,-47164089511.000000,-2895518611.000000,28593720082.000000,,1240137662.000000,,,-6137392.000000,452446126.000000,-428893708.000000,-428893708.000000,,,,,-428893708.000000,,,,,,,,,23552418.000000,52033764.000000,,75586182.000000
