Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Pajak Tangguhan,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Others,Total Saldo Laba,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,453207679.000000,21403281124.000000,21403281124.000000,,21403281124.000000,,61021359549.000000,34488100457.000000,117365948809.000000,,156187591112.000000,187589069.000000,156375180181.000000,273741128990.000000,,,84280420898.000000,,2968329764.000000,2968329764.000000,11540959337.000000,,,69771131797.000000,69771131797.000000,,84280420898.000000,750356276.000000,,,,750356276.000000,750356276.000000,85030777174.000000,,150000000000.000000,2450000000.000000,36260351816.000000,,,,36260351816.000000,188710351816.000000,273741128990.000000,1500000000.000000
12M 2020,,,247066221.000000,9868319223.000000,9868319223.000000,,9868319223.000000,,108856965856.000000,76069626458.000000,195041977758.000000,,148833132263.000000,353799154.000000,149186931417.000000,344228909175.000000,,,94106589278.000000,,2440095342.000000,2440095342.000000,19616609357.000000,52425000.000000,,71997459579.000000,71997459579.000000,,94106589278.000000,869302653.000000,,,,869302653.000000,869302653.000000,94975891931.000000,,187500000000.000000,20189487000.000000,41563530244.000000,20000000.000000,41543530244.000000,,41563530244.000000,249253017244.000000,344228909175.000000,1875000000.000000
12M 2021,,,52033764.000000,7005764352.000000,7005764352.000000,,7005764352.000000,,159824365343.000000,45925510798.000000,212807674257.000000,,141750483317.000000,310881949.000000,142061365266.000000,354869039523.000000,,,103283883509.000000,,2355294564.000000,2355294564.000000,22495441485.000000,5554647460.000000,,72000000000.000000,72000000000.000000,878500000.000000,103283883509.000000,776545754.000000,,,,776545754.000000,776545754.000000,104060429263.000000,,187500000000.000000,20189487000.000000,43119123260.000000,20000000.000000,43099123260.000000,,43119123260.000000,250808610260.000000,354869039523.000000,1875000000.000000
12M 2022,,,75586182.000000,9946197476.000000,9946197476.000000,,9946197476.000000,,202331354823.000000,17940069581.000000,230293208062.000000,,135013492335.000000,502791929.000000,135516284264.000000,365809492326.000000,,,115781727678.000000,,5049449746.000000,5049449746.000000,24135015484.000000,13718762448.000000,,72000000000.000000,72000000000.000000,878500000.000000,115781727678.000000,429326849.000000,,,,429326849.000000,429326849.000000,116211054527.000000,,187500000000.000000,20189487000.000000,41908950800.000000,20000000.000000,41613695237.000000,275255563.000000,41908950800.000000,249598437800.000000,365809492327.000000,1875000000.000000
