Period,Arus Kas Dari Aktivitas Operasi,Bunga Giro Dan Deposito,Penerimaan Uang Muka Penjualan,Penerimaan Dari Pelanggan,Penerimaan Dari Bunga,Penerimaan Dari Pemasok,Penerimaan (Pembayaran) Jaminan,Pembayaran Kepada Pemasok Dan Karyawan,Penerimaan (Pembayaran) Pajak,Penerimaan Lainnya,Pembayaran Bunga Pinjaman,Pembayaran Iuran Eksplorasi,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pelepasan Tanah Garapan,Perolehan Aset Tetap,Penambahan Biaya Eksplorasi Dan Pengembangan,Penempatan Jaminan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman,Pembayaran Pinjaman,Penerimaan Uang Muka Penjualan,Pembayaran Dividen,Penerimaan (Pembayaan) Pihak Berelasi,Penerimaan (Pembayaan) Hutang Pihak Berelasi,Penerimaan Hutang Jangka Panjang,Penerimaan Dari Penawaran Umum Terbatas I,Pengeluaran Dari Penawaran Umum Terbatas I,Setoran Modal,Arus Kas Bersih Yang Diperoleh Dari Aktivitas Pendanaan,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,-1129305180.000000,110012595.000000,,2583916089.000000,,,,-2806125399.000000,-640443366.000000,,-114322204.000000,-262342895.000000,-1129305180.000000,-9239228225.000000,-8830000000.000000,-391069225.000000,,-18159000.000000,-9239228225.000000,11406860584.000000,,,,,300000000.000000,256860584.000000,,,,10850000000.000000,,11406860584.000000,,1038327179.000000,60374805.000000,1098701984.000000
12M 2009,66632338557.000000,321545685.000000,,,,,188000000000.000000,-101945148850.000000,-19691955140.000000,,-52103138.000000,,66632338557.000000,-241429212645.000000,-45327576374.000000,-196045836271.000000,,-55800000.000000,-241429212645.000000,207622672355.000000,,,,,-901907481.000000,-171045274.000000,,210996825000.000000,-2301199890.000000,,,207622672355.000000,,32825798267.000000,1098701984.000000,33924500251.000000
12M 2010,15311494051.000000,,,35357164409.000000,3326911.000000,,-5100726356.000000,-14670314810.000000,-277956103.000000,,,,15311494051.000000,-30348172059.000000,,-4157280584.000000,-26243300635.000000,52409160.000000,-30348172059.000000,117405065.000000,,,,,117405065.000000,,,,,,,117405065.000000,,-14919272943.000000,33924500251.000000,19005227308.000000
12M 2011,214073415755.000000,,,260577851034.000000,15995832.000000,,2197790768.000000,-51660635343.000000,2942413464.000000,,,,214073415755.000000,-116126607529.000000,,-32343065797.000000,-3284513000.000000,-80499028732.000000,-116126607529.000000,784502416.000000,,,,,784502416.000000,,,,,,,784502416.000000,,98731310642.000000,19005227308.000000,117736537950.000000
12M 2012,1251979500080.000000,,,1566831629042.000000,42182396.000000,,-3118941099.000000,-252607813925.000000,-59167556334.000000,,,,1251979500080.000000,-186355255658.000000,,-85512655658.000000,-1094600000.000000,-99748000000.000000,-186355255658.000000,21000000000.000000,,,,,21000000000.000000,,,,,,,21000000000.000000,,1086624244422.000000,117736537951.000000,1204360782373.000000
12M 2013,-76154888.000000,,,24615655.000000,573479.000000,,-539966.000000,-96369895.000000,-4434161.000000,,,,-76154888.000000,-47641143.000000,,-5141143.000000,,-42500000.000000,-47641143.000000,,,,,,,,,,,,,,,-123796031.000000,124546100.000000,750069.000000
12M 2014,4760836.000000,,,30729461.000000,91539.000000,,-211153.000000,-25073889.000000,-775122.000000,,,,4760836.000000,-2707411.000000,,-2415475.000000,-291936.000000,,-2707411.000000,-1104187.000000,,,,,-1104187.000000,,,,,,,-1104187.000000,,949238.000000,750069.000000,1699307.000000
12M 2015,-438008.000000,,,4961811.000000,200448.000000,,,-5613824.000000,13557.000000,,,,-438008.000000,-1241664.000000,,8336.000000,,-1250000.000000,-1241664.000000,40193.000000,,,,,40193.000000,,,,,,,40193.000000,,-1639479.000000,1699307.000000,59828.000000
12M 2016,-2458119.000000,,,251000.000000,75341.000000,,,-2777573.000000,-6887.000000,,,,-2458119.000000,2031808.000000,,2031808.000000,,,2031808.000000,570000.000000,,,,,570000.000000,,,,,,,570000.000000,,143689.000000,59827.000000,203516.000000
12M 2017,3024079.000000,,,9314108.000000,,,855000.000000,-7145029.000000,,,,,3024079.000000,-2842845.000000,,,-2842845.000000,,-2842845.000000,-191010.000000,,,,,-191010.000000,,,,,,,-191010.000000,,-9776.000000,203516.000000,193740.000000
12M 2018,39704.000000,,,33026103.000000,25493.000000,,,-33011892.000000,,,,,39704.000000,,,,,,,,,,,,,,,,,,,,,39704.000000,193740.000000,233444.000000
12M 2019,2637474.000000,,,18740082.000000,542.000000,,,-16103150.000000,,,,,2637474.000000,-2799859.000000,,,-2799859.000000,,-2799859.000000,,,,,,,,,,,,,,,-162385.000000,233444.000000,71059.000000
12M 2020,-857548.000000,,,,68716.000000,,,-926264.000000,,,,,-857548.000000,900434.000000,,,-599565.000000,1499999.000000,900434.000000,,,,,,,,,,,,,,,42886.000000,71060.000000,113946.000000
12M 2021,991267.000000,,,4117385.000000,,,,-3126118.000000,,,,,991267.000000,-15323.000000,,-15323.000000,,,-15323.000000,-11607.000000,,,,,,-11607.000000,,,,,,-11607.000000,,964337.000000,113947.000000,1078284.000000
12M 2022,2715025.000000,,,49267169.000000,,,,-36158690.000000,-637180.000000,,,-9756274.000000,2715025.000000,-514699.000000,,-514699.000000,,,-514699.000000,-3185182.000000,,,,,-3185182.000000,,,,,,,-3185182.000000,,-984856.000000,1078284.000000,93428.000000
