Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,2583916089.000000,-4333103978.000000,-1749187889.000000,-1804828139.000000,-1804828139.000000,-1804828139.000000,-3554016028.000000,-2905207986.000000,7881547.000000,-2913089533.000000,-2905207986.000000,-6459224014.000000,1621185437.000000,,1621185437.000000,1621185437.000000,-4838038577.000000,,,-4838038577.000000,-4838038577.000000,,-4838038577.000000,,,,
12M 2009,,,,-7735947208.000000,-7735947208.000000,-7735947208.000000,-7735947208.000000,-4789150804.000000,-5600311888.000000,811161084.000000,-4789150804.000000,-12525098012.000000,3203687660.000000,,3203687660.000000,3203687660.000000,-9321410352.000000,,,-9321410352.000000,-9321410352.000000,,-9321410352.000000,,,,
12M 2010,25636407112.000000,-20949694009.000000,4686713103.000000,-6576133230.000000,-6576133230.000000,-6576133230.000000,-1889420127.000000,2945393715.000000,3206733028.000000,-261339313.000000,2945393715.000000,1055973588.000000,-216136198.000000,,-216136198.000000,-216136198.000000,839837390.000000,,,839837390.000000,839837390.000000,,839837390.000000,,,,
12M 2011,319701408172.000000,-170889042543.000000,148812365629.000000,-15845538974.000000,-15845538974.000000,-15845538974.000000,132966826655.000000,-37379098267.000000,4267061234.000000,-41646159501.000000,-37379098267.000000,95587728388.000000,-21720836380.000000,-9225273800.000000,-12495562580.000000,-21720836380.000000,73866892008.000000,,73866892008.000000,73866892008.000000,73866892008.000000,,73866892008.000000,73866892008.000000,73866892008.000000,,73866892008.000000
12M 2012,804408498927.000000,-327604764658.000000,476803734269.000000,-34997454065.000000,-34997454065.000000,-34997454065.000000,441806280204.000000,735864797393.000000,24673728978.000000,711191068415.000000,735864797393.000000,1177671077597.000000,-235765414352.000000,-231725439600.000000,-4039974752.000000,-235765414352.000000,941905663245.000000,,941905663245.000000,941905663245.000000,941905663245.000000,,941905663245.000000,941905663245.000000,941905663245.000000,,941905663245.000000
12M 2013,28211599.000000,-26600606.000000,1610993.000000,-6836805.000000,-6836805.000000,-6836805.000000,-5225812.000000,224322.000000,-344857.000000,569179.000000,224322.000000,-5001490.000000,-959708.000000,-652962.000000,-306746.000000,-959708.000000,-5961198.000000,,-5961198.000000,-5961198.000000,-5961198.000000,,-5961198.000000,-5961198.000000,-5961198.000000,,-5961198.000000
12M 2014,29813602.000000,-33068444.000000,-3254842.000000,-2745715.000000,-2745715.000000,-2745715.000000,-6000557.000000,317103.000000,240666.000000,76437.000000,317103.000000,-5683454.000000,1073421.000000,453439.000000,619982.000000,1073421.000000,-4610033.000000,,-4610033.000000,-4610033.000000,-4610033.000000,,-4610033.000000,-4610033.000000,-4610033.000000,,-4610033.000000
12M 2015,1459552.000000,-18579731.000000,-17120179.000000,-1327897.000000,-1327897.000000,-1327897.000000,-18448076.000000,-1605352.000000,-834452.000000,-770900.000000,-1605352.000000,-20053428.000000,4010686.000000,,4010686.000000,4010686.000000,-16042742.000000,-1659.000000,-16044401.000000,-16042742.000000,-16042742.000000,,-16042742.000000,-16044401.000000,-16044401.000000,,-16044401.000000
12M 2016,251000.000000,-360611.000000,-109611.000000,-505254.000000,-505254.000000,-505254.000000,-614865.000000,-6145115.000000,-492288.000000,-5652827.000000,-6145115.000000,-6759980.000000,1559512.000000,,1559512.000000,1559512.000000,-5200468.000000,-12725.000000,-5213193.000000,-5200468.000000,-5200468.000000,,-5200468.000000,-5213193.000000,-5213193.000000,,-5213193.000000
12M 2017,9314108.000000,-8337581.000000,976527.000000,-1076464.000000,-1076464.000000,-1076464.000000,-99937.000000,141735.000000,171395.000000,-29660.000000,141735.000000,41798.000000,-8359.000000,,-8359.000000,-8359.000000,33439.000000,175.000000,33614.000000,33439.000000,33439.000000,,33439.000000,33614.000000,33614.000000,,33614.000000
12M 2018,33886859.000000,-23702565.000000,10184294.000000,-4502029.000000,-4502029.000000,-4502029.000000,5682265.000000,-3378481.000000,272232.000000,-3650713.000000,-3378481.000000,2303784.000000,18596.000000,,18596.000000,18596.000000,2322380.000000,-61911.000000,2260469.000000,2322380.000000,2322380.000000,,2322380.000000,2260469.000000,2260469.000000,,2260469.000000
12M 2019,16334616.000000,-18308184.000000,-1973568.000000,-1006229.000000,-1006229.000000,-1006229.000000,-2979797.000000,-1055625.000000,-324369.000000,-731256.000000,-1055625.000000,-4035422.000000,20500.000000,,20500.000000,20500.000000,-4014922.000000,132415.000000,-3882507.000000,-4014922.000000,-4014922.000000,,-4014922.000000,-3882507.000000,-3882507.000000,,-3882507.000000
12M 2020,,-503811.000000,-503811.000000,-765644.000000,-765644.000000,-765644.000000,-1269455.000000,35831.000000,33626.000000,2205.000000,35831.000000,-1233624.000000,22668.000000,,22668.000000,22668.000000,-1210956.000000,6744.000000,-1204212.000000,-1210956.000000,-1210956.000000,,-1210956.000000,-1204212.000000,-1204212.000000,,-1204212.000000
12M 2021,4117385.000000,-2824062.000000,1293323.000000,-786067.000000,-786067.000000,-786067.000000,507256.000000,-721339.000000,11916.000000,-733255.000000,-721339.000000,-214083.000000,,,,,-214083.000000,22107.000000,-191976.000000,-214083.000000,-214083.000000,,-214083.000000,-191976.000000,-191976.000000,,-191976.000000
12M 2022,49267169.000000,-22058316.000000,27208853.000000,-16333318.000000,-16333318.000000,-16333318.000000,10875535.000000,-3227670.000000,295292.000000,-3522962.000000,-3227670.000000,7647865.000000,-148697.000000,-148697.000000,,-148697.000000,7499168.000000,-41071.000000,7458097.000000,7499168.000000,7499168.000000,,7499168.000000,7458097.000000,7458097.000000,,7458097.000000
12M 2023,58797005.000000,-33404050.000000,25392955.000000,-19246335.000000,-19246335.000000,-19246335.000000,6146620.000000,-661014.000000,-201030.000000,-459984.000000,-661014.000000,5485606.000000,-1333356.000000,-1343476.000000,10120.000000,-1333356.000000,4152250.000000,59986.000000,4212236.000000,4152250.000000,4152250.000000,,4152250.000000,4212236.000000,4212236.000000,,4212236.000000
12M 2024,27251542.000000,-20505601.000000,6745941.000000,-9728746.000000,-9728746.000000,-9728746.000000,-2982805.000000,-230872.000000,-132354.000000,-98518.000000,-230872.000000,-3213677.000000,,,,,-3213677.000000,-28300.000000,-3241977.000000,-3213677.000000,-3213677.000000,,-3213677.000000,-3241977.000000,-3241977.000000,,-3241977.000000
