Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Aset Tetap,Pinjaman Investasi,Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Pinjaman Jangka Pendek,Pihak Berelasi,Total Pinjaman Jangka Pendek,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Pinjaman Jangka Panjang,Utang Jangka Panjang Dari Pihak Berelasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,1098701984.000000,,,,289954834.000000,1388656818.000000,,,2473900799.000000,39079355318.000000,,11620097261.000000,1314607000.000000,54487960378.000000,55876617196.000000,,,1323186429.000000,67592000.000000,,67592000.000000,,,,587710892.000000,667883537.000000,,1323186429.000000,4814583796.000000,,3914546274.000000,,900037522.000000,4814583796.000000,6137770225.000000,,62781000000.000000,,-13042153029.000000,,49738846971.000000,55876617196.000000,125562.000000
12M 2009,,,33924500251.000000,,119026074.000000,10312155795.000000,113779193552.000000,158134875672.000000,,901907481.000000,5677588460.000000,225520557954.000000,,53632998848.000000,1370407000.000000,287103459743.000000,445238335415.000000,,,3792166172.000000,1823095499.000000,,1823095499.000000,,,,143840071.000000,1825230602.000000,,3792166172.000000,188589607514.000000,,,,188589607514.000000,188589607514.000000,192381773686.000000,,250000000000.000000,25220125110.000000,-22363563381.000000,,252856561729.000000,445238335415.000000,2500000000.000000
12M 2010,,,19005227308.000000,,,710424572.000000,128524491405.000000,148240143285.000000,,784502416.000000,5461452263.000000,208144220067.000000,,76269053465.000000,1317997840.000000,291977226051.000000,440217369336.000000,,,3018691882.000000,584971450.000000,,584971450.000000,,,,23628260.000000,2410092172.000000,,3018691882.000000,183502278335.000000,,,,183502278335.000000,183502278335.000000,186520970217.000000,,250000000000.000000,25220125110.000000,-21523725990.000000,,253696399120.000000,440217369337.000000,2500000000.000000
12M 2011,,,117736537951.000000,59123557138.000000,,17637592932.000000,11520087629.000000,206017775650.000000,,,,187826060718.000000,,67008373172.000000,3515788608.000000,258350222498.000000,464367998148.000000,,,26252189330.000000,2824365510.000000,,2824365510.000000,,,,9559855573.000000,13867968247.000000,,26252189330.000000,110552517690.000000,,,7034110317.000000,103518407373.000000,110552517690.000000,136804707020.000000,,250000000000.000000,25220125110.000000,52343166018.000000,,327563291128.000000,464367998148.000000,2500000000.000000
12M 2012,,,1204360782373.000000,7950427018.000000,,60865510524.000000,67979016951.000000,1341155736866.000000,,,,229082392999.000000,,55557779883.000000,6634729707.000000,291274902589.000000,1632430639455.000000,,,323232775866.000000,,15934533033.000000,15934533033.000000,,21000000000.000000,21000000000.000000,232729081289.000000,53569161544.000000,,323232775866.000000,39728909219.000000,,,11074085069.000000,28654824150.000000,39728909219.000000,362961685085.000000,,250000000000.000000,25220125110.000000,52343166017.000000,941905663244.000000,1269468954371.000000,1632430639456.000000,2500000000.000000
12M 2013,,,750069.000000,4418118.000000,,9155418.000000,43325312.000000,57648917.000000,,,,24771044.000000,,4815388.000000,1226081.000000,30812513.000000,88461430.000000,,,8778787.000000,,1327982.000000,1327982.000000,,2171665.000000,2171665.000000,722008.000000,4557132.000000,,8778787.000000,6494686.000000,,,1451946.000000,5042740.000000,6494686.000000,15273473.000000,,27805583.000000,2805041.000000,49081052.000000,-6503719.000000,73187957.000000,88461430.000000,2500000000.000000
12M 2014,,,1699307.000000,3502259.000000,,4941931.000000,1561309.000000,11704806.000000,,,,21311763.000000,42500000.000000,4050400.000000,1437234.000000,69299397.000000,81004203.000000,,,5825414.000000,,2684205.000000,2684205.000000,,,,46252.000000,3094957.000000,,5825414.000000,6600867.000000,,1067478.000000,571150.000000,4962239.000000,6600867.000000,12426281.000000,,27805583.000000,2805041.000000,42577333.000000,-4610034.000000,68577923.000000,81004204.000000,2500000000.000000
12M 2015,,,59827.000000,,,3313704.000000,453052.000000,3826583.000000,,,3542438.000000,4787028.000000,43750000.000000,3023116.000000,1230672.000000,56333254.000000,60159837.000000,,,2221231.000000,,1297324.000000,1297324.000000,,,,59809.000000,864098.000000,,2221231.000000,5315942.000000,,998864.000000,,4317078.000000,5315942.000000,7537173.000000,,27805583.000000,2805041.000000,38056441.000000,-16044401.000000,52622664.000000,60159837.000000,2500000000.000000
12M 2016,,,203516.000000,,,281145.000000,491014.000000,975675.000000,,,5104582.000000,1698266.000000,43750000.000000,2280602.000000,1297781.000000,54131231.000000,55106906.000000,,,1345625.000000,,1290909.000000,1290909.000000,,,,52922.000000,1794.000000,,1345625.000000,6346981.000000,,1630112.000000,,4716869.000000,6346981.000000,7692606.000000,,27805583.000000,2805041.000000,22018528.000000,-5214851.000000,47414301.000000,55106907.000000,2500000000.000000
12M 2017,,,193740.000000,,,2605871.000000,524814.000000,3324425.000000,,,5096223.000000,883546.000000,43750000.000000,5123447.000000,1287311.000000,56140527.000000,59464952.000000,,,5765980.000000,,4754588.000000,4754588.000000,,,,111450.000000,44942.000000,855000.000000,5765980.000000,6244780.000000,,1430338.000000,,4814442.000000,6244780.000000,12010760.000000,,27805583.000000,2805041.000000,16843392.000000,175.000000,47454191.000000,59464951.000000,2500000000.000000
