Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Pendapatan Bunga Dan Syariah,Pendapatan Provisi Dan Komisi,Penerimaan (Pembayaran) Dari Transaksi Perdagangan,Pendapatan Premi,Pendapatan (Beban) Operasional Lainnya - Bersih,Pembayaran Beban Bunga Dan Syariah,Penerimaan Kredit Yang Diberikan Yang Telah Dihapus,Penerimaan Dari Penjualan Kredit,Beban Provisi Dan Komisi,Beban Umum Dan Administrasi,Beban Gaji Dan Tunjangan,Penempatan Dana Pada Dplk Perusahaan Asuransi,Pendapatan (Beban) Lainnya,Pendapatan (Beban) Non-Operasional - Bersih,Pembayaran Imbalan Pasca-Kerja Selama Periode Berjalan,Keuntungan (Kerugian) Atas Transaksi Valuta Asing - Bersih,Kepentingan Non-Pengendali Atas Laba Bersih Entitas Anak,Penurunan (Kenaikan) Aset Operasi:,Penempatan Pada Bank Indonesia Dan Bank-Bank Lain,Tagihan Reverse Repo,Aset Keuangan Untuk Diperdagangkan,Obligasi Pemerintah - Diperdagangkan,Efek-Efek Yang Dibeli Dengan Janji Dijual Kembali,Efek-Efek Yang Dijual Dengan Janji Dibeli Kembali,Pajak Dibayar Dimuka,Kredit Yang Diberikan,Tagihan Akseptasi - Bersih,Tagihan Premi,Aset Lain-Lain,Total Penurunan (Kenaikan) Aset Operasi:,Kenaikan (Penurunan) Liabilitas Operasi:,Liabilitas Segera,Simpanan Dari Nasabah,Giro,Tabungan,Deposito Berjangka,Total Simpanan Dari Nasabah,Simpanan Dari Bank-Bank Lain,"Beban Masih Harus Dibayar, Provisi Dan Liabilitas Lain-Lain",Liabilitas Keuangan Untuk Diperdagangkan,Beban Masih Harus Dibayar,Liabilitas Lain-Lain,Provisi,"Total Beban Masih Harus Dibayar, Provisi Dan Liabilitas Lain-Lain",Total Kenaikan (Penurunan) Liabilitas Operasi:,Pembayaran Pajak Penghasilan,Penerimaan Kembali Pajak Yang Dibayarkan Dan Bunganya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,(Kenaikan) Penurunan Efek-Efek Untuk Tujuan Investasi,Pembelian Efek-Efek Untuk Tujuan Investasi,Penjualan Efek-Efek Untuk Tujuan Investasi,Total (Kenaikan) Penurunan Efek-Efek Untuk Tujuan Investasi,Penambahan Penyertaan Pada Entitas Asosiasi,Penerimaan Bunga Dari Efek-Efek Untuk Tujuan Investasi,Penerimaan Dari Divestasi Entitas Anak - Setelah Dikurangi Kas Yang Dilepas,Hasil Penjualan Aset Tetap - Bersih,Hasil Penjualan Aset Tidak Digunakan Dan Perangkat Lunak,Hasil Penjualan Entitas Anak,Hasil Penjualan Entitas Asosiasi,Penyertaan Saham Pada Kliring Penjaminan Efek Indonesia,Kenaikan (Penurunan) Kepentingan Non-Pengendali Atas Aset Bersih Entitas Anak,Penerimaan Dividen Kas Dari Penyertaan Saham,Perolehan Aset Tetap Dan Aset Tidak Berwujud,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Total Perolehan Aset Tetap Dan Aset Tidak Berwujud,Kas Bersih Dari Integrasi Bbi,Dividen Kas Yang Diterima,Pengembalian Kelebihan Harga Pembelian Entitas Anak - Bersih,Penjualan Saham Visa Dan Mastercard,"Akuisisi Entitas Anak, Setelah Dikurangi Kas Dan Setara Kas Yang Diakuisisi",Kenaikan (Penurunan) Obligasi Pemerintah Yang Tersedia Untuk Dijual - Bersih,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Pinjaman Yang Diterima,Kenaikan (Penurunan) Penempatan Oleh Bank-Bank Lain,Dividen Kas Yang Dibayarkan,Pelunasan Utang Obligasi,Pembayaran Utang Kepada Pemegang Saham,Penerimaan Dana Setoran Modal,Pembayaran Bunga Utang Subordinasi,Kas Yang Diterima Dari Utang Bank,Kas Yang Digunakan Untuk Pembayaran Utang Bank,Pembayaran Bunga Utang Bank,Pembelian Saham Treasuri,Hasil Emisi Bersih Dari Penawaran Umum Terbatas V,Hasil Emisi Bersih Dari Penawaran Umum Terbatas Iv,Hasil Emisi Bersih Dari Penawaran Umum Terbatas Vi,Hasil Emisi Bersih Dari Penawaran Umum Terbatas Vii,Hasil Emisi Bersih Dari Penawaran Umum Terbatas Ix,Beban Emisi Penawaran Umum Terbatas,Modal Dibayar Dimuka,Beban Emisi Utang Subordinasi Dan Penawaran Umum Terbatas,Pembayaran Utang Subordinasi,Hasil Emisi Dari Penerbitan Utang Subordinasi,Pembayaran Bunga Pinjaman Yang Diterima,Pembayaran Bunga Liabilitas Sewa,Pembayaran Liabilitas Sewa,Kenaikan Pada Utang Efek Yang Dijual Untuk Dibeli Kembali,Pembayaran Pinjaman Entitas Anak,Penambahan Pinjaman Entitas Anak,Pembayaran Pinjaman Penerusan,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,3717697000000.000000,4804635000000.000000,,,41331000000.000000,347191000000.000000,-2236203000000.000000,,,,,,,-1918056000000.000000,146901000000.000000,,-351436000000.000000,-8850000000.000000,,-1721783000000.000000,,332383000000.000000,469239000000.000000,14389000000.000000,,,-7964884000000.000000,-374655000000.000000,159000000.000000,-954288000000.000000,-10199440000000.000000,,1560001000000.000000,,1696830000000.000000,-288666000000.000000,11289138000000.000000,12697302000000.000000,-725081000000.000000,,,,-111395000000.000000,,-111395000000.000000,13420827000000.000000,-346234000000.000000,17031000000.000000,3717697000000.000000,-3021200000000.000000,-2429771000000.000000,,,-2429771000000.000000,,,,6127000000.000000,,,,,5156000000.000000,98000000.000000,,-102049000000.000000,,-102049000000.000000,,,,,,-500761000000.000000,-3021200000000.000000,-221623000000.000000,-193972000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,-27651000000.000000,-221623000000.000000,474874000000.000000,3537415000000.000000,,4012289000000.000000
12M 2009,-4632706000000.000000,6104025000000.000000,,,46526000000.000000,618808000000.000000,-3255305000000.000000,,,,,,,-1974762000000.000000,27454000000.000000,,578940000000.000000,-5922000000.000000,,-700647000000.000000,,-173324000000.000000,-51877000000.000000,2395000000.000000,,,-7166706000000.000000,21646000000.000000,-2025000000.000000,768215000000.000000,-7302323000000.000000,,-2243556000000.000000,,1561444000000.000000,2634048000000.000000,-1243703000000.000000,2951789000000.000000,74616000000.000000,,,,114680000000.000000,,114680000000.000000,897529000000.000000,-367676000000.000000,,-4632706000000.000000,3421260000000.000000,1286113000000.000000,,,1286113000000.000000,,,,22671000000.000000,,,,,2243000000.000000,53000000.000000,,-36080000000.000000,,-36080000000.000000,,,,,,2146260000000.000000,3421260000000.000000,850002000000.000000,-146845000000.000000,,,,,,,,,,,,,,,,,,,,1018458000000.000000,,,,,,,-21611000000.000000,850002000000.000000,-361444000000.000000,4012289000000.000000,,3650845000000.000000
12M 2010,4373608000000.000000,5728453000000.000000,,,38452000000.000000,918570000000.000000,-2782892000000.000000,,,,,,,-2269019000000.000000,80050000000.000000,72238000000.000000,172932000000.000000,-7410000000.000000,,-87131000000.000000,,-1603249000000.000000,-46664000000.000000,,,,-8933432000000.000000,-731036000000.000000,-2133000000.000000,171304000000.000000,-11232341000000.000000,,-4582000000.000000,,3092294000000.000000,3068962000000.000000,7503417000000.000000,13664673000000.000000,184969000000.000000,150975000000.000000,,,,,150975000000.000000,13996035000000.000000,-403153000000.000000,61693000000.000000,4373608000000.000000,-2660020000000.000000,-2099676000000.000000,,,-2099676000000.000000,,,,422078000000.000000,,2972000000.000000,,,-633000000.000000,16000000.000000,,-74068000000.000000,-247135000000.000000,-321203000000.000000,,,,39261000000.000000,-717514000000.000000,14679000000.000000,-2660020000000.000000,26879000000.000000,-2641193000000.000000,,,,,,,,,,,,1990971000000.000000,,,,,,,,698478000000.000000,,,,,,,-21377000000.000000,26879000000.000000,1740467000000.000000,11295819000000.000000,,13036286000000.000000
12M 2011,6117546000000.000000,7569283000000.000000,940746000000.000000,,,171168000000.000000,-3613801000000.000000,,,-4709000000.000000,-1218895000000.000000,-1329508000000.000000,,-77987000000.000000,-39377000000.000000,-117936000000.000000,,-2000000.000000,,-4179357000000.000000,,1367692000000.000000,,,,,-17184374000000.000000,281186000000.000000,26834000000.000000,-396128000000.000000,-20084147000000.000000,,187590000000.000000,,3110954000000.000000,4401441000000.000000,15738047000000.000000,23250442000000.000000,788789000000.000000,-28311000000.000000,,,,-31832000000.000000,-28311000000.000000,24198510000000.000000,-275799000000.000000,,6117546000000.000000,-5984802000000.000000,-5914912000000.000000,,,-5914912000000.000000,,,,38896000000.000000,,3367000000.000000,,,-66424000000.000000,,,-37038000000.000000,-23883000000.000000,-60921000000.000000,,,2923000000.000000,12269000000.000000,,,-5984802000000.000000,726376000000.000000,-77499000000.000000,-128796000000.000000,,,,,-306731000000.000000,,,,,,,,,,,,,-500000000000.000000,1739402000000.000000,,,,,,,,726376000000.000000,827288000000.000000,13036286000000.000000,,13863574000000.000000
12M 2012,3403807000000.000000,8740219000000.000000,917544000000.000000,,,71150000000.000000,-3972194000000.000000,178887000000.000000,,-26365000000.000000,-1417341000000.000000,-1788830000000.000000,,-149968000000.000000,4083000000.000000,-30612000000.000000,,,,4364438000000.000000,,392312000000.000000,,,,,-26167757000000.000000,63048000000.000000,,-533350000000.000000,-21881309000000.000000,,499542000000.000000,,3975340000000.000000,6135632000000.000000,11993479000000.000000,22104451000000.000000,674590000000.000000,,,19072000000.000000,-14444000000.000000,-10224000000.000000,-5596000000.000000,23272987000000.000000,-514444000000.000000,,3403807000000.000000,3294796000000.000000,,-7846241000000.000000,10935068000000.000000,3088827000000.000000,,330113000000.000000,,1008000000.000000,3778000000.000000,,,,,23000000.000000,,-108031000000.000000,-20922000000.000000,-128953000000.000000,,,,,,,3294796000000.000000,4107393000000.000000,,93000000.000000,,,,,-366647000000.000000,,,,,1995615000000.000000,,,,,,,-21668000000.000000,,2500000000000.000000,,,,,,,,4107393000000.000000,10805996000000.000000,13863574000000.000000,145716000000.000000,24815286000000.000000
12M 2013,-1905973000000.000000,12658339000000.000000,1097190000000.000000,,,54601000000.000000,-6060022000000.000000,136733000000.000000,,-61097000000.000000,-1464659000000.000000,-2050731000000.000000,,-141153000000.000000,-385990000000.000000,,,,,,-4338626000000.000000,-967056000000.000000,,,,,-26627465000000.000000,735933000000.000000,,-1249791000000.000000,-32447005000000.000000,,-392392000000.000000,,4174364000000.000000,-1844420000000.000000,25695087000000.000000,28025031000000.000000,-358892000000.000000,,,30277000000.000000,28557000000.000000,5281000000.000000,64115000000.000000,27337862000000.000000,-580041000000.000000,,-1905973000000.000000,-4970203000000.000000,,-11856011000000.000000,6888812000000.000000,-4967199000000.000000,,214453000000.000000,,28028000000.000000,66827000000.000000,,,,-8000000.000000,,,-258642000000.000000,-53662000000.000000,-312304000000.000000,,,,,,,-4970203000000.000000,1946606000000.000000,309635000000.000000,,,,,,-576831000000.000000,,,,,,,,,,,,-14198000000.000000,,2228000000000.000000,,,,,,,,1946606000000.000000,-4929570000000.000000,24815287000000.000000,739001000000.000000,20624718000000.000000
12M 2014,5992353000000.000000,16302607000000.000000,1259870000000.000000,89143000000.000000,,,-9296420000000.000000,101576000000.000000,,-64565000000.000000,-1417745000000.000000,-2204482000000.000000,,-376004000000.000000,,-31380000000.000000,,,,,,,,4170130000000.000000,,,-15881956000000.000000,3878000000.000000,,-1606760000000.000000,-13314708000000.000000,,34314000000.000000,,1379061000000.000000,2859838000000.000000,10606218000000.000000,14845117000000.000000,534441000000.000000,,,-132644000000.000000,15755000000.000000,-23027000000.000000,-139916000000.000000,15273956000000.000000,-329495000000.000000,,5992353000000.000000,-8709506000000.000000,,-18202059000000.000000,11501256000000.000000,-6700803000000.000000,-2193903000000.000000,297346000000.000000,,321000000.000000,,,,,-1000000.000000,134101000000.000000,,-157420000000.000000,-89147000000.000000,-246567000000.000000,,,,,,,-8709506000000.000000,1020837000000.000000,-299820000000.000000,,-172588000000.000000,,,,-693924000000.000000,,,,,,,1493365000000.000000,,,,,-3098000000.000000,,696902000000.000000,,,,,,,,1020837000000.000000,-1696316000000.000000,20624718000000.000000,93865000000.000000,19022267000000.000000
12M 2015,1808383000000.000000,16990438000000.000000,1336313000000.000000,43693000000.000000,,-9174245000000.000000,117213000000.000000,-56440000000.000000,,-1508750000000.000000,-2295081000000.000000,-1181128000000.000000,,,,-44794000000.000000,,,,,179926000000.000000,,,,,,-128474000000.000000,8568000000.000000,,301990000000.000000,362010000000.000000,,-95923000000.000000,,2914780000000.000000,1209578000000.000000,-6643675000000.000000,-2519317000000.000000,137323000000.000000,,,15820000000.000000,86014000000.000000,,101834000000.000000,-2376083000000.000000,-404763000000.000000,,1808383000000.000000,5156151000000.000000,,21800163000000.000000,-17449257000000.000000,4350906000000.000000,,859428000000.000000,,68000000.000000,,,,,,139399000000.000000,,-103664000000.000000,-89986000000.000000,-193650000000.000000,,,,,,,5156151000000.000000,-1665949000000.000000,-9908000000.000000,,-166374000000.000000,-696000000000.000000,,,-793667000000.000000,,,,,,,,,,,,,,,,,,,,,,-1665949000000.000000,5298585000000.000000,18359640000000.000000,486892000000.000000,24145117000000.000000
12M 2016,5333310000000.000000,15347613000000.000000,1289684000000.000000,179205000000.000000,,-7811838000000.000000,278206000000.000000,-51225000000.000000,,-1447251000000.000000,-2117522000000.000000,924681000000.000000,-430000000000.000000,,,-57943000000.000000,,,,,-3227881000000.000000,,,,,,16112427000000.000000,-1141000000.000000,,683677000000.000000,13567082000000.000000,,155125000000.000000,,1737864000000.000000,3913533000000.000000,-20710511000000.000000,-15059114000000.000000,340922000000.000000,,,61061000000.000000,185146000000.000000,-20522000000.000000,225685000000.000000,-14337382000000.000000,,,5333310000000.000000,-9495423000000.000000,,48147928000000.000000,-58359459000000.000000,-10211531000000.000000,,747569000000.000000,,613000000.000000,,,,,,155159000000.000000,,-86832000000.000000,-100401000000.000000,-187233000000.000000,,,,,,,-9495423000000.000000,4135126000000.000000,,,,-2060549000000.000000,,,-799855000000.000000,,,,,,,,5499906000000.000000,,,1500000000000.000000,-4376000000.000000,,,,,,,,,,4135126000000.000000,-26987000000.000000,24145117000000.000000,37772000000.000000,24155902000000.000000
12M 2017,-13394147000000.000000,9142358000000.000000,1282499000000.000000,147966000000.000000,,-5366215000000.000000,341748000000.000000,-51082000000.000000,1677708000000.000000,-1482157000000.000000,-2203849000000.000000,645186000000.000000,-40000000000.000000,,,-66533000000.000000,,,,-1740628000000.000000,3780743000000.000000,,,,,,41995000000.000000,-1723000000.000000,,-230013000000.000000,1850374000000.000000,,-218482000000.000000,,-1301613000000.000000,-1615293000000.000000,-16037662000000.000000,-18954568000000.000000,35914000000.000000,,,-98327000000.000000,-34705000000.000000,,-133032000000.000000,-19270168000000.000000,-1982000000.000000,,-13394147000000.000000,4931597000000.000000,,35687091000000.000000,-31271700000000.000000,4415391000000.000000,,557997000000.000000,,462000000.000000,4000000000.000000,,,,,235709000000.000000,,-127768000000.000000,-154194000000.000000,-281962000000.000000,,,,,,,4931597000000.000000,867649000000.000000,,899000000.000000,,,,,-663700000000.000000,-17500000000.000000,52500000000.000000,,,,,,1499677000000.000000,,,,-4227000000.000000,,,,,,,,,,867649000000.000000,-7594901000000.000000,24155902000000.000000,36183000000.000000,16597184000000.000000
