Period,Total Pendapatan,Pendapatan Bunga Dan Syariah,Pendapatan Bunga,Pendapatan Syariah,Total Pendapatan Bunga Dan Syariah,Provisi Dan Komisi Kredit,Total Pendapatan,Total Beban Pokok Penjualan,Beban Bunga Dan Syariah,Beban Bunga,Beban Syariah,Total Beban Bunga Dan Syariah,Beban Provisi Dan Komisi,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Pendapatan Operasional Lainnya,Keuntungan Dari Penjualan Aset-Aset Keuangan,Kenaikan Nilai Wajar Aset Keuangan,Laba (Rugi) Selisih Kurs,Pendapatan Premi,Bagian Atas Hasil Bersih Entitas Asosiasi,Pemulihan Kerugian Atas Aset Non-Produktif,Pemulihan Kerugian Atas Aset Produktif,Others,Total Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Beban Umum Dan Administrasi,Beban Tenaga Kerja,Beban Penyisihan Kerugian Penurunan Nilai Atas Aset Keuangan,Others,Total Beban Operasional Lainnya,Total Beban Usaha,Adjustment,Laba Usaha,Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,4841508000000.000000,4332056000000.000000,,,4332056000000.000000,509452000000.000000,4841508000000.000000,-2336141000000.000000,-2329828000000.000000,,,-2329828000000.000000,-6313000000.000000,-2336141000000.000000,2505367000000.000000,-1884520000000.000000,,-126404000000.000000,,196186000000.000000,41331000000.000000,,-11804000000.000000,-345040000000.000000,488333000000.000000,242602000000.000000,,-874687000000.000000,-940858000000.000000,,-311577000000.000000,-2127122000000.000000,-1884520000000.000000,,620847000000.000000,133890000000.000000,,754737000000.000000,-293478000000.000000,-321867000000.000000,28389000000.000000,-293478000000.000000,461259000000.000000,-8850000000.000000,452409000000.000000,,,,,452409000000.000000,461259000000.000000,-8850000000.000000,452409000000.000000,,,,
12M 2009,6069599000000.000000,5722531000000.000000,,,5722531000000.000000,347068000000.000000,6069599000000.000000,-3198109000000.000000,-3192960000000.000000,,,-3192960000000.000000,-5149000000.000000,-3198109000000.000000,2871490000000.000000,-2131928000000.000000,,198655000000.000000,,128714000000.000000,46526000000.000000,,-33588000000.000000,-484522000000.000000,405872000000.000000,261657000000.000000,,-909164000000.000000,-1155230000000.000000,,-329191000000.000000,-2393585000000.000000,-2131928000000.000000,,739562000000.000000,27060000000.000000,,766622000000.000000,-280545000000.000000,-336898000000.000000,56353000000.000000,-280545000000.000000,486077000000.000000,-5922000000.000000,480155000000.000000,,,,,480155000000.000000,486077000000.000000,-5922000000.000000,480155000000.000000,,,,
12M 2010,6549560000000.000000,5915777000000.000000,,,5915777000000.000000,633783000000.000000,6549560000000.000000,-2798118000000.000000,-2798118000000.000000,,,-2798118000000.000000,,-2798118000000.000000,3751442000000.000000,-2674646000000.000000,,,-89893000000.000000,3932000000.000000,38452000000.000000,,-10350000000.000000,,271252000000.000000,213393000000.000000,,-1070169000000.000000,-1281960000000.000000,-423548000000.000000,-112362000000.000000,-2888039000000.000000,-2674646000000.000000,,1076796000000.000000,161337000000.000000,,1238133000000.000000,-234074000000.000000,-276952000000.000000,42878000000.000000,-234074000000.000000,1004059000000.000000,-7410000000.000000,996649000000.000000,,,,,996649000000.000000,1004059000000.000000,-7410000000.000000,996649000000.000000,,,,
12M 2011,8546008000000.000000,7707960000000.000000,,,7707960000000.000000,838048000000.000000,8546008000000.000000,-3971384000000.000000,-3966675000000.000000,,,-3966675000000.000000,-4709000000.000000,-3971384000000.000000,4574624000000.000000,-3135405000000.000000,,,,,,,-1822000000.000000,,201184000000.000000,199362000000.000000,,-1367180000000.000000,-1510469000000.000000,-379372000000.000000,-77746000000.000000,-3334767000000.000000,-3135405000000.000000,,1439219000000.000000,119599000000.000000,,1558818000000.000000,-401940000000.000000,-322334000000.000000,-79606000000.000000,-401940000000.000000,1156878000000.000000,,1156878000000.000000,30838000000.000000,30838000000.000000,30838000000.000000,1187716000000.000000,1156878000000.000000,1156876000000.000000,2000000.000000,1156878000000.000000,1187716000000.000000,1187714000000.000000,2000000.000000,1187716000000.000000
12M 2012,10095371000000.000000,9185865000000.000000,,,9185865000000.000000,909506000000.000000,10095371000000.000000,-4403821000000.000000,-4377456000000.000000,,,-4377456000000.000000,-26365000000.000000,-4403821000000.000000,5691550000000.000000,-3939806000000.000000,,,6297000000.000000,,,,97000000.000000,,219140000000.000000,225534000000.000000,,-1585118000000.000000,-1939294000000.000000,-498724000000.000000,-142204000000.000000,-4165340000000.000000,-3939806000000.000000,,1751744000000.000000,136337000000.000000,,1888081000000.000000,-519949000000.000000,-484597000000.000000,-35352000000.000000,-519949000000.000000,1368132000000.000000,,1368132000000.000000,3136000000.000000,3136000000.000000,3136000000.000000,1371268000000.000000,1368132000000.000000,1368133000000.000000,-1000000.000000,1368132000000.000000,1371268000000.000000,1371269000000.000000,-1000000.000000,1371268000000.000000
12M 2013,13015561000000.000000,,10772325000000.000000,1154274000000.000000,11926599000000.000000,1088962000000.000000,13015561000000.000000,-6852141000000.000000,,-6224366000000.000000,-566678000000.000000,-6791044000000.000000,-61097000000.000000,-6852141000000.000000,6163420000000.000000,-4164311000000.000000,,,,,,,2922000000.000000,,226132000000.000000,229054000000.000000,,-1657242000000.000000,-2093150000000.000000,-502595000000.000000,-140378000000.000000,-4393365000000.000000,-4164311000000.000000,,1999109000000.000000,302394000000.000000,,2301503000000.000000,-575630000000.000000,-479384000000.000000,-96246000000.000000,-575630000000.000000,1725873000000.000000,,1725873000000.000000,-94755000000.000000,-94755000000.000000,-94755000000.000000,1631118000000.000000,1725873000000.000000,1725873000000.000000,,1725873000000.000000,1631118000000.000000,1631118000000.000000,,1631118000000.000000
12M 2014,16799821000000.000000,,14221627000000.000000,1324896000000.000000,15546523000000.000000,1253298000000.000000,16799821000000.000000,-10181589000000.000000,,-9419502000000.000000,-697522000000.000000,-10117024000000.000000,-64565000000.000000,-10181589000000.000000,6618232000000.000000,-4572009000000.000000,,,,,,241029000000.000000,,,560342000000.000000,801371000000.000000,,-1653542000000.000000,-2270091000000.000000,-1178152000000.000000,-271595000000.000000,-5373380000000.000000,-4572009000000.000000,,2046223000000.000000,,,2046223000000.000000,-459252000000.000000,-332565000000.000000,-126687000000.000000,-459252000000.000000,1586971000000.000000,,1586971000000.000000,60144000000.000000,60144000000.000000,60144000000.000000,1647115000000.000000,1586971000000.000000,1586972000000.000000,-1000000.000000,1586971000000.000000,1647115000000.000000,1647116000000.000000,-1000000.000000,1647115000000.000000
12M 2015,17487912000000.000000,,14806228000000.000000,1324594000000.000000,16130822000000.000000,1357090000000.000000,17487912000000.000000,-9990363000000.000000,,-9284890000000.000000,-649033000000.000000,-9933923000000.000000,-56440000000.000000,-9990363000000.000000,7497549000000.000000,-7204014000000.000000,,,,,,241838000000.000000,,,610082000000.000000,851920000000.000000,,-1773186000000.000000,-2223497000000.000000,-3678035000000.000000,-381216000000.000000,-8055934000000.000000,-7204014000000.000000,,293535000000.000000,,,293535000000.000000,-46423000000.000000,-401273000000.000000,354850000000.000000,-46423000000.000000,247112000000.000000,,247112000000.000000,1648997000000.000000,1648997000000.000000,1648997000000.000000,1896109000000.000000,247112000000.000000,247112000000.000000,,247112000000.000000,1896109000000.000000,1896109000000.000000,,1896109000000.000000
12M 2016,15691554000000.000000,,13013698000000.000000,1384872000000.000000,14398570000000.000000,1292984000000.000000,15691554000000.000000,-8566354000000.000000,,-7919237000000.000000,-595892000000.000000,-8515129000000.000000,-51225000000.000000,-8566354000000.000000,7125200000000.000000,-15759234000000.000000,,,,,,235466000000.000000,,,791554000000.000000,1027020000000.000000,,-1760182000000.000000,-2241129000000.000000,-12207656000000.000000,-577287000000.000000,-16786254000000.000000,-15759234000000.000000,,-8634034000000.000000,,,-8634034000000.000000,2150950000000.000000,,2150950000000.000000,2150950000000.000000,-6483084000000.000000,,-6483084000000.000000,-35684000000.000000,-35684000000.000000,-35684000000.000000,-6518768000000.000000,-6483084000000.000000,-6483084000000.000000,,-6483084000000.000000,-6518768000000.000000,-6518768000000.000000,,-6518768000000.000000
12M 2017,12431516000000.000000,,9726541000000.000000,1471605000000.000000,11198146000000.000000,1233370000000.000000,12431516000000.000000,-5973920000000.000000,,-5424405000000.000000,-549515000000.000000,-5973920000000.000000,,-5973920000000.000000,6457596000000.000000,-5506464000000.000000,,,,,,239019000000.000000,,,1883570000000.000000,2122589000000.000000,,-1801827000000.000000,-2341513000000.000000,-3127098000000.000000,-358615000000.000000,-7629053000000.000000,-5506464000000.000000,,951132000000.000000,,,951132000000.000000,-202699000000.000000,-3062000000.000000,-199637000000.000000,-202699000000.000000,748433000000.000000,,748433000000.000000,-22747000000.000000,-22747000000.000000,-22747000000.000000,725686000000.000000,748433000000.000000,748433000000.000000,,748433000000.000000,725686000000.000000,725686000000.000000,,725686000000.000000
