Period,Aset,Kas Dan Setara Kas,Giro Pada Bank Indonesia,Penempatan Pada Bank Indonesia Dan Bank Lain,Pihak Ketiga,Pihak Berelasi,Others,Total Penempatan Pada Bank Indonesia Dan Bank Lain,Obligasi Pemerintah,Others,Total Obligasi Pemerintah,Pinjaman Yang Diberikan,Pihak Ketiga,Pihak Berelasi,Others,Total Pinjaman Yang Diberikan,Investasi Pada Entitas Asosiasi,Pihak Berelasi,Total Investasi Pada Entitas Asosiasi,Aset Tetap,Others,Total Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Segera,Simpanan Nasabah,Deposito Berjangka,Pihak Ketiga,Pihak Berelasi,Total Deposito Berjangka,Others,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Ketiga,Pihak Berelasi,Total Simpanan Dari Bank Lain,Liabilitas Akseptasi,Pihak Ketiga,Pihak Berelasi,Total Liabilitas Akseptasi,Pinjaman Yang Diterima,Pihak Ketiga,Pihak Berelasi,Total Pinjaman Yang Diterima,Obligasi Subordinasi,Pihak Ketiga,Pihak Berelasi,Total Obligasi Subordinasi,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,1226225000000.000000,2075173000000.000000,,2032071000000.000000,,,2032071000000.000000,,2082791000000.000000,2082791000000.000000,,33347520000000.000000,172409000000.000000,,33519929000000.000000,,,,,1296182000000.000000,1296182000000.000000,,,,385527000000.000000,11441624000000.000000,54059522000000.000000,,,2632604000000.000000,42768849000000.000000,,23671305000000.000000,2665230000000.000000,26336535000000.000000,16432314000000.000000,42768849000000.000000,279768000000.000000,243495000000.000000,36273000000.000000,279768000000.000000,816871000000.000000,588378000000.000000,228493000000.000000,816871000000.000000,487640000000.000000,411762000000.000000,75878000000.000000,487640000000.000000,495290000000.000000,495290000000.000000,,495290000000.000000,2225005000000.000000,49706027000000.000000,,1300534000000.000000,5826978000000.000000,-2772181000000.000000,,,-2772181000000.000000,64833000000.000000,-66669000000.000000,4353495000000.000000,54059522000000.000000,7743125924.000000
12M 2009,,1145742000000.000000,2270791000000.000000,,2430017000000.000000,290117000000.000000,,2720134000000.000000,,69270000000.000000,69270000000.000000,,39426730000000.000000,158346000000.000000,,39585076000000.000000,,,,,1195437000000.000000,1195437000000.000000,,,,415937000000.000000,8607566000000.000000,56009953000000.000000,,,406923000000.000000,45720638000000.000000,,22411296000000.000000,2681536000000.000000,25092832000000.000000,20627806000000.000000,45720638000000.000000,354384000000.000000,306906000000.000000,47478000000.000000,354384000000.000000,752628000000.000000,665502000000.000000,87126000000.000000,752628000000.000000,319184000000.000000,319184000000.000000,,319184000000.000000,1432498000000.000000,495885000000.000000,936613000000.000000,1432498000000.000000,2121110000000.000000,51107365000000.000000,,1300534000000.000000,5826978000000.000000,-2292026000000.000000,,,-2292026000000.000000,67076000000.000000,26000000.000000,4902588000000.000000,56009953000000.000000,7743125924.000000
12M 2010,,1270026000000.000000,4539282000000.000000,,4524055000000.000000,721163000000.000000,-298000000.000000,5244920000000.000000,,101051000000.000000,101051000000.000000,,52638312000000.000000,201675000000.000000,-1586626000000.000000,51253361000000.000000,,,,,763735000000.000000,763735000000.000000,,281579000000.000000,281579000000.000000,462319000000.000000,9897167000000.000000,73813440000000.000000,,,367641000000.000000,59385311000000.000000,,29466180000000.000000,3130069000000.000000,32596249000000.000000,26789062000000.000000,59385311000000.000000,539353000000.000000,322319000000.000000,217034000000.000000,539353000000.000000,1052921000000.000000,1024393000000.000000,28528000000.000000,1052921000000.000000,206295000000.000000,167975000000.000000,38320000000.000000,206295000000.000000,2094927000000.000000,497918000000.000000,1597009000000.000000,2094927000000.000000,2183276000000.000000,65829724000000.000000,,1461849000000.000000,7656634000000.000000,-1202086000000.000000,,,-1202086000000.000000,66443000000.000000,876000000.000000,7983716000000.000000,73813440000000.000000,9033646911.000000
12M 2011,,1751487000000.000000,7322383000000.000000,,8368877000000.000000,506804000000.000000,,8875681000000.000000,,,,,67990379000000.000000,214055000000.000000,,68204434000000.000000,,,,730932000000.000000,,730932000000.000000,281455000000.000000,,281455000000.000000,360381000000.000000,13797249000000.000000,101324002000000.000000,,,636720000000.000000,82783287000000.000000,,44453507000000.000000,4022408000000.000000,48475915000000.000000,34307372000000.000000,82783287000000.000000,1328321000000.000000,1191939000000.000000,136382000000.000000,1328321000000.000000,2162470000000.000000,1667407000000.000000,495063000000.000000,2162470000000.000000,,,,,3351179000000.000000,1653876000000.000000,1697303000000.000000,3351179000000.000000,1925817000000.000000,92187794000000.000000,,1461849000000.000000,7656634000000.000000,-14008000000.000000,,,-14008000000.000000,19000000.000000,31714000000.000000,9136208000000.000000,101324002000000.000000,9033646911.000000
12M 2012,,1803777000000.000000,9336202000000.000000,,12735324000000.000000,178294000000.000000,,12913618000000.000000,,,,,93379285000000.000000,326608000000.000000,,93705893000000.000000,,,,749314000000.000000,,749314000000.000000,255579000000.000000,,255579000000.000000,323983000000.000000,12710229000000.000000,131798595000000.000000,,,1144041000000.000000,104914477000000.000000,,56572825000000.000000,3921564000000.000000,60494389000000.000000,44420088000000.000000,104914477000000.000000,2004690000000.000000,1597472000000.000000,407218000000.000000,2004690000000.000000,3372975000000.000000,3104906000000.000000,268069000000.000000,3372975000000.000000,93000000.000000,93000000.000000,,93000000.000000,5905109000000.000000,4140290000000.000000,1764819000000.000000,5905109000000.000000,1961676000000.000000,119303061000000.000000,,1667159000000.000000,9439382000000.000000,1373831000000.000000,,,1373831000000.000000,18000000.000000,15144000000.000000,12495534000000.000000,131798595000000.000000,10676128167.000000
12M 2013,,2436772000000.000000,11610722000000.000000,,5812739000000.000000,119435000000.000000,,5932174000000.000000,,,,,118004926000000.000000,363917000000.000000,,118368843000000.000000,,,,1093094000000.000000,,1093094000000.000000,281781000000.000000,,281781000000.000000,259325000000.000000,25851211000000.000000,165833922000000.000000,,,751649000000.000000,133074926000000.000000,,76966472000000.000000,9353238000000.000000,86319710000000.000000,46755216000000.000000,133074926000000.000000,1648187000000.000000,1274580000000.000000,373607000000.000000,1648187000000.000000,5275988000000.000000,4047928000000.000000,1228060000000.000000,5275988000000.000000,310336000000.000000,273000000.000000,310063000000.000000,310336000000.000000,7019660000000.000000,4913368000000.000000,2106292000000.000000,7019660000000.000000,3626532000000.000000,151707278000000.000000,,1667159000000.000000,9439382000000.000000,3048322000000.000000,333432000000.000000,2714890000000.000000,3048322000000.000000,10000000.000000,-28229000000.000000,14126644000000.000000,165833922000000.000000,10676128167.000000
12M 2014,,2192825000000.000000,13675893000000.000000,,1304632000000.000000,91335000000.000000,,1395967000000.000000,,,,,131094037000000.000000,294426000000.000000,,131388463000000.000000,,2294284000000.000000,2294284000000.000000,1129397000000.000000,,1129397000000.000000,377880000000.000000,,377880000000.000000,110408000000.000000,32784744000000.000000,185349861000000.000000,,,543553000000.000000,148005560000000.000000,,90201903000000.000000,6807822000000.000000,97009725000000.000000,50995835000000.000000,148005560000000.000000,2182950000000.000000,1965553000000.000000,217397000000.000000,2182950000000.000000,6073505000000.000000,4602179000000.000000,1471326000000.000000,6073505000000.000000,10096000000.000000,,10096000000.000000,10096000000.000000,7758983000000.000000,5372321000000.000000,2386662000000.000000,7758983000000.000000,3680678000000.000000,168255325000000.000000,,1818122000000.000000,10781784000000.000000,4437115000000.000000,363624000000.000000,4073491000000.000000,4437115000000.000000,9000000.000000,57506000000.000000,17094536000000.000000,185349861000000.000000,11883834973.000000
12M 2015,,2012662000000.000000,12833823000000.000000,,8290830000000.000000,,,8290830000000.000000,,,,,125540703000000.000000,327270000000.000000,,125867973000000.000000,,2465417000000.000000,2465417000000.000000,2724378000000.000000,,2724378000000.000000,389266000000.000000,,389266000000.000000,422929000000.000000,27682073000000.000000,182689351000000.000000,,,448408000000.000000,145460639000000.000000,,83543057000000.000000,6798539000000.000000,90341596000000.000000,55119043000000.000000,145460639000000.000000,2321856000000.000000,2154662000000.000000,167194000000.000000,2321856000000.000000,4736078000000.000000,3945449000000.000000,790629000000.000000,4736078000000.000000,,,,,7905036000000.000000,5361230000000.000000,2543806000000.000000,7905036000000.000000,3004490000000.000000,163876507000000.000000,,1818122000000.000000,10781784000000.000000,4539311000000.000000,363624000000.000000,4175687000000.000000,4539311000000.000000,9000000.000000,1673618000000.000000,18812844000000.000000,182689351000000.000000,11883834973.000000
12M 2016,,2070557000000.000000,10541849000000.000000,,8045662000000.000000,,,8045662000000.000000,,,,,94536321000000.000000,246343000000.000000,,94782664000000.000000,,2488861000000.000000,2488861000000.000000,2554424000000.000000,,2554424000000.000000,412980000000.000000,,412980000000.000000,2650768000000.000000,41979747000000.000000,165527512000000.000000,,,607930000000.000000,130302660000000.000000,,62593066000000.000000,6933760000000.000000,69526826000000.000000,60775834000000.000000,130302660000000.000000,2661635000000.000000,2397301000000.000000,264334000000.000000,2661635000000.000000,3990150000000.000000,3898331000000.000000,91819000000.000000,3990150000000.000000,,,,,6526586000000.000000,5379530000000.000000,1147056000000.000000,6526586000000.000000,2148945000000.000000,146237906000000.000000,,3125134000000.000000,14970302000000.000000,-1981321000000.000000,363624000000.000000,-2344945000000.000000,-1981321000000.000000,9000000.000000,3175482000000.000000,19289606000000.000000,165527512000000.000000,22339930055.000000
12M 2017,,1940485000000.000000,8541582000000.000000,,6294096000000.000000,,,6294096000000.000000,,,,,89703197000000.000000,317788000000.000000,,90020985000000.000000,,,,2460534000000.000000,,2460534000000.000000,485283000000.000000,,485283000000.000000,2454077000000.000000,36131328000000.000000,148328370000000.000000,,,384169000000.000000,111288007000000.000000,,47539650000000.000000,5890842000000.000000,53430492000000.000000,57857515000000.000000,111288007000000.000000,2697543000000.000000,2552273000000.000000,145270000000.000000,2697543000000.000000,3752073000000.000000,3695672000000.000000,56401000000.000000,3752073000000.000000,36017000000.000000,36017000000.000000,,36017000000.000000,6531643000000.000000,5346400000000.000000,1185243000000.000000,6531643000000.000000,2128176000000.000000,126817628000000.000000,,3837985000000.000000,17252901000000.000000,-1333390000000.000000,363624000000.000000,-1697014000000.000000,-1333390000000.000000,9000000.000000,1753237000000.000000,21510742000000.000000,148328370000000.000000,28042739205.000000
