Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,278838383165.0,-142717895184.0,136120487981.0,-110855030130.0,-110855030130.0,-110855030130.0,25265457851.0,-2646915905.0,317109233.0,-3521968065.0,557942927.0,-2646915905.0,22618541946.0,-8818365015.0,-7854416167.0,-963948848.0,-8818365015.0,13800176931.0,-457024539.0,13343152392.0,13800176931.0,14098025541.0,-297848610.0,13800176931.0,13343152392.0,13343109276.0,43116.0,13343152392.0
12M 2021,318589545431.0,-169616461870.0,148973083561.0,-114974512327.0,-114974512327.0,-114974512327.0,33998571234.0,-3756482519.0,35196668.0,-2269435138.0,-1522244049.0,-3756482519.0,30242088715.0,-8904364122.0,-8381426143.0,-522937979.0,-8904364122.0,21337724593.0,-24074819.0,21313649774.0,21337724593.0,20947574440.0,390150153.0,21337724593.0,21313649774.0,21314177591.0,-527817.0,21313649774.0
12M 2022,363365202661.0,-179885211419.0,183479991242.0,-134773209789.0,-134773209789.0,-134773209789.0,48706781453.0,-5091952413.0,-602267979.0,-2289842792.0,-2199841642.0,-5091952413.0,43614829040.0,-13404992651.0,-13849404860.0,444412209.0,-13404992651.0,30209836389.0,350158259.0,30559994648.0,30209836389.0,29937613683.0,272222706.0,30209836389.0,30559994648.0,30559021789.0,972859.0,30559994648.0
12M 2023,444428604532.0,-214759503015.0,229669101517.0,-175280339867.0,-175280339867.0,-175280339867.0,54388761650.0,-8628161333.0,-262648085.0,-2775967643.0,-5589545605.0,-8628161333.0,45760600317.0,-17960354508.0,-13851648042.0,-4108706466.0,-17960354508.0,27800245809.0,-1380895204.0,26419350605.0,27800245809.0,27548593932.0,251651877.0,27800245809.0,26419350605.0,26416980946.0,2369659.0,26419350605.0
12M 2024,448514929621.0,-207406175633.0,241108753988.0,-203407465029.0,-203407465029.0,-203407465029.0,37701288959.0,-4161312918.0,-1058670310.0,-6953507756.0,3850865148.0,-4161312918.0,33539976041.0,-10007611703.0,-11225106194.0,1217494491.0,-10007611703.0,23532364338.0,449391825.0,23981756163.0,23532364338.0,23109769354.0,422594984.0,23532364338.0,23981756163.0,23577251725.0,404504438.0,23981756163.0
