Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kas Kepada Karyawan,Pembayaran Kepada Pemasok,Pembayaran Untuk Beban Operasional Lainnya,Penerimaan Bunga,Pembayaran Pajak Penghasilan,Pembayaran Biaya Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penerimaan Penjualan Aset Tetap,Peningkatan Modal Entitas Anak,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Biaya Emisi Saham,Penambahan Modal,Pembayaran Utang Bank Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Penerimaan Utang Bank Jangka Panjang,Utang Bank Jangka Pendek,Penerimaan,Pembayaran,Total Utang Bank Jangka Pendek,Pembayaran Dividen,Penerbitan Modal Saham,Biaya Emisi Saham Ipo,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Liabilitas Sewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan/(Penurunan) Neto Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Kas Dan Setara Kas Akhir Tahun
12M 2020,26712044044.000000,270508267297.000000,-69349661989.000000,-138306485003.000000,-26908498338.000000,47656217.000000,-5757266075.000000,-3521968065.000000,26712044044.000000,-4763690083.000000,-617674288.000000,460833599.000000,185000000.000000,-4578759485.000000,-213089909.000000,-4763690083.000000,-18163788529.000000,,,,,,,,,,-16845191782.000000,-16845191782.000000,,,,,-1318596747.000000,-18163788529.000000,3784565432.000000,3174600950.000000,6959166382.000000
12M 2021,31907975242.000000,320493433314.000000,-78383381356.000000,-165108435859.000000,-33448484834.000000,81107572.000000,-9456828457.000000,-2269435138.000000,31907975242.000000,-10865241155.000000,-5736685420.000000,554438594.000000,,-5643994329.000000,-39000000.000000,-10865241155.000000,-17116422524.000000,,,,,,,,,,-10879873863.000000,-10879873863.000000,-2100000000.000000,,,-1227208400.000000,-2909340261.000000,-17116422524.000000,3926311563.000000,6959166382.000000,10885477945.000000
12M 2022,46150162867.000000,364599564485.000000,-85179212905.000000,-176300702548.000000,-44671652374.000000,102388333.000000,-10110379332.000000,-2289842792.000000,46150162867.000000,-14782655849.000000,-12574666479.000000,99494962.000000,,-2269484333.000000,-37999999.000000,-14782655849.000000,-18898825995.000000,,,,,,,,,,-244346431.000000,-244346431.000000,-10750000000.000000,,,-5031326035.000000,-2873153529.000000,-18898825995.000000,12468681023.000000,10885477945.000000,23354158968.000000
12M 2023,22400494370.000000,422453072301.000000,-98289152290.000000,-199865600880.000000,-84080155788.000000,183852349.000000,-15225553679.000000,-2775967643.000000,22400494370.000000,-108746400234.000000,-85465002753.000000,409144144.000000,,-23690541625.000000,,-108746400234.000000,95879822377.000000,,,,,,,,,34988129042.000000,-6450401832.000000,28537727210.000000,,75000000000.000000,-2884398047.000000,-3251771852.000000,-1521734934.000000,95879822377.000000,9533916513.000000,23354158968.000000,32888075481.000000
12M 2024,61390945774.000000,442513734663.000000,-123740776584.000000,-186509815849.000000,-49666472600.000000,124525799.000000,-14376741899.000000,-6953507756.000000,61390945774.000000,-76966408702.000000,-60067777412.000000,577824958.000000,,-15797071998.000000,-1679384250.000000,-76966408702.000000,8370409747.000000,,377500000.000000,,,70000000.000000,70000000.000000,,,37497660450.000000,-12740126590.000000,24757533860.000000,-6796200000.000000,,,-9940164898.000000,-98259215.000000,8370409747.000000,-7205053181.000000,32888075481.000000,25683022300.000000
