Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2019,0.00,8802000.00,0.00,8802000.00,42 B,53 B,95 B,(5 B),148 B
12M 2020,0.00,9902065.93,0.00,9901765.57,66 B,128 B,194 B,94 B,320 B
12M 2021,0.00,2091604.76,0.00,2090534.92,68 B,85 B,153 B,101 B,151 B
12M 2022,0.96,222.66,0.96,222.58,47 B,41 B,88 B,(103 B),487 B
12M 2023,1.19,240.50,1.19,240.17,59 B,266 B,325 B,44 B,493 B
12M 2024,1.31,271.03,1.31,270.71,69 B,215 B,284 B,72 B,748 B
