Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lembaga Keuangan Lain,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Lembaga Keuangan Lain,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2019,,,100765000000.000000,10053000000.000000,53748000000.000000,53742000000.000000,6000000.000000,53748000000.000000,1758000000.000000,,,1758000000.000000,,44686000000.000000,32760000000.000000,243770000000.000000,,,1311946000000.000000,,1970000000.000000,1313916000000.000000,1557686000000.000000,,,95438000000.000000,,16957000000.000000,15750000000.000000,32707000000.000000,,19912000000.000000,91000000.000000,20003000000.000000,423000000.000000,139000000.000000,,41936000000.000000,,230000000.000000,42166000000.000000,95438000000.000000,190982000000.000000,,53143000000.000000,,135000000.000000,53278000000.000000,,136857000000.000000,847000000.000000,190982000000.000000,286420000000.000000,,136500000000.000000,107794000000.000000,595675000000.000000,,595675000000.000000,595675000000.000000,69793000000.000000,361504000000.000000,1271266000000.000000,1557686000000.000000,136500.000000
12M 2020,,,100082000000.000000,146873000000.000000,30113000000.000000,30072000000.000000,41000000.000000,30113000000.000000,873000000.000000,,,873000000.000000,,60644000000.000000,80279000000.000000,418864000000.000000,,,1327918000000.000000,41000000.000000,8769000000.000000,1336728000000.000000,1755592000000.000000,,,98609000000.000000,,11443000000.000000,2335000000.000000,13778000000.000000,,17824000000.000000,,17824000000.000000,608000000.000000,103000000.000000,,64758000000.000000,1403000000.000000,135000000.000000,66296000000.000000,98609000000.000000,231405000000.000000,,123278000000.000000,4818000000.000000,,128096000000.000000,,102054000000.000000,1255000000.000000,231405000000.000000,330014000000.000000,,136500000000.000000,107794000000.000000,747420000000.000000,,747420000000.000000,747420000000.000000,73946000000.000000,359918000000.000000,1425578000000.000000,1755592000000.000000,136500.000000
12M 2021,,,51738000000.000000,7006000000.000000,58957000000.000000,58832000000.000000,125000000.000000,58957000000.000000,668000000.000000,,,668000000.000000,,52136000000.000000,66150000000.000000,236655000000.000000,,,1392231000000.000000,674000000.000000,4730000000.000000,1397635000000.000000,1634290000000.000000,,,85837000000.000000,,12722000000.000000,362000000.000000,13084000000.000000,,1647000000.000000,,1647000000.000000,470000000.000000,2345000000.000000,,67098000000.000000,1193000000.000000,,68291000000.000000,85837000000.000000,212118000000.000000,,82327000000.000000,2561000000.000000,,84888000000.000000,,126131000000.000000,1099000000.000000,212118000000.000000,297955000000.000000,,630000000000.000000,107794000000.000000,123541000000.000000,,123541000000.000000,123541000000.000000,18624000000.000000,456376000000.000000,1336335000000.000000,1634290000000.000000,630000.000000
12M 2022,,,190613000000.000000,160009000000.000000,105762000000.000000,105745000000.000000,17000000.000000,105762000000.000000,3889000000.000000,2314000000.000000,1575000000.000000,3889000000.000000,,55064000000.000000,56163000000.000000,571500000000.000000,,,1330996000000.000000,554000000.000000,27888000000.000000,1359438000000.000000,1930938000000.000000,,,84381000000.000000,,31221000000.000000,963000000.000000,32184000000.000000,,2680000000.000000,,2680000000.000000,1226000000.000000,1493000000.000000,,45241000000.000000,1557000000.000000,,46798000000.000000,84381000000.000000,158505000000.000000,,37086000000.000000,3824000000.000000,,40910000000.000000,,115743000000.000000,1852000000.000000,158505000000.000000,242886000000.000000,,741200000000.000000,216594000000.000000,271812000000.000000,,271812000000.000000,271812000000.000000,37730000000.000000,420716000000.000000,1688052000000.000000,1930938000000.000000,7412000000.000000
12M 2023,,,280636000000.000000,56355000000.000000,111320000000.000000,102239000000.000000,9081000000.000000,111320000000.000000,4391000000.000000,1885000000.000000,2506000000.000000,4391000000.000000,16531000000.000000,80332000000.000000,65632000000.000000,615197000000.000000,,39002000000.000000,1602440000000.000000,2393000000.000000,103570000000.000000,1747405000000.000000,2362602000000.000000,,,122403000000.000000,,44268000000.000000,,44268000000.000000,,4417000000.000000,,4417000000.000000,4969000000.000000,9817000000.000000,,57949000000.000000,983000000.000000,,58932000000.000000,122403000000.000000,371168000000.000000,,264950000000.000000,1017000000.000000,,265967000000.000000,,103151000000.000000,2050000000.000000,371168000000.000000,493571000000.000000,,741200000000.000000,215067000000.000000,448305000000.000000,25585000000.000000,422720000000.000000,448305000000.000000,86478000000.000000,377981000000.000000,1869031000000.000000,2362602000000.000000,7412000000.000000
12M 2024,,,212015000000.000000,260828000000.000000,128276000000.000000,128276000000.000000,,128276000000.000000,74089000000.000000,1844000000.000000,72245000000.000000,74089000000.000000,59493000000.000000,74775000000.000000,115377000000.000000,924853000000.000000,,151517000000.000000,1441986000000.000000,2354000000.000000,125310000000.000000,1721167000000.000000,2646020000000.000000,,,176570000000.000000,,52665000000.000000,,52665000000.000000,,20703000000.000000,18220000000.000000,38923000000.000000,6934000000.000000,8678000000.000000,,68402000000.000000,533000000.000000,435000000.000000,69370000000.000000,176570000000.000000,362647000000.000000,,209095000000.000000,4996000000.000000,855000000.000000,214946000000.000000,55833000000.000000,89385000000.000000,2483000000.000000,362647000000.000000,539217000000.000000,,741200000000.000000,215067000000.000000,729006000000.000000,25585000000.000000,703421000000.000000,729006000000.000000,97926000000.000000,323604000000.000000,2106803000000.000000,2646020000000.000000,7412000000.000000
