Period,Current Ratio (Annual),Quick Ratio (Annual),Debt to Equity Ratio (Annual),Financial Leverage (Annual),LT Debt/Equity (Annual),LT Debt/Total Assets (Annual),Net Debt/Total Equity (Annual),Total Debt/Total Assets (Annual),Total Liabilities/Equity (Annual)
12M 2019,2.55,2.09,0.08,1.3,0.0,0.0,-0.0,0.06,0.24
12M 2020,4.25,3.63,0.14,1.3,0.0,0.0,0.07,0.11,0.24
12M 2021,2.76,2.15,0.12,1.24,0.0,0.0,0.08,0.09,0.23
12M 2022,6.77,6.12,0.05,1.17,0.0,0.0,-0.06,0.05,0.15
12M 2023,5.03,4.37,0.18,1.33,0.0,0.0,0.02,0.14,0.28
12M 2024,5.24,4.81,0.14,1.32,0.0,0.0,0.04,0.11,0.27
