Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Adjustment,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,406418000000.000000,-277769000000.000000,128649000000.000000,-27735000000.000000,-27735000000.000000,-27735000000.000000,100914000000.000000,-29273000000.000000,-5356000000.000000,,-23917000000.000000,-29273000000.000000,,71641000000.000000,-6024000000.000000,-1524000000.000000,47000000.000000,-4547000000.000000,-6024000000.000000,65617000000.000000,,65617000000.000000,335229000000.000000,400846000000.000000,65617000000.000000,64037000000.000000,1580000000.000000,65617000000.000000,400846000000.000000,353008000000.000000,47838000000.000000,400846000000.000000
12M 2020,481300000000.000000,-317681000000.000000,163619000000.000000,-30868000000.000000,-30868000000.000000,-30868000000.000000,132751000000.000000,-5839000000.000000,-6702000000.000000,,863000000.000000,-5839000000.000000,,126912000000.000000,-7232000000.000000,-1563000000.000000,8000000.000000,-5677000000.000000,-7232000000.000000,119680000000.000000,,119680000000.000000,-132000000.000000,119548000000.000000,119680000000.000000,119774000000.000000,-94000000.000000,119680000000.000000,119548000000.000000,119662000000.000000,-114000000.000000,119548000000.000000
12M 2021,540588000000.000000,-377393000000.000000,163195000000.000000,-33645000000.000000,-33645000000.000000,-33645000000.000000,129550000000.000000,-17207000000.000000,-9216000000.000000,,-7991000000.000000,-17207000000.000000,,112343000000.000000,-7144000000.000000,-490000000.000000,-48000000.000000,-6606000000.000000,-7144000000.000000,105199000000.000000,,105199000000.000000,77670000000.000000,182869000000.000000,105199000000.000000,107650000000.000000,-2451000000.000000,105199000000.000000,182869000000.000000,180038000000.000000,2831000000.000000,182869000000.000000
12M 2022,632831000000.000000,-461971000000.000000,170860000000.000000,-47584000000.000000,-47584000000.000000,-47584000000.000000,123276000000.000000,-4620000000.000000,-6804000000.000000,-323000000.000000,2507000000.000000,-4620000000.000000,,118656000000.000000,-14754000000.000000,-533000000.000000,51000000.000000,-14272000000.000000,-14754000000.000000,103902000000.000000,,103902000000.000000,-407000000.000000,103495000000.000000,103902000000.000000,103074000000.000000,828000000.000000,103902000000.000000,103495000000.000000,102667000000.000000,828000000.000000,103495000000.000000
12M 2023,1078642000000.000000,-841019000000.000000,237623000000.000000,-47788000000.000000,-47788000000.000000,-47788000000.000000,189835000000.000000,-13508000000.000000,-13423000000.000000,4256000000.000000,-4341000000.000000,-13508000000.000000,,176327000000.000000,-15137000000.000000,-2243000000.000000,14000000.000000,-12908000000.000000,-15137000000.000000,161190000000.000000,,161190000000.000000,-3451000000.000000,157739000000.000000,161190000000.000000,155854000000.000000,5336000000.000000,161190000000.000000,157739000000.000000,152406000000.000000,5333000000.000000,157739000000.000000
12M 2024,1205219000000.000000,-889195000000.000000,316024000000.000000,-46786000000.000000,-46786000000.000000,-46786000000.000000,269238000000.000000,12892000000.000000,-34961000000.000000,43039000000.000000,4814000000.000000,12892000000.000000,,282130000000.000000,-18148000000.000000,-3058000000.000000,93000000.000000,-15183000000.000000,-18148000000.000000,263982000000.000000,,263982000000.000000,10824000000.000000,274806000000.000000,263982000000.000000,252373000000.000000,11609000000.000000,263982000000.000000,274806000000.000000,263195000000.000000,11611000000.000000,274806000000.000000
