Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Final,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,299625392700.0,-133251905732.0,166373486968.0,-73584523657.0,-43092410431.0,-30492113226.0,-73584523657.0,92788963311.0,7804773740.0,1801605320.0,3941939845.0,2061228575.0,7804773740.0,100593737051.0,-7345014586.0,-7220818893.0,-124195693.0,-7345014586.0,93248722465.0,-578115151.0,92670607314.0,93248722465.0,81406399670.0,11842322795.0,93248722465.0,92670607314.0,80818476203.0,11852131111.0,92670607314.0
12M 2022,331819816750.0,-145984048151.0,185835768599.0,-93584929308.0,-60681171489.0,-32903757819.0,-93584929308.0,92250839291.0,11329368548.0,5469638417.0,2628644234.0,3231085897.0,11329368548.0,103580207839.0,-8363516590.0,-8099611094.0,-263905496.0,-8363516590.0,95216691249.0,1164012029.0,96380703278.0,95216691249.0,91172923784.0,4043767465.0,95216691249.0,96380703278.0,92315376298.0,4065326980.0,96380703278.0
12M 2023,309218277000.0,-131108279046.0,178109997954.0,-86967345702.0,-52656646400.0,-34310699302.0,-86967345702.0,91142652252.0,9061524852.0,2325315404.0,6919474161.0,-183264713.0,9061524852.0,100204177104.0,-8078936998.0,-7631188750.0,-447748248.0,-8078936998.0,92125240106.0,-615142174.0,91510097932.0,92125240106.0,83638264881.0,8486975225.0,92125240106.0,91510097932.0,83068625178.0,8441472754.0,91510097932.0
12M 2024,227087763000.0,-94935378561.0,132152384439.0,-78612844714.0,-43030436387.0,-35582408327.0,-78612844714.0,53539539725.0,15712387825.0,6409018898.0,4756928713.0,4546440214.0,15712387825.0,69251927550.0,-5729577610.0,-5569597250.0,-159980360.0,-5729577610.0,63522349940.0,-126436171.0,63395913769.0,63522349940.0,58703576674.0,4818773266.0,63522349940.0,63395913769.0,58588301562.0,4807612207.0,63395913769.0
