Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk,Pembayaran Pajak Final,Pajak Penghasilan,Total Pembayaran Untuk,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dividen Dari:,Entitas Asosiasi,Investasi Lainnya,Total Penerimaan Dividen Dari:,Penerimaan Penghasilan Bunga,Hasil Penjualan Aset Keuangan Pada Fvtoci,Hasil Penjualan Investasi Pada Entitas Asosiasi,Pembayaran Uang Muka Pembelian Tanah Dan Pengurusan Izin,Pembayaran Uang Muka Investasi Pada Entias Asosiasi Dan Investasi Lainnya,Perolehan Tanah Untuk Pengambangan,Perolehan Aset Tetap,Hasil Penjualan Aset Tetap,Pengembalian Uang Muka Investasi Pasa Entitas Asosiasi Dan Investasi Lainnya,Penambahan Uang Muka Investasi Pasa Entitas Asosiasi Dan Investasi Lainnya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Dividen Oleh:,Perusahaan,Entitas Anak Kepada Pemegang Saham Nonpengendali,Total Pembayaran Dividen Oleh:,Pengembalian Pokok Kerja Sama Investasi,Pembayaran Bagi Hasil Kerja Sama Investasi,Penerimaan Utang Bank,Penerimaan Pokok Kerja Sama Investasi,Agio Saham,Penerimaan Setoran Modal Dari Pemegang Saham Nonpengendali Entitas Anak,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode Entitas Anak Yang Diakuisisi,Kas Dan Setara Kas Awal Periode Entitas Anak Yang Dibubarkan,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,116566434133.000000,288404893394.000000,-164229557208.000000,,-7323956393.000000,-284945660.000000,-7608902053.000000,116566434133.000000,-69560911590.000000,,,1221150000.000000,1221150000.000000,3941939845.000000,,,,-61806919121.000000,-12536583404.000000,-470498910.000000,90000000.000000,,,-69560911590.000000,-62600000000.000000,,-60000000000.000000,-9550000000.000000,-69550000000.000000,,,,,,6950000000.000000,-62600000000.000000,-15594477457.000000,1636973687.000000,,111420621623.000000,97463117853.000000
12M 2022,84957603775.000000,319825451501.000000,-226595493592.000000,,-8088776094.000000,-183578040.000000,-8272354134.000000,84957603775.000000,-25486666965.000000,,,1221000000.000000,1221000000.000000,2628644234.000000,,,,-17670455380.000000,-11136178328.000000,-798425250.000000,268747759.000000,,,-25486666965.000000,3832000000.000000,,,-7035000000.000000,-7035000000.000000,,,,6567000000.000000,,4300000000.000000,3832000000.000000,63302936810.000000,,,97463117853.000000,160766054663.000000
12M 2023,108890944305.000000,334364324514.000000,-217575531260.000000,,-7611348751.000000,-286500198.000000,-7897848949.000000,108890944305.000000,-43794386050.000000,,,,,6919474161.000000,,,-3384012627.000000,-21540000000.000000,-1895274916.000000,-1156038676.000000,129799000.000000,2931667008.000000,-25800000000.000000,-43794386050.000000,-27449715000.000000,,-19988727000.000000,-6384000000.000000,-26372727000.000000,,-1076988000.000000,,,,,-27449715000.000000,37646843255.000000,,,160766054663.000000,198412897918.000000
12M 2024,13673023048.000000,229974379483.000000,-210216326906.000000,,-5609797249.000000,-475232280.000000,-6085029529.000000,13673023048.000000,-86823452386.000000,,2200000000.000000,5229950000.000000,7429950000.000000,4756928713.000000,2456250000.000000,32500000.000000,-90737392962.000000,,-1666468969.000000,-1017319168.000000,82100000.000000,,-8160000000.000000,-86823452386.000000,-66014491000.000000,,-59966181000.000000,-299250000.000000,-60265431000.000000,-6567000000.000000,-1182060000.000000,2000000000.000000,,,,-66014491000.000000,-139164920338.000000,,-5000000.000000,198410397918.000000,59240477580.000000
