Period,Aset,Kas Dan Setara Kas,Piutang Nasabah,Piutang Lain-Lain,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Usaha,Utang Nasabah,Utang Lain-Lain,Utang Pajak,Beban Akrual,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,21815342995.000000,14710717587.000000,,5355742648.000000,643563255.000000,118733539789.000000,161258906274.000000,,,,14890348579.000000,326347975.000000,320416231.000000,163988994.000000,15099444031.000000,30800545810.000000,,15000000000.000000,,77760102088.000000,189027276.000000,37509231100.000000,130458360464.000000,161258906274.000000,15000.000000
12M 2019,,48840160852.000000,44988531978.000000,9416007900.000000,6906470482.000000,542804450.000000,89597502989.000000,200291478651.000000,,,,27920700189.000000,3692442241.000000,523613897.000000,451690292.000000,22381743842.000000,54970190461.000000,,106250010000.000000,16868061200.000000,20444507255.000000,1448345335.000000,310364400.000000,145321288190.000000,200291478651.000000,1062500000.000000
12M 2020,,31095569021.000000,25883127229.000000,66378075100.000000,15752300999.000000,1058623267.000000,104424964719.000000,244592660335.000000,,,,19331420619.000000,1980359019.000000,476394830.000000,775761912.000000,32649216034.000000,55213152414.000000,,135993402100.000000,24748394130.000000,28280878457.000000,3170680771.000000,-2813847537.000000,189379507921.000000,244592660335.000000,1359934021.000000
12M 2021,,48745352714.000000,61657070419.000000,99205990.000000,11882848446.000000,1559724270.000000,185846706314.000000,309790908153.000000,,,,30630472756.000000,29131864998.000000,1353991683.000000,513163808.000000,43199447655.000000,104828940900.000000,,135993402100.000000,57025100130.000000,11604423868.000000,1669494657.000000,-1330453502.000000,204961967253.000000,309790908153.000000,1359934021.000000
12M 2022,,59586579117.000000,,19947854118.000000,7962370349.000000,2098493102.000000,195859097583.000000,285454394269.000000,,,1045009220.000000,,26887276670.000000,631380097.000000,385603475.000000,63498899285.000000,92448168747.000000,,135993402100.000000,55374203699.000000,-9226778744.000000,6460262641.000000,4405135826.000000,193006225522.000000,285454394269.000000,1359934021.000000
12M 2023,,44593011188.000000,,1187005368.000000,6023352251.000000,5230058356.000000,267689412448.000000,324722839611.000000,,,860381218.000000,,286802772.000000,810798497.000000,535473841.000000,95133721909.000000,97627178237.000000,,135993402100.000000,55374203699.000000,-23484590269.000000,37523856033.000000,21688789811.000000,227095661374.000000,324722839611.000000,1359934021.000000
12M 2024,,40845726541.000000,,3865863363.000000,2360453822.000000,7066118061.000000,124823307497.000000,178961469284.000000,,,320097837.000000,,4373360739.000000,124779458.000000,811686231.000000,14651707123.000000,20281631388.000000,,135993402100.000000,55374203699.000000,-72314850609.000000,32373563313.000000,7253519393.000000,158679837896.000000,178961469284.000000,1359934021.000000
